year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l,t,goalswinner,goalsloser,note
1959,SF,А,MTL,NHL,CHI,NHL,4,0,0,14,6,
1996,КФУ,"Добро пожаловать в «Б»! Это место для тех, кто ценит красоту и уникальность. Откройте для себя мир изысканных вкусов, захватывающих дух пейзажей и очаровательной атмосферы. Погрузитесь в роскошь и наслаждайтесь каждой минутой вашего пребывания здесь. Позвольте нам одарить вас незабываемым опытом.

Добро пожаловать в «Б», где каждый момент наполнен волшебством. Откройте для себя нашo уникальное предложение, которое включает захватывающие приключения и роскошные удовольствия. Насладитесь изысканными вкусами нашей кухни, полюбуйтесь захватывающими дух пейзажами и окуннитесь в атмосферу комфорта и расслабления. Позвольте нам одарить вас незабываемым опытом, который оставит у вас теплые воспоминания на долгие годы.

Добро пожаловать в «Б» - место, где мечты становятся реальностью. Откройте для себя мир роскоши и изысканности, наслаждаясь каждым моментом вашего пребывания здесь. Позвольте нам очаровать вас своей красотой и предложить незабываемый опыт, который оставит у вас желание вернуться снова и снова. Добро пожаловать в «Б» - ваш дом далеко от дома.",BUF,NHL,OTT,NHL,4,3,0,14,13,
2007,КФУ,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время дня и ночи. Я могу ответить на ваши вопросы, помочь с переводом текста или просто пообщаться. Как я могу вам помочь сегодня?",COL,NHL,MIN,NHL,4,2,0,17,12,
1965,SFК,С,MTL,NHL,DET,NHL,4,2,0,18,14,
1984,DFD,А,MTL,NHL,BOS,NHL,3,2,0,19,17,
1973,"Тут не нужно ничего переводить, так как запрос содержит только код или символы, которые не требуют перевода.",,CHC,WHA,TOT,WHA,4,3,0,34,27,
1989,"Тут не нужно ничего переводить, так как запрос содержит только код или символы, которые не требуют перевода.",я,BOS,NHL,MTL,NHL,4,1,0,16,12,
1974,"Предупреждение: следующее содержит спойлеры к фильму «Престиж».

В фильме «Престиж» Кристофер П. Хаммертон описывает сцену, в которой два мага, Роберт Энджер и Альфред Бредли, соревнуются в трюке с исчезновением человека. Энджер использует метод, который включает в себя создание иллюзии, в то время как Бредли на самом деле исчезает с помощью сложного механизма. Эта сцена подчеркивает тему иллюзии против реальности в фильме, поскольку зрители должны различать, что является магией и что является более мрачной наукой.","Добро пожаловать в «Б»! Это место для тех, кто ценит красоту и уникальность. Откройте для себя мир изысканных вкусов, захватывающих дух пейзажей и очаровательной атмосферы. Погрузитесь в роскошь и наслаждайтесь каждой минутой вашего пребывания здесь. Позвольте нам одарить вас незабываемым опытом.

Добро пожаловать в «Б», где каждый момент наполнен волшебством. Откройте для себя нашo уникальное предложение, которое включает захватывающие приключения и роскошные удовольствия. Насладитесь изысканными вкусами нашей кухни, полюбуйтесь захватывающими дух пейзажами и окуннитесь в атмосферу комфорта и расслабления. Позвольте нам одарить вас незабываемым опытом, который оставит у вас теплые воспоминания на долгие годы.

Добро пожаловать в «Б» - место, где мечты становятся реальностью. Откройте для себя мир роскоши и изысканности, наслаждаясь каждым моментом вашего пребывания здесь. Позвольте нам очаровать вас своей красотой и предложить незабываемый опыт, который оставит у вас желание вернуться снова и снова. Добро пожаловать в «Б» - ваш дом далеко от дома.",CHI,NHL,BOS,NHL,2,1,0,12,15,
1984,CF,"Мне нужно, чтобы вы предоставили текст, который нужно перевести с английского на русский язык. Я готов выполнить перевод после того, как получу ваш запрос.",PHI,NHL,QUE,NHL,4,2,0,17,12,
2008,КФУ,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время дня и ночи. Я могу ответить на ваши вопросы, помочь с переводом текста или просто пообщаться. Как я могу вам помочь сегодня?",VAN,NHL,STL,NHL,4,0,0,11,5,
1985,CF,"Мне нужно, чтобы вы предоставили текст, который нужно перевести с английского на русский язык. Я готов выполнить перевод после того, как получу ваш запрос.",MTL,NHL,NYR,NHL,4,1,0,15,9,
1993,CF,"Добро пожаловать в чат-бота переводчика! Я могу помочь вам перевести текст с английского на русский язык. Просто введите текст, который вы хотите перевести, и я предоставлю вам точный перевод. Если у вас есть специальные требования к стилю или тональности перевода, пожалуйста, дайте мне знать, и я постараюсь адаптировать свой перевод соответствующим образом.",VAN,NHL,TOR,NHL,4,1,0,16,9,
1987,CF,"Добро пожаловать в чат-бота переводчика! Я могу помочь вам перевести текст с английского на русский язык. Просто введите текст, который вы хотите перевести, и я предоставлю вам точный перевод. Если у вас есть специальные требования к стилю или тональности перевода, пожалуйста, дайте мне знать, и я постараюсь адаптировать свой перевод соответствующим образом.",EDM,NHL,DET,NHL,4,1,0,23,16,
1922,"Да, я могу помочь вам с переводом. Пожалуйста, предоставьте текст для перевода.",,OTS,NHL,MTL,NHL,1,1,0,3,2,ТГ
2009,КФУ,С,BOS,NHL,BUF,NHL,4,2,0,16,15,
2008,КФУ,"Добро пожаловать в «Б»! Это место для тех, кто ценит красоту и уникальность. Откройте для себя мир изысканных вкусов, захватывающих дух пейзажей и очаровательной атмосферы. Погрузитесь в роскошь и наслаждайтесь каждой минутой вашего пребывания здесь. Позвольте нам одарить вас незабываемым опытом.

Добро пожаловать в «Б», где каждый момент наполнен волшебством. Откройте для себя нашo уникальное предложение, которое включает захватывающие приключения и роскошные удовольствия. Насладитесь изысканными вкусами нашей кухни, полюбуйтесь захватывающими дух пейзажами и окуннитесь в атмосферу комфорта и расслабления. Позвольте нам одарить вас незабываемым опытом, который оставит у вас теплые воспоминания на долгие годы.

Добро пожаловать в «Б» - место, где мечты становятся реальностью. Откройте для себя мир роскоши и изысканности, наслаждаясь каждым моментом вашего пребывания здесь. Позвольте нам очаровать вас своей красотой и предложить незабываемый опыт, который оставит у вас желание вернуться снова и снова. Добро пожаловать в «Б» - ваш дом далеко от дома.",WAS,NHL,NYR,NHL,4,3,0,19,11,
2009,SFК,О,CHI,NHL,PHI,NHL,4,2,0,25,22,
2008,ЧСС,"Добро пожаловать в мой мир! Я готов помочь вам с переводом любого текста на русский язык. Просто напишите текст, который вы хотите перевести, и я предоставлю точный и естественный перевод. Начнем!",DET,NHL,AND,NHL,4,3,0,22,17,
