year,lgid,tmid,franchid,confid,divid,rank,confrank,playoff,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,o_tmrebound,d_tmrebound,homewon,homelost,awaywon,awaylost,neutwon,neutloss,confwon,confloss,divwon,divloss,pace,won,lost,games,min,arena,attendance,bbtmid
1970,NBA,BOS,BOS,EC,AT,3,5,,Бостонская кельтика,3804,8616,2000,2648,0,0,0,0,4833,2052,2138,0,0,0,9608,3612,8211,2214,0,0,2982,0,0,4342,1910,1962,0,0,0,9438,0,0,25,14,18,22,1,2,22,16,8,8,0,44,38,82,19780.0,Бостонский сад,32767,BOS
1986,NBA,SAS,SAS,WC,MW,6,11,,Сан-Антонио Спорс,3532,7456,1701,2292,117,403,1285,2347,3632,2220,1930,786,1406,325,8882,3704,7310,1786,106,379,2364,1100,2461,3561,2375,1844,699,1417,463,9300,0,0,21,20,7,34,0,0,20,40,9,21,0,28,54,82,19805.0,ХемисФейр Арена,32767,SAN
2002,NBA,GSW,GSW,WC,PC,6,11,,&quot; Золотые государственные войны &quot;,3061,6941,1853,2382,425,1235,1284,2546,3830,1712,1786,594,1295,506,8400,3240,7175,1575,438,1177,2084,1204,2388,3592,1934,1936,710,1121,491,8493,0,0,24,17,14,27,0,0,19,33,8,16,0,38,44,82,19755.0,Арена в Окленде,32767,GSW
1992,NBA,GSW,GSW,WC,PC,6,10,,&quot; Золотые государственные войны &quot;,3474,7212,1768,2465,298,852,1219,2384,3603,2010,2056,693,1451,383,9014,3471,7197,1881,272,794,2492,1174,2345,3519,2098,1993,824,1350,457,9095,0,0,19,22,15,26,0,0,25,29,9,21,0,34,48,82,19905.0,Окленд-Аламеда Округ Колизей Арена,32767,GSW
2002,NBA,WAS,WAS,EC,AT,5,9,,Вашингтонские волшебники,2816,6394,1617,2077,253,811,917,2395,3312,1612,1644,621,1095,390,7502,2877,6507,1382,449,1242,1792,949,2447,3396,1776,1804,612,1171,358,7585,0,0,23,18,14,27,0,0,26,28,11,13,0,37,45,82,19830.0,Центр МКИ,32767,WSW
1964,NBA,SFW,GSW,,WD,5,0,,Сан-Франциско Воины,3323,8245,1819,2844,0,0,0,0,5715,1653,2002,0,0,0,8465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8960,664,0,10,26,5,31,2,6,0,0,7,33,0,17,63,80,19350.0,Сан-Франциско Гражданская аудитория,32767,SFW
1993,NBA,DAL,DAL,WC,MW,6,13,,&lt; &lt; Даллас маверики &gt; &gt;,3055,7070,1450,1942,241,773,1271,2150,3421,1629,2007,767,1393,299,7801,3212,6508,1841,249,688,2498,1101,2503,3604,1970,1649,782,1428,507,8514,0,0,6,35,7,34,0,0,10,44,7,19,0,13,69,82,19730.0,Воссоединение Арены,32767,DAL
2008,NBA,IND,IND,EC,CD,4,9,,Индиана Пасерс,3220,7080,1525,1890,652,1725,924,2661,3585,1775,1895,573,1189,434,8617,3141,6862,1857,569,1519,2431,909,2708,3617,1731,1692,635,1151,444,8708,0,0,25,16,11,30,0,0,23,29,7,9,99,36,46,82,19830.0,Полевое отделение &lt; &lt; Консеко &gt; &gt;,32767,
2009,NBA,UTA,UTA,WC,NW,2,0,CS,Юта Джаз,3227,6575,1654,2233,439,1207,872,2588,3460,2187,1859,675,1246,400,8547,2908,6471,1741,552,1559,2286,837,2376,3213,1628,1818,632,1238,445,8109,0,0,0,0,0,0,0,0,0,0,0,0,96,53,29,0,,,0,
1949,NBA,CHS,CHS,,CD,3,0,DS,Чикагские олени,2003,5892,1346,1934,0,0,0,0,0,1366,1977,0,0,0,5352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5243,0,0,18,6,14,21,8,1,0,0,11,13,0,40,28,68,16570.0,Чикагский стадион,0,CHS
