id,year,coachid,award,lgid,note
1,1962,gallaha01,НБА Тренер года,NBA,
2,1963,hannual01,НБА Тренер года,NBA,
3,1964,auerbre01,НБА Тренер года,NBA,
4,1965,schaydo01,НБА Тренер года,NBA,
5,1966,kerrjo01,НБА Тренер года,NBA,
7,1967,gueriri01,НБА Тренер года,NBA,
9,1968,shuege01,НБА Тренер года,NBA,
12,1969,holzmre01,НБА Тренер года,NBA,
14,1970,mottadi01,НБА Тренер года,NBA,
16,1971,sharmbi01,НБА Тренер года,NBA,
18,1972,heinsto01,НБА Тренер года,NBA,
21,1973,scottra01,НБА Тренер года,NBA,
23,1974,johnsph01,НБА Тренер года,NBA,
25,1975,fitchbi01,НБА Тренер года,NBA,
26,1976,nissato01,НБА Тренер года,NBA,
27,1977,brownhu01,НБА Тренер года,NBA,
28,1978,fitzsco01,НБА Тренер года,NBA,
29,1979,fitchbi01,НБА Тренер года,NBA,
30,1980,mckinja01,НБА Тренер года,NBA,
31,1981,shuege01,НБА Тренер года,NBA,
32,1982,nelsodo01,НБА Тренер года,NBA,
33,1983,laydefr01,НБА Тренер года,NBA,
34,1984,nelsodo01,НБА Тренер года,NBA,
35,1985,fratemi01,НБА Тренер года,NBA,
36,1986,schulmi01,НБА Тренер года,NBA,
37,1987,moedo01,НБА Тренер года,NBA,
38,1988,fitzsco01,НБА Тренер года,NBA,
39,1989,rileypa01,НБА Тренер года,NBA,
40,1990,chanedo01,НБА Тренер года,NBA,
41,1991,nelsodo01,НБА Тренер года,NBA,
42,1992,rileypa01,НБА Тренер года,NBA,
43,1993,wilkele01,НБА Тренер года,NBA,
44,1994,harride01,НБА Тренер года,NBA,
45,1995,jacksph01,НБА Тренер года,NBA,
46,1996,rileypa01,НБА Тренер года,NBA,
