raceid,year,round,circuitid,name,date,time,url
42,2007,7,19,United States Grand Prix,2007-06-17,17:00:00,http://en.wikipedia.org/wiki/2007_United_States_Grand_Prix
180,1999,6,7,Canadian Grand Prix,1999-06-13,,http://en.wikipedia.org/wiki/1999_Canadian_Grand_Prix
181,1999,7,8,French Grand Prix,1999-06-27,,http://en.wikipedia.org/wiki/1999_French_Grand_Prix
192,1998,2,18,Brazilian Grand Prix,1998-03-29,,http://en.wikipedia.org/wiki/1998_Brazilian_Grand_Prix
194,1998,4,21,San Marino Grand Prix,1998-04-26,,http://en.wikipedia.org/wiki/1998_San_Marino_Grand_Prix
223,1997,17,26,European Grand Prix,1997-10-26,,http://en.wikipedia.org/wiki/1997_European_Grand_Prix
226,1996,3,25,Argentine Grand Prix,1996-04-07,,http://en.wikipedia.org/wiki/1996_Argentine_Grand_Prix
249,1995,10,11,Hungarian Grand Prix,1995-08-13,,http://en.wikipedia.org/wiki/1995_Hungarian_Grand_Prix
250,1995,11,13,Belgian Grand Prix,1995-08-27,,http://en.wikipedia.org/wiki/1995_Belgian_Grand_Prix
254,1995,15,28,Pacific Grand Prix,1995-10-22,,http://en.wikipedia.org/wiki/1995_Pacific_Grand_Prix
256,1995,17,29,Australian Grand Prix,1995-11-12,,http://en.wikipedia.org/wiki/1995_Australian_Grand_Prix
261,1994,5,4,Spanish Grand Prix,1994-05-29,,http://en.wikipedia.org/wiki/1994_Spanish_Grand_Prix
263,1994,7,8,French Grand Prix,1994-07-03,,http://en.wikipedia.org/wiki/1994_French_Grand_Prix
269,1994,13,27,Portuguese Grand Prix,1994-09-25,,http://en.wikipedia.org/wiki/1994_Portuguese_Grand_Prix
288,1993,16,29,Australian Grand Prix,1993-11-07,,http://en.wikipedia.org/wiki/1993_Australian_Grand_Prix
300,1992,12,13,Belgian Grand Prix,1992-08-30,,http://en.wikipedia.org/wiki/1992_Belgian_Grand_Prix
305,1991,1,33,United States Grand Prix,1991-03-10,,http://en.wikipedia.org/wiki/1991_United_States_Grand_Prix
346,2010,10,9,British Grand Prix,2010-07-11,12:00:00,http://en.wikipedia.org/wiki/2010_British_Grand_Prix
360,1989,5,33,United States Grand Prix,1989-06-04,,http://en.wikipedia.org/wiki/1989_United_States_Grand_Prix
