raceid,driverid,lap,position,time,milliseconds
223,63,55,12,1:26.084,86084
17,154,23,17,1:43.178,103178
906,1,24,2,1:18.942,78942
9,8,6,7,1:36.707,96707
908,18,6,3,1:41.129,101129
934,13,25,2,1:37.548,97548
862,13,20,14,1:43.114,103114
107,14,15,15,1:36.342,96342
128,13,54,7,1:24.363,84363
51,14,7,5,1:48.262,108262
158,18,15,12,1:35.507,95507
150,15,46,6,1:18.796,78796
850,155,17,8,1:40.499,100499
236,64,3,13,1:59.878,119878
196,44,39,15,1:25.330,85330
160,55,16,12,1:29.839,89839
928,18,44,13,1:47.069,107069
352,155,13,10,1:38.906,98906
882,817,4,14,1:52.263,112263
945,8,12,4,1:46.792,106792
884,822,49,16,1:30.167,90167
900,4,34,4,1:34.077,94077
55,8,51,2,1:27.555,87555
856,4,29,6,1:42.802,102802
77,15,4,3,1:32.924,92924
88,4,18,6,1:33.407,93407
881,822,52,11,1:41.700,101700
113,21,55,10,1:11.580,71580
94,47,6,19,1:23.552,83552
912,807,39,11,1:29.468,89468
232,77,8,5,1:20.200,80200
855,10,24,21,2:05.713,125713
235,73,71,8,1:26.118,86118
845,22,17,20,1:31.015,91015
337,1,7,5,2:03.786,123786
123,44,25,6,1:39.576,99576
962,13,48,12,1:52.594,112594
853,813,16,7,1:31.123,91123
918,807,38,12,2:06.918,126918
144,55,1,14,1:37.881,97881
58,14,1,18,1:34.064,94064
352,2,16,8,1:38.347,98347
63,32,46,12,1:19.176,79176
35,6,7,14,1:22.412,82412
22,3,56,8,1:28.407,88407
96,2,44,10,1:33.121,93121
202,44,63,13,1:23.512,83512
66,2,54,15,1:30.657,90657
176,70,17,18,1:23.338,83338
68,30,12,5,1:45.201,105201
845,17,45,4,1:29.724,89724
861,811,28,9,1:59.933,119933
846,30,3,9,1:22.017,82017
878,807,55,8,1:42.415,102415
125,13,16,11,1:42.497,102497
120,47,21,16,1:26.598,86598
169,56,48,8,1:23.005,83005
117,31,66,2,1:18.570,78570
49,4,20,3,1:49.535,109535
954,825,34,17,1:22.101,82101
117,14,12,5,1:17.401,77401
63,36,6,20,1:22.547,82547
218,81,6,12,2:16.052,136052
929,833,13,19,1:46.961,106961
49,3,7,5,1:50.141,110141
180,56,52,6,1:23.489,83489
195,74,29,17,1:28.490,88490
871,39,1,14,2:42.004,162004
101,4,45,2,1:14.575,74575
7,10,36,10,1:28.504,88504
850,30,45,10,1:38.010,98010
965,835,31,15,2:18.468,138468
856,30,5,9,1:46.011,106011
8,13,58,4,1:22.059,82059
133,8,15,7,1:35.781,95781
51,2,12,7,1:48.278,108278
148,41,12,8,1:20.808,80808
86,33,8,17,2:00.652,120652
9,6,60,12,1:36.420,96420
67,2,43,10,1:24.387,84387
156,23,7,4,1:16.611,76611
846,39,10,22,1:24.415,84415
887,154,15,6,1:39.137,99137
351,16,54,7,1:53.219,113219
101,2,27,16,1:18.112,78112
32,9,48,13,1:48.498,108498
917,822,60,10,1:14.985,74985
214,79,49,13,1:23.328,83328
236,14,3,3,1:56.063,116063
114,52,60,13,1:18.343,78343
341,16,27,8,1:27.674,87674
52,1,64,7,1:13.371,73371
133,31,55,3,1:26.125,86125
903,1,46,1,1:42.094,102094
965,3,1,3,1:45.682,105682
209,15,20,16,1:32.930,92930
210,63,17,16,1:29.823,89823
953,836,28,13,1:34.015,94015
8,67,3,18,1:26.608,86608
189,48,4,12,1:46.807,106807
871,13,14,12,1:56.558,116558
354,811,24,22,1:24.677,84677
200,25,1,11,1:34.239,94239
153,57,2,6,1:21.540,81540
917,815,41,12,1:16.129,76129
34,14,23,10,1:38.342,98342
55,2,5,7,1:33.605,93605
961,8,45,4,1:26.577,86577
98,11,15,2,2:29.011,149011
165,2,15,17,1:23.130,83130
153,8,32,7,1:19.527,79527
337,17,43,8,2:01.826,121826
113,14,46,6,1:11.544,71544
92,15,48,5,1:32.721,92721
143,15,17,4,1:18.420,78420
846,39,54,20,1:27.599,87599
131,13,43,11,1:18.744,78744
36,19,23,19,1:29.486,89486
