playerid,year,stint,tmid,w,l,sa,ga
sabouda01,2007,1,PIT,4,1,26,6
raycran01,2005,1,BOS,0,1,2,1
bachmri01,2011,1,DAL,0,1,3,1
denisma01,2006,1,TBL,4,1,20,2
lehtoka01,2008,1,ATL,4,1,22,5
ersbeer01,2008,1,LAK,1,4,20,8
raycran01,2008,1,COL,2,0,8,1
macdojo01,2010,1,DET,1,2,9,2
schaeno01,2005,1,SJS,1,0,4,1
mclenja01,2005,1,FLO,0,1,4,2
clemmsc01,2009,1,FLO,2,1,11,1
ersbeer01,2007,1,LAK,1,1,10,2
niittan01,2006,1,PHI,1,4,23,6
neuvimi01,2011,1,WAS,3,2,17,7
denisma01,2005,1,CBS,3,1,18,4
ellisda01,2009,1,NAS,2,1,10,2
leclapa01,2008,1,CBS,0,1,3,2
reimeja01,2011,1,TOR,2,1,8,3
halakja01,2010,1,STL,3,4,29,10
masonst01,2008,1,CBS,6,5,31,9
toskave01,2005,1,SJS,0,3,12,5
bishobe01,2011,1,OTT,0,2,6,3
macdojo01,2006,2,BOS,0,1,3,2
lundqhe01,2005,1,NYR,4,3,37,9
conklty01,2005,1,EDM,0,1,2,2
khabini01,2010,1,EDM,1,3,18,4
greisth01,2009,1,SJS,1,0,6,0
danisya01,2009,1,NJD,0,1,3,3
johnsbr02,2005,1,WAS,3,1,13,2
brodema01,2005,1,NJD,8,3,38,9
ellisda01,2010,1,TBL,2,3,24,6
johnsbr02,2006,1,WAS,0,5,20,7
lalimpa01,2006,1,CHI,2,1,8,4
rinnepe01,2011,1,NAS,4,5,30,9
vokouto01,2005,1,NAS,4,3,20,8
bironma01,2008,1,PHI,2,3,17,5
bouchbr01,2009,1,PHI,1,2,7,4
danisya01,2008,1,NYI,0,2,5,3
holmqjo01,2006,1,TBL,6,1,33,4
emeryra01,2009,1,PHI,2,1,9,2
theodjo01,2008,1,WAS,4,4,22,6
fleurma01,2010,1,PIT,8,2,38,6
holtbbr01,2011,1,WAS,0,1,4,2
hedbejo01,2011,1,NJD,5,2,20,7
grahajo01,2007,1,CAR,1,0,3,2
divisre01,2005,1,STL,0,1,3,2
priceca01,2011,1,MTL,5,8,40,14
dubiewa01,2009,1,MIN,1,0,2,0
legacma01,2006,1,STL,5,3,25,7
fernama01,2006,1,MIN,7,1,32,9
crawfco01,2011,1,CHI,6,4,32,6
theodjo01,2005,1,MTL,1,1,6,1
millery01,2008,1,BUF,8,2,40,9
clemmsc01,2010,1,FLO,2,6,23,12
andercr01,2006,1,FLO,1,0,2,0
johnsbr02,2008,1,WAS,0,1,2,1
aubinje01,2005,1,TOR,0,2,5,2
rolosdw01,2008,1,EDM,4,4,24,5
turcoma01,2007,1,DAL,3,3,23,9
legacma01,2005,1,DET,2,2,17,7
smithmi02,2009,1,TBL,1,3,14,5
norrefr01,2008,1,CBS,0,1,2,1
bouchbr01,2006,1,CHI,0,2,4,4
wardca01,2010,1,CAR,5,4,25,6
fleurma01,2011,1,PIT,9,2,39,9
fernama01,2007,1,BOS,1,0,3,0
lalimpa01,2005,1,STL,0,2,5,3
dubnyde01,2009,1,EDM,2,1,11,3
poulike01,2010,1,NYI,0,1,3,2
brodema01,2011,1,NJD,7,2,26,7
labarja01,2009,1,PHO,6,1,27,8
leighmi01,2008,1,CAR,1,1,5,3
shielst01,2005,1,ATL,0,1,2,1
luongro01,2009,1,VAN,2,3,14,5
lundqhe01,2009,1,NYR,3,3,22,7
turcoma01,2009,1,DAL,4,8,53,15
sabouda01,2008,1,PIT,3,2,19,5
crawfco01,2010,1,CHI,4,3,19,3
legacma01,2007,1,STL,2,3,17,4
lehtoka01,2011,1,DAL,7,3,39,9
kolziol01,2007,1,WAS,2,4,34,11
ramoka01,2007,1,TBL,0,1,2,2
labarja01,2008,2,VAN,0,2,9,5
smithmi02,2007,1,DAL,2,0,6,0
emeryra01,2005,1,OTT,0,2,5,2
gerbema01,2006,1,OTT,1,2,10,3
josepcu01,2006,1,PHO,2,1,13,2
sanfocu01,2007,1,VAN,0,1,4,2
mclenja01,2006,1,CAL,0,1,11,4
dipieri01,2006,1,NYI,5,4,44,9
labarja01,2010,1,PHO,1,1,5,2
dipieri01,2007,1,NYI,3,2,21,6
hillejo01,2007,1,AND,2,1,12,5
huetcr01,2005,1,MTL,1,2,9,3
bryzgil01,2011,1,PHI,3,5,25,13
lehtoka01,2010,1,DAL,3,7,33,14
theodjo01,2010,1,MIN,2,1,15,7
