coachid,award,year,lgid,note
irvindi01c,Second Team All-Star,1933,NHL,
ruffli01c,Jack Adams,2005,NHL,
harribi01c,Baldwin,1973,WHA,
adamsja01c,Second Team All-Star,1944,NHL,
nolante01c,Jack Adams,1996,NHL,
krommbo01c,Jack Adams,1977,NHL,
barbebi01c,Jack Adams,2000,NHL,
quennjo01c,Jack Adams,1999,NHL,
bowmasc01c,Jack Adams,1976,NHL,
tippeda01c,Jack Adams,2009,NHL,
tessior01c,Jack Adams,1982,NHL,
patrile01c,First Team All-Star,1930,NHL,
demerja01c,Jack Adams,1987,NHL,
arboual01c,Jack Adams,1978,NHL,
martija02c,Jack Adams,1998,NHL,
dineebi01c,Schmertz,1977,WHA,
irvindi01c,First Team All-Star,1944,NHL,
patrile01c,First Team All-Star,1932,NHL,
burnspa01c,Jack Adams,1992,NHL,
francbo01c,Jack Adams,2001,NHL,
adamsja01c,First Team All-Star,1942,NHL,
murdobo01c,Jack Adams,1989,NHL,
juliecl01c,Jack Adams,2008,NHL,
sathegl01c,Jack Adams,1985,NHL,
thomppa01c,Second Team All-Star,1941,NHL,
wattto01c,Jack Adams,1981,NHL,
hitchke01c,Jack Adams,2011,NHL,
bouchfr01c,Second Team All-Star,1939,NHL,
hartce01c,Second Team All-Star,1936,NHL,
rossar01c,Second Team All-Star,1942,NHL,
irvindi01c,Second Team All-Star,1931,NHL,
bouchfr01c,First Team All-Star,1941,NHL,
vigneal01c,Jack Adams,2006,NHL,
irvindi01c,Second Team All-Star,1930,NHL,
rossar01c,First Team All-Star,1938,NHL,
huculsa01c,Schmertz,1974,WHA,
quinnpa01c,Jack Adams,1979,NHL,
pulfobo01c,Jack Adams,1974,NHL,
crawfma01c,Jack Adams,1994,NHL,
irvindi01c,Second Team All-Star,1940,NHL,
cherrdo01c,Jack Adams,1975,NHL,
patrile01c,First Team All-Star,1931,NHL,
bowmasc01c,Jack Adams,1995,NHL,
patrile01c,First Team All-Star,1935,NHL,
patrile01c,First Team All-Star,1937,NHL,
duttore01c,Second Team All-Star,1938,NHL,
sherofr01c,Jack Adams,1973,NHL,
kelleja01c,Baldwin,1972,WHA,
dayha01c,Second Team All-Star,1943,NHL,
tortojo01c,Jack Adams,2003,NHL,
thomppa01c,First Team All-Star,1939,NHL,
lemaija01c,Jack Adams,1993,NHL,
dineebi01c,Schmertz,1976,WHA,
lemaija01c,Jack Adams,2002,NHL,
boudrbr01c,Jack Adams,2007,NHL,
adamsja01c,First Team All-Star,1936,NHL,
gormato01c,Second Team All-Star,1935,NHL,
weilaco01c,First Team All-Star,1940,NHL,
irvindi01c,Second Team All-Star,1934,NHL,
berenre01c,Jack Adams,1980,NHL,
patrile01c,First Team All-Star,1933,NHL,
burnspa01c,Jack Adams,1988,NHL,
keenami01c,Jack Adams,1984,NHL,
quinnpa01c,Jack Adams,1991,NHL,
gottsjo01c,Second Team All-Star,1945,NHL,
irvindi01c,First Team All-Star,1945,NHL,
rossar01c,Second Team All-Star,1937,NHL,
murrabr01c,Jack Adams,1983,NHL,
