year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1976,WHA,SDM,7,3,4,0,19,28,,,,,,,,
1942,NHL,BOS,9,4,5,0,23,33,96,,,,,,,
1986,NHL,DET,16,9,7,0,45,40,426,0,9,56,1,9,58,1
1945,NHL,CHI,4,0,4,0,7,26,68,,,,,,,
1975,WHA,EDO,4,0,4,0,11,22,,,,,,,,
2007,NHL,SJS,13,6,7,0,30,32,100,0,8,56,0,11,44,2
1937,NHL,NYA,6,3,3,0,13,12,42,,,,,,,
1967,NHL,BOS,4,0,4,0,8,15,56,,1,,0,3,,0
1929,NHL,MTL,6,5,0,1,14,6,100,,,,,,,
2005,NHL,MTL,6,2,4,0,17,15,68,0,6,27,0,6,30,0
1923,PCHA,VAM,5,2,2,1,11,13,,,,,,,,
2010,NHL,TBL,18,11,7,0,59,45,207,8,17,67,1,6,78,1
1987,NHL,EDM,19,16,2,1,87,56,635,8,32,117,,20,117,2
1914,NHA,OT1,2,1,1,0,4,1,,,,,,,,
1930,NHL,BOS,5,2,3,0,13,13,66,,,,,,,
2011,NHL,BOS,7,3,4,0,15,16,52,0,2,23,0,3,19,0
1970,NHL,CHI,18,11,7,0,59,42,289,,17,,1,11,,1
2006,NHL,NAS,5,1,4,0,14,16,148,0,3,22,0,2,30,1
2000,NHL,STL,15,9,6,0,40,34,183,0,9,62,1,8,64,3
1988,NHL,PIT,11,7,4,0,43,42,452,2,16,70,,17,69,1
1981,NHL,MNS,4,1,3,0,14,14,145,2,5,25,1,3,18,0
1960,NHL,TOR,5,1,4,0,8,15,46,,,,,,,
1957,NHL,NYR,6,2,4,0,16,28,85,,,,,,,
1921,PCHA,VML,4,3,1,0,7,2,,,,,,,,
2002,NHL,TBL,11,5,6,0,22,29,134,4,5,37,0,9,43,2
1991,NHL,WAS,7,3,4,0,27,25,139,0,7,37,1,11,34,1
1985,NHL,STL,19,10,9,0,64,70,579,0,13,91,3,26,96,3
2001,NHL,OTT,12,7,5,0,29,18,115,0,9,55,0,6,41,0
1969,NHL,DET,4,0,4,0,8,16,44,,3,,0,5,,1
1924,NHL,TRS,2,0,2,0,2,5,21,,,,,,,
1918,NHL,OTS,5,1,4,0,18,26,69,,,,,,,
1974,WHA,CLC,5,1,4,0,14,24,,,,,,,,
1985,NHL,WIN,3,0,3,0,8,15,88,0,3,15,0,2,15,1
2011,NHL,PIT,6,2,4,0,26,30,149,0,9,29,3,12,23,0
1959,NHL,DET,6,2,4,0,16,20,45,,,,,,,
1990,NHL,NYR,6,2,4,0,16,16,183,0,4,36,1,2,28,0
1988,NHL,DET,6,2,4,0,18,25,187,0,6,37,,10,37,0
1977,NHL,PHI,12,7,5,0,37,35,245,2,9,30,0,7,37,0
1932,NHL,MTL,2,0,1,1,5,8,16,,,,,,,
2006,NHL,AND,21,16,5,0,58,45,371,6,16,105,3,16,121,2
1945,NHL,MTL,9,8,1,0,45,20,91,,,,,,,
1958,NHL,MTL,11,8,3,0,39,28,133,,,,,,,
1987,NHL,DET,16,9,7,0,69,57,550,0,21,80,,20,104,3
1936,NHL,BOS,3,1,2,0,6,8,15,,,,,,,
