territoryid,territorydescription,regionid
60179,Hoffman Estates                                   ,2
07960,Morristown                                        ,1
33607,Tampa                                             ,4
10019,New York                                          ,1
40222,Louisville                                        ,1
06897,Wilton                                            ,1
98104,Seattle                                           ,2
80909,Colorado Springs                                  ,2
48075,Southfield                                        ,3
48084,Troy                                              ,3
03801,Portsmouth                                        ,3
72716,Bentonville                                       ,4
20852,Rockville                                         ,1
60601,Chicago                                           ,2
02184,Braintree                                         ,1
95008,Campbell                                          ,2
27403,Greensboro                                        ,1
95054,Santa Clara                                       ,2
78759,Austin                                            ,4
94105,San Francisco                                     ,2
48304,Bloomfield Hills                                  ,3
98052,Redmond                                           ,2
75234,Dallas                                            ,4
53404,Racine                                            ,3
44122,Beachwood                                         ,3
11747,Mellvile                                          ,1
10038,New York                                          ,1
02139,Cambridge                                         ,1
01833,Georgetow                                         ,1
01581,Westboro                                          ,1
55439,Minneapolis                                       ,3
19428,Philadelphia                                      ,3
19713,Neward                                            ,1
08837,Edison                                            ,1
80202,Denver                                            ,2
01730,Bedford                                           ,1
03049,Hollis                                            ,3
32859,Orlando                                           ,4
85251,Scottsdale                                        ,2
02903,Providence                                        ,1
29202,Columbia                                          ,4
95060,Santa Cruz                                        ,2
30346,Atlanta                                           ,4
14450,Fairport                                          ,1
31406,Savannah                                          ,4
85014,Phoenix                                           ,2
02116,Boston                                            ,1
94025,Menlo Park                                        ,2
45839,Findlay                                           ,3
27511,Cary                                              ,1
98004,Bellevue                                          ,2
55113,Roseville                                         ,3
90405,Santa Monica                                      ,2
