orderid,productid,unitprice,quantity,discount
10958,72,34.8,5,0.0
11059,60,34.0,35,0.0
10387,28,36.4,6,0.0
10962,76,18.0,44,0.0
10372,38,210.8,40,0.0
10724,10,31.0,16,0.0
10866,2,19.0,21,0.0
10546,35,18.0,30,0.0
10556,72,34.8,24,0.0
10861,18,62.5,20,0.0
10851,25,14.0,10,0.0
10261,21,8.0,20,0.0
10823,11,21.0,20,0.0
10633,13,6.0,13,0.0
11001,55,24.0,6,0.0
10562,33,2.5,20,0.0
10850,33,2.5,4,0.0
10560,62,49.3,15,0.0
10456,49,16.0,21,0.0
10383,13,4.8,20,0.0
10554,62,49.3,20,0.0
10417,46,9.6,2,0.0
10303,68,10.0,15,0.0
10860,51,53.0,3,0.0
10512,47,9.5,6,0.0
10740,45,9.5,40,0.0
10510,75,7.75,36,0.0
10360,29,99.0,35,0.0
10566,11,21.0,35,0.0
10429,63,35.1,35,0.0
10612,76,18.0,80,0.0
10306,30,20.7,10,0.0
10760,43,46.0,30,0.0
10351,65,16.8,10,0.0
10509,28,45.6,3,0.0
10882,54,7.45,32,0.0
10952,28,45.6,2,0.0
11077,75,7.75,4,0.0
10421,77,10.4,10,0.0
10289,64,26.6,9,0.0
10324,46,9.6,30,0.0
10572,16,17.45,12,0.0
10557,75,7.75,20,0.0
10404,26,24.9,30,0.0
11070,1,18.0,40,0.0
11018,18,62.5,10,0.0
10740,56,38.0,14,0.0
10762,47,9.5,30,0.0
10592,26,31.23,5,0.0
10454,16,13.9,20,0.0
10837,13,6.0,6,0.0
10639,18,62.5,8,0.0
10646,1,18.0,15,0.0
10341,33,2.0,8,0.0
10518,38,263.5,15,0.0
10300,68,10.0,20,0.0
10828,38,263.5,2,0.0
10727,56,38.0,10,0.0
10327,2,15.2,25,0.0
11017,59,55.0,110,0.0
10423,59,44.0,20,0.0
10806,74,10.0,15,0.0
11064,55,24.0,4,0.0
10269,33,2.0,60,0.0
10948,51,53.0,40,0.0
10786,30,25.89,15,0.0
10255,59,44.0,30,0.0
10490,75,6.2,36,0.0
10561,51,53.0,50,0.0
10623,21,10.0,25,0.0
10976,28,45.6,20,0.0
11039,57,19.5,28,0.0
10841,56,38.0,30,0.0
11003,40,18.4,10,0.0
10746,69,36.0,40,0.0
10446,31,10.0,3,0.0
11073,11,21.0,10,0.0
10553,16,17.45,14,0.0
10720,71,21.5,8,0.0
10851,2,19.0,5,0.0
10636,58,13.25,6,0.0
10823,59,55.0,40,0.0
10339,4,17.6,10,0.0
11056,55,24.0,35,0.0
10991,70,15.0,20,0.0
10251,57,15.6,15,0.0
10836,64,33.25,30,0.0
10308,69,28.8,1,0.0
10485,55,19.2,30,0.0
11025,1,18.0,10,0.0
10422,26,24.9,2,0.0
10493,66,13.6,10,0.0
10550,61,28.5,10,0.0
10276,10,24.8,15,0.0
10782,31,12.5,1,0.0
11002,42,14.0,24,0.0
10762,39,18.0,16,0.0
10367,77,10.4,7,0.0
10497,56,30.4,14,0.0
10885,70,15.0,30,0.0
10957,64,33.25,8,0.0
11075,2,19.0,10,0.0
10800,51,53.0,10,0.0
10522,1,18.0,40,0.0
10988,62,49.3,40,0.0
10888,2,19.0,20,0.0
10267,76,14.4,15,0.0
10972,17,39.0,6,0.0
10904,62,49.3,35,0.0
10572,32,32.0,10,0.0
10697,35,18.0,9,0.0
10725,55,24.0,6,0.0
10803,25,14.0,15,0.0
11064,41,9.65,12,0.0
10979,63,43.9,35,0.0
10343,76,14.4,15,0.0
11070,31,12.5,20,0.0
