playerid,year,ppa,sha
coxecr01,1987,1,
brownje02,1989,24,
murphla01,1988,22,
wellsja01,1989,3,2
hardyma01,1987,10,1
nichobe01,1989,37,1
ferrara01,1990,5,
courtru01,1988,2,
zezelpe01,1990,5,1
bullami01,1988,13,
allismi01,1987,5,
foligmi01,1990,1,
konrost01,1988,1,1
macivno01,1988,19,
manthmo01,1988,9,
donnemi01,1987,2,
huntema01,1990,4,
pederma01,1990,7,
carsoli01,1987,1,1
johanca01,1988,7,
charbjo01,1988,1,
petitmi01,1987,9,1
bassebo01,1988,,1
paslagr01,1990,3,1
pederba01,1989,7,1
carsoji01,1989,5,
gartnmi01,1988,9,
hunteda01,1987,1,4
robergo01,1987,3,
adamsgr01,1988,1,
wilsoca01,1988,19,
libaig01,1988,6,
proppbr01,1989,9,
duguaro01,1987,2,
macdepa01,1989,2,
tuckejo01,1990,1,
tuckejo01,1989,6,
klimape01,1989,11,
hardyma01,1988,5,
laughcr01,1987,3,
kaspest01,1988,6,2
brookbo01,1989,1,2
halwado01,1988,1,
hrdinji01,1990,4,
simpscr01,1987,10,1
ruffli01,1988,1,
nylunga01,1988,1,
hunteda01,1988,,1
lawlepa01,1987,3,
mcdonhu01,1989,1,
mckegto01,1989,3,
larsore01,1988,14,
thibagi01,1989,2,
sheehne01,1987,1,
mckegto01,1990,7,
franclo01,1990,1,1
actonke01,1988,,1
ysebapa01,1990,4,1
kennede01,1988,,2
dineego01,1987,2,
ledyagr01,1988,6,
mcbeawa01,1988,1,
samueul01,1990,,2
chrisda01,1989,7,
wilsoca01,1987,9,3
petitmi01,1990,16,
courtge01,1987,7,
quinnda01,1989,15,1
stastpe01,1989,23,
mcintjo01,1990,,2
dineego01,1988,2,
linseke01,1989,8,
cunnera01,1989,4,
lawtobr01,1989,1,
grahadi01,1987,7,1
norwole01,1990,3,
skrikpe01,1990,5,
cullejo01,1990,29,
vaiveri01,1988,15,
deblolu01,1990,,1
frasecu01,1987,2,
rousebo01,1988,,1
manthmo01,1987,15,1
playfla01,1988,,1
smaildo01,1990,1,1
poulida02,1989,1,1
malondo01,1988,2,
carpebo01,1988,4,
murphla01,1990,19,
jonssto01,1988,24,
sandsto01,1989,20,
krushmi01,1990,3,
quinnda01,1990,18,
tantito01,1989,9,
