playerid,year,stint,tmid,w,l,sa,ga
dubiewa01,2007,1,NYI,2,1,13,4
hasekdo01,2005,1,OTT,2,4,16,6
dubnyde01,2010,1,EDM,0,6,19,10
vokouto01,2007,1,FLO,5,6,41,11
andercr01,2011,1,OTT,6,1,25,7
theodjo01,2005,1,MTL,1,1,6,1
smithmi02,2008,1,TBL,2,7,27,15
schneco01,2010,1,VAN,1,0,3,0
rolosdw01,2009,1,NYI,5,5,39,15
ellisda01,2007,1,NAS,2,1,9,4
crawfco01,2011,1,CHI,6,4,32,6
danisya01,2008,1,NYI,0,2,5,3
conklty01,2011,1,DET,1,0,3,0
gigueje01,2007,1,AND,6,5,30,10
garonma01,2008,1,EDM,1,0,3,1
masonch02,2009,1,STL,5,3,28,8
denisma01,2007,1,TBL,1,0,3,0
niemian02,2009,1,CHI,6,2,32,6
millery01,2009,1,BUF,4,4,31,11
dipieri01,2005,1,NYI,8,3,41,12
howarji01,2009,1,DET,5,7,54,17
irvinle01,2011,1,CAL,0,1,4,2
gigueje01,2008,1,AND,2,2,12,4
danisya01,2009,1,NJD,0,1,3,3
wardca01,2005,1,CAR,1,0,3,0
pavelon01,2009,1,ATL,0,4,11,6
fleurma01,2008,1,PIT,3,4,22,6
emeryra01,2006,1,OTT,1,4,19,8
gigueje01,2011,1,COL,1,2,7,5
johnsbr02,2005,1,WAS,3,1,13,2
bishobe01,2011,1,OTT,0,2,6,3
kolziol01,2007,1,WAS,2,4,34,11
clemmsc01,2005,1,NJD,1,1,7,3
hedbejo01,2009,1,ATL,4,2,21,5
garonma01,2007,1,EDM,10,0,32,2
halakja01,2008,1,MTL,2,1,7,2
kiprumi01,2010,1,CAL,8,4,41,12
theodjo01,2006,1,COL,2,0,6,0
khabini01,2008,1,CHI,2,5,19,9
rasktu01,2009,1,BOS,5,4,33,10
elliobr01,2011,1,STL,1,3,14,5
brodema01,2011,1,NJD,7,2,26,7
weekeke01,2005,1,NYR,3,1,13,6
niittan01,2008,1,PHI,2,3,18,6
dubiewa01,2009,1,MIN,1,0,2,0
rolosdw01,2005,2,EDM,1,3,12,7
dipieri01,2006,1,NYI,5,4,44,9
tellqmi01,2007,1,PHO,0,2,16,4
lehtoka01,2010,1,DAL,3,7,33,14
toivoha01,2005,1,BOS,0,1,3,2
bironma01,2008,1,PHI,2,3,17,5
garonma01,2006,1,LAK,1,3,18,7
brodema01,2008,1,NJD,2,1,10,3
bironma01,2007,1,PHI,2,6,20,13
mclenja01,2006,1,CAL,0,1,11,4
elliobr01,2008,1,OTT,2,2,16,6
karlshe01,2010,1,CAL,1,3,11,5
turcoma01,2005,1,DAL,8,1,24,6
hillejo01,2007,1,AND,2,1,12,5
backsni01,2007,1,MIN,1,6,21,12
lundqhe01,2009,1,NYR,3,3,22,7
montoal01,2011,1,NYI,2,2,13,5
scrivbe01,2011,1,TOR,1,1,5,2
niittan01,2006,1,PHI,1,4,23,6
aubinje01,2007,1,LAK,1,1,4,2
brustba01,2006,1,LAK,1,1,5,1
rolosdw01,2010,2,TBL,3,3,24,6
niemian02,2010,1,SJS,3,5,28,8
gigueje01,2009,1,AND,1,2,8,4
auldal01,2005,1,VAN,4,3,22,7
bironma01,2006,2,PHI,0,1,3,2
johnsbr02,2009,1,PIT,2,0,6,0
turcoma01,2006,1,DAL,8,4,46,11
lehtoka01,2007,1,ATL,4,3,18,5
thomati01,2006,1,BOS,8,2,46,8
johnsbr02,2011,1,PIT,0,1,3,2
vokouto01,2008,1,FLO,3,4,19,6
crawfco01,2005,1,CHI,0,1,3,2
luongro01,2009,1,VAN,2,3,14,5
garonma01,2005,1,LAK,4,1,16,3
thibajo01,2005,1,PIT,1,1,12,3
nabokev01,2006,1,SJS,2,1,10,4
toskave01,2005,1,SJS,0,3,12,5
holtbbr01,2010,1,WAS,1,1,7,3
bachmri01,2011,1,DAL,0,1,3,1
leighmi01,2009,1,CAR,1,0,3,0
denisma01,2005,1,CBS,3,1,18,4
