qualifyid,raceid,driverid,constructorid,number,position,q1,q2,q3
2675,261,71,3,0,2,1:22.559,,
918,60,15,7,8,22,,,
1207,80,31,1,10,9,1:15.406,,
5511,883,1,131,10,4,1:33.498,1:33.346,1:32.762
4653,845,24,164,23,21,1:27.809,,
2433,250,71,3,5,8,1:57.768,,
788,55,21,4,2,2,1:27.765,1:26.196,1:25.635
6987,962,3,131,6,1,1:45.316,1:43.020,1:42.584
623,47,14,9,14,13,1:28.395,1:28.100,
3731,353,810,166,25,22,1:42.325,,
5937,853,16,10,14,12,1:24.595,1:24.209,
4025,121,48,3,4,5,1:21.834,,
6641,943,829,206,28,19,1:24.386,,
7396,981,835,4,30,17,1:40.646,,
5654,890,813,3,16,15,1:20.816,1:21.133,
4347,103,17,19,14,7,1:58.729,,
2373,247,64,28,21,20,1:36.023,,
7004,962,831,15,12,18,1:46.860,,
5896,901,822,3,77,15,1:59.709,2:02.756,
2885,269,57,1,7,4,1:21.251,,
4801,852,1,1,3,2,2:03.008,2:02.823,1:48.730
5217,870,815,15,15,14,1:22.110,1:21.895,
3584,347,5,205,19,19,1:18.300,,
3754,354,5,205,19,21,1:22.378,,
4268,99,48,3,4,8,1:14.275,,
4603,843,17,9,2,18,1:36.468,,
6257,917,18,1,22,5,1:11.097,1:11.127,1:10.930
1585,173,55,20,14,17,1:38.209,,
3788,108,2,15,9,7,1:28.464,,
2341,246,49,15,30,12,1:20.309,,
6188,913,824,206,17,19,1:49.440,,
3521,345,4,6,8,4,1:38.472,1:38.179,1:38.075
4005,120,22,6,2,5,1:22.180,,
5786,896,822,3,17,15,1:26.178,1:26.134,
3282,15,6,3,17,17,1:31.718,,
2023,216,75,20,15,17,1:44.112,,
775,54,14,9,14,11,1:34.839,1:34.614,
2833,267,56,17,15,4,2:22.074,,
677,50,1,1,2,1,1:25.489,1:24.753,1:25.368
374,36,21,4,3,6,1:27.270,1:25.944,1:27.634
3138,8,5,1,2,13,1:19.732,1:19.353,
5371,877,17,9,2,2,1:41.933,1:41.277,1:40.978
2820,266,110,15,29,17,1:21.946,,
6316,926,832,5,55,8,1:29.597,1:28.601,1:28.510
3298,16,154,4,8,13,1:24.394,1:22.477,
3982,119,23,3,4,2,1:15.185,,
1683,192,56,6,4,6,1:18.449,,
1379,89,4,4,5,1,1:34.080,,
6227,915,821,15,21,14,1:41.159,1:40.536,
859,58,15,7,8,7,1:16.174,1:15.068,1:15.976
3507,344,808,4,12,14,1:16.569,1:16.844,
829,56,11,8,22,21,1:27.609,,
1381,89,8,1,9,3,1:34.488,,
4372,105,17,19,14,12,1:35.286,,
3141,8,21,10,21,16,1:19.802,,
710,51,15,7,12,12,1:37.209,1:36.959,
3176,10,67,5,12,11,1:21.571,1:21.002,
1877,210,30,6,5,3,1:23.955,,
5197,869,818,5,17,18,1:16.741,,
5336,875,814,10,11,14,1:38.942,1:38.643,
2322,245,94,18,23,17,1:31.445,,
5412,878,10,206,24,19,1:40.056,,
5663,891,20,9,1,2,2:01.863,1:48.646,2:01.200
2613,257,103,27,25,20,1:19.398,,
1058,67,22,11,11,8,1:22.640,1:21.688,1:22.787
1171,78,2,3,8,13,1:17.081,,
6753,951,13,3,19,5,1:37.753,1:37.230,1:37.016
5188,869,814,10,11,9,1:16.352,1:39.703,1:44.889
6514,937,807,10,27,11,1:49.499,1:49.121,
3906,115,17,19,14,6,1:16.182,,
3476,343,9,4,11,7,1:27.766,1:27.426,1:27.039
4951,859,30,131,7,10,1:13.694,1:13.571,
2100,227,77,22,4,8,1:21.054,,
494,41,26,5,19,16,1:17.433,1:17.571,
760,53,27,13,19,18,1:35.724,,
1500,156,50,21,14,20,1:14.138,,
2141,229,57,1,7,8,1:21.688,,
188,26,21,10,21,20,1:21.885,,
2936,271,49,15,30,3,1:37.742,,
5812,897,823,207,21,19,1:43.252,,
3384,339,808,4,12,11,1:47.952,1:48.760,
5520,883,817,5,19,13,1:34.120,1:33.974,
5645,890,8,208,7,6,1:20.867,1:20.243,1:19.851
3393,339,1,1,2,20,1:53.050,,
590,46,1,1,2,2,1:19.570,1:19.301,1:19.781
6747,950,836,209,94,21,,,
1905,211,55,22,7,9,1:19.263,,
1610,175,44,20,18,20,1:35.068,,
3566,347,20,9,5,1,1:15.152,1:14.249,1:13.791
1349,87,23,7,17,11,1:13.285,,
6115,910,16,15,99,12,1:26.027,1:25.136,
4108,91,15,4,7,8,1:34.413,,
6086,909,817,9,3,5,1:18.117,1:17.855,1:17.273
4069,123,18,16,17,9,1:33.474,,
654,48,29,12,21,22,1:25.084,,
5647,890,817,5,19,8,1:21.181,1:20.527,1:20.641
5974,904,817,9,3,3,1:28.053,1:26.613,1:26.285
2130,228,83,18,20,17,1:30.471,,
4489,74,2,3,8,9,1:20.807,1:24.389,
1640,177,49,17,8,7,1:27.613,,
4751,849,817,164,22,24,1:38.059,,
2875,268,109,22,5,20,1:26.384,,
5450,880,814,10,14,9,1:45.601,1:36.901,1:29.305
2523,254,71,3,5,2,1:14.213,,
6571,940,154,208,8,8,1:34.398,1:34.278,1:33.967
4512,75,35,15,11,12,1:16.794,1:19.686,
3750,354,24,10,15,17,1:20.592,1:20.357,
1447,125,21,17,9,9,1:37.536,,
