constructorresultsid,raceid,constructorid,points,status
15234,950,5,6.0,
5569,456,34,6.0,
5399,444,53,0.0,
4929,411,49,0.0,
11071,690,6,6.0,
12596,578,73,0.0,
15243,951,3,22.0,
1525,163,21,1.0,
1843,192,22,4.0,
3021,290,1,3.0,
1280,141,6,14.0,
13502,533,63,0.0,
5963,481,6,10.0,
13180,546,1,0.0,
13285,553,34,4.0,
5183,429,51,0.0,
1325,145,3,6.0,
2935,283,25,0.0,
2954,285,6,6.0,
14510,872,9,0.0,
3826,1,4,4.0,
5966,481,27,1.0,
13123,575,1,4.0,
4195,366,34,0.0,
304,46,12,0.0,
14258,851,164,0.0,
15310,957,10,14.0,
11806,652,63,0.0,
5473,449,21,0.0,
13478,532,32,9.0,
13721,515,59,0.0,
3558,322,34,0.0,
2399,242,28,0.0,
13219,549,25,4.0,
13278,552,57,0.0,
4651,392,1,4.0,
6354,505,25,5.0,
4567,386,21,0.0,
12395,594,25,4.0,
13586,538,34,0.0,
158,33,7,4.0,
13371,558,6,0.0,
11209,684,190,0.0,
5771,469,1,10.0,
4321,373,1,15.0,
4071,360,6,0.0,
6086,488,51,0.0,
2684,264,30,0.0,
14959,913,208,0.0,
14503,872,131,14.0,
11856,633,63,0.0,
13612,539,21,0.0,
820,96,4,9.0,
10344,731,6,4.0,
589,72,16,0.0,
2213,225,17,0.0,
4485,382,32,3.0,
582,72,3,6.0,
2473,248,1,0.0,
3155,298,36,0.0,
2866,278,27,1.0,
14965,914,1,10.0,
11145,697,6,0.0,
13539,535,6,0.0,
505,65,1,8.0,
14213,848,6,28.0,
4688,394,18,0.0,
477,62,3,0.0,
9634,770,105,3.0,
13767,518,59,0.0,
14806,790,105,15.0,
4186,366,22,2.0,
5785,469,54,0.0,
14784,898,208,18.0,
6441,511,56,0.0,
4142,363,49,0.0,
1453,156,21,0.0,
1027,116,7,0.0,
5148,427,32,0.0,
11077,690,183,0.0,
14071,351,131,10.0,
14394,863,10,8.0,
13570,537,21,0.0,
14973,914,206,0.0,
14092,353,6,40.0,
10243,744,175,0.0,
5373,442,27,0.0,
6431,510,57,0.0,
2402,242,25,0.0,
15389,964,210,0.0,
5264,435,32,0.0,
13412,528,27,0.0,
2444,246,6,2.0,
2948,284,26,0.0,
523,66,5,0.0,
13454,530,34,0.0,
1785,186,21,0.0,
14269,852,166,0.0,
14039,348,5,0.0,
13867,525,1,1.0,
13554,536,54,0.0,
5201,431,34,9.0,
3521,320,41,0.0,
4238,368,48,0.0,
