raceid,driverid,lap,position,time,milliseconds
236,79,12,11,1:57.306,117306
898,17,43,3,1:42.200,102200
126,23,44,1,1:22.465,82465
146,18,56,12,1:14.898,74898
93,23,52,7,1:24.353,84353
73,27,27,15,1:37.924,97924
184,56,35,1,1:47.888,107888
959,832,52,15,1:36.166,96166
872,18,28,3,1:29.262,89262
350,29,19,21,1:30.253,90253
7,2,55,11,1:29.174,89174
209,50,12,10,1:32.525,92525
92,44,31,10,1:33.427,93427
146,31,27,6,1:12.759,72759
918,20,15,8,1:49.713,109713
878,155,22,17,1:44.154,104154
931,807,17,16,1:20.880,80880
19,18,56,10,1:35.715,95715
137,13,14,16,2:01.961,121961
32,5,41,12,1:48.971,108971
953,20,42,4,1:21.424,81424
193,30,65,1,1:29.537,89537
1,17,2,19,1:49.274,109274
155,23,6,4,1:27.994,87994
168,63,45,5,1:58.953,118953
210,79,50,12,1:31.113,91113
106,8,38,9,1:34.764,94764
228,63,11,5,1:30.745,90745
155,21,28,10,1:27.968,87968
854,67,40,13,1:54.814,114814
200,56,52,3,1:16.713,76713
975,8,30,6,1:16.884,76884
930,8,29,5,1:32.314,92314
64,30,57,1,1:18.383,78383
155,2,17,14,1:28.938,88938
865,818,31,12,1:19.290,79290
70,2,29,11,1:31.196,91196
214,55,7,9,1:20.738,80738
157,44,49,13,1:41.978,101978
956,825,15,18,1:12.053,72053
74,27,6,19,1:28.496,88496
851,1,59,5,1:23.876,83876
888,8,54,3,1:35.113,95113
108,14,57,1,1:30.289,90289
934,822,21,1,1:36.610,96610
37,9,1,6,1:46.346,106346
905,8,52,10,1:21.708,81708
100,13,1,10,1:31.752,91752
970,13,39,11,1:38.964,98964
136,11,7,14,1:20.808,80808
169,37,57,19,1:25.117,85117
228,49,22,9,1:31.331,91331
908,818,2,17,1:01:07.384,3667384
907,4,5,5,1:14.883,74883
972,1,21,4,1:38.827,98827
896,817,27,4,1:31.744,91744
882,814,34,11,1:41.031,101031
863,1,27,11,1:39.873,99873
164,57,17,5,1:24.125,84125
954,821,29,15,1:19.582,79582
896,13,7,1,1:33.054,93054
958,835,50,13,1:26.288,86288
861,39,38,23,2:25.451,145451
11,5,36,3,1:40.050,100050
114,44,32,14,1:25.096,85096
173,64,16,20,1:41.665,101665
100,30,54,1,1:19.757,79757
61,8,29,2,1:17.379,77379
859,22,66,14,1:17.297,77297
193,44,5,16,1:33.490,93490
902,826,35,14,1:41.569,101569
848,808,53,16,1:44.700,104700
355,153,45,10,1:43.331,103331
193,56,32,5,1:30.107,90107
91,22,11,7,1:59.566,119566
212,81,47,16,1:26.745,86745
950,836,15,17,1:52.394,112394
870,818,39,17,1:27.270,87270
964,3,6,1,1:37.495,97495
902,1,28,1,1:40.098,100098
337,13,28,3,2:00.760,120760
181,15,17,7,1:21.655,81655
3,12,32,18,1:59.862,119862
145,21,2,15,1:27.195,87195
75,21,39,2,1:18.709,78709
929,830,27,16,1:42.091,102091
67,18,24,10,1:24.960,84960
