qualifyid,raceid,driverid,constructorid,number,position,q1,q2,q3
234,29,20,5,15,6,1:38.141,1:37.842,1:40.142
4998,861,4,6,5,9,1:38.151,1:37.379,1:37.566
1171,78,2,3,8,13,1:17.081,,
7287,976,840,3,18,8,1:43.613,1:42.284,1:42.753
6511,937,813,208,13,8,1:49.568,1:48.956,1:48.754
3736,354,17,9,6,3,1:19.025,1:18.516,1:15.637
2240,242,63,25,4,13,1:31.035,,
933,61,24,5,20,15,1:16.581,1:16.116,
201,27,3,3,7,13,1:15.863,1:15.633,
2619,257,101,31,31,26,1:21.186,,
4908,857,813,3,12,14,1:26.829,1:26.537,
434,38,27,12,12,22,1:35.533,,
3131,8,18,23,22,6,1:18.957,1:18.663,1:20.289
601,46,25,3,17,13,1:21.243,1:20.865,
6460,933,18,1,22,17,1:12.632,,
2938,271,65,22,6,5,1:37.828,,
4719,848,815,15,17,16,1:39.494,1:39.657,
2444,250,69,18,24,19,2:01.013,,
3364,338,807,3,10,15,1:25.866,1:25.748,
1129,70,3,3,10,13,1:11.974,1:11.679,
6934,959,18,1,22,12,1:16.172,1:15.909,
3176,10,67,5,12,11,1:21.571,1:21.002,
3470,343,17,9,6,1,1:27.500,1:26.818,1:26.295
1368,88,13,15,12,10,1:48.278,,
1234,81,13,15,12,16,1:22.495,,
7158,969,840,3,18,19,1:27.143,,
2040,224,50,29,17,12,1:35.338,,
713,51,3,3,16,15,1:37.144,1:37.483,
2001,215,63,25,19,17,1:24.478,,
5447,880,3,131,9,6,1:43.380,1:36.194,1:28.523
2155,229,85,28,23,22,1:25.393,,
3442,341,10,166,24,21,1:25.475,,
4727,848,39,164,22,24,1:44.363,,
1884,210,14,1,10,10,1:25.077,,
2601,257,57,1,7,8,1:18.122,,
4100,90,46,18,20,20,,,
2784,265,87,25,4,7,1:45.474,,
1673,191,76,24,19,18,1:34.906,,
6817,954,20,6,5,3,1:13.925,1:13.857,1:12.990
4572,842,30,131,7,11,1:36.904,1:37.035,
573,45,5,4,4,7,1:32.594,1:31.783,1:32.478
4738,849,16,10,14,11,1:34.454,1:32.617,
6759,951,832,5,55,11,1:37.784,1:37.652,
6987,962,3,131,6,1,1:45.316,1:43.020,1:42.584
4564,842,17,9,2,3,1:37.924,1:36.080,1:35.179
116,23,15,7,11,8,1:16.306,1:15.598,1:17.203
4919,858,20,9,1,1,1:40.478,1:38.516,1:38.481
3013,2,9,2,5,8,1:35.166,1:34.562,1:36.106
1258,82,39,17,19,20,,,
3077,5,12,4,8,12,1:21.128,1:20.604,
2483,252,56,17,15,10,1:22.831,,
7214,972,4,1,14,15,1:36.353,1:36.660,
729,52,14,9,14,9,1:13.264,1:12.846,1:13.272
2871,268,22,17,14,16,1:25.946,,
697,50,11,8,22,21,1:28.762,,
7083,966,13,3,19,9,1:20.423,1:20.151,1:20.032
1487,156,14,1,4,7,1:12.500,,
1863,209,55,22,7,11,1:27.076,,
2181,240,55,6,27,6,1:21.041,,
5606,887,18,1,5,11,1:31.979,1:31.649,
2788,265,22,17,14,11,1:45.939,,
1504,158,14,1,2,2,1:30.910,,
1434,109,17,19,14,16,1:38.624,,
5556,885,8,208,7,5,1:25.835,1:16.040,1:14.822
5135,867,813,3,18,3,1:38.825,1:38.570,1:38.475
5599,887,17,9,2,4,1:31.605,1:31.002,1:30.220
1975,214,75,20,15,13,1:15.876,,
5722,893,814,10,14,17,1:46.121,,
193,27,4,4,5,5,1:15.917,1:14.943,1:16.385
3864,113,31,3,3,3,1:09.391,,
1080,68,2,2,16,8,1:46.249,1:45.055,1:46.053
6554,939,807,10,27,11,1:46.669,1:46.305,
3473,343,18,1,1,4,1:27.555,1:27.277,1:26.781
3854,112,43,7,21,13,1:19.623,,
5129,866,37,164,22,21,1:17.492,,
3935,116,49,15,10,15,1:34.000,,
2352,246,64,28,21,23,1:24.184,,
194,27,8,6,1,6,1:15.201,1:14.949,1:16.389
4740,849,30,131,7,13,1:34.160,1:32.656,
2817,266,112,1,7,14,1:21.498,,
6496,936,815,10,11,13,1:24.444,1:24.461,
158,25,10,7,12,10,1:15.727,1:15.558,1:17.596
390,36,27,12,21,22,1:31.932,,
2687,261,105,18,24,14,1:24.996,,
5848,899,5,208,7,11,1:26.266,1:27.456,
1460,125,62,18,22,22,1:40.158,,
722,52,1,1,2,2,1:13.033,1:12.296,1:12.082
7201,972,8,6,7,2,1:34.953,1:33.663,1:33.253
4941,858,24,164,23,23,1:45.159,,
5390,877,808,207,21,21,1:45.151,,
5753,895,154,208,8,4,1:31.824,1:31.565,1:31.365
2930,270,100,33,20,23,1:26.272,,
4938,858,10,166,24,20,1:44.515,,
2482,252,84,27,25,9,1:22.588,,
2870,268,84,1,8,15,1:25.933,,
4744,849,5,205,20,17,1:34.923,1:34.821,
5436,879,808,207,21,19,1:17.073,,
4879,856,814,10,15,9,1:38.549,1:38.254,
6795,953,1,131,44,3,1:14.826,1:14.056,1:13.942
5057,863,808,207,21,20,1:35.823,,
853,58,4,4,1,1,1:15.816,1:15.124,1:14.648
6204,914,826,5,26,13,1:35.210,1:35.092,
