driverstandingsid,raceid,driverid,points,position,positiontext,wins
7015,297,105,5.0,9,9,0
49795,749,476,4.0,11,11,0
62006,757,513,0.0,14,14,0
9680,287,104,5.0,14,14,0
68373,979,830,67.0,6,6,0
51872,805,672,0.0,68,68,0
49448,773,589,0.0,79,79,0
56110,581,235,3.0,10,10,0
51276,705,347,0.0,14,14,0
67954,964,815,80.0,8,8,0
19305,382,112,0.0,23,23,0
9536,281,123,0.0,24,24,0
57133,575,246,0.0,41,41,0
48927,697,398,0.0,30,30,0
64478,845,815,2.0,14,14,0
65781,891,20,197.0,1,1,5
66479,269,95,0.0,37,37,0
56134,581,296,0.0,29,29,0
18675,368,77,15.0,7,7,1
67177,932,813,6.0,15,15,0
43971,831,642,17.0,4,4,1
22087,467,196,0.0,15,15,0
54939,611,224,41.0,1,1,3
53455,641,346,13.0,6,6,1
20873,432,172,10.0,11,11,0
56811,569,222,36.0,2,2,1
44027,831,774,0.0,31,31,0
7189,303,100,4.0,11,11,0
58101,553,182,48.0,1,1,2
126,24,12,0.0,19,19,0
58608,517,221,20.0,4,4,1
21030,436,172,0.0,21,21,0
66566,271,115,0.0,44,44,0
11147,180,14,12.0,6,6,0
51101,701,406,0.0,13,13,0
20223,413,174,0.0,16,16,0
66938,914,154,8.0,14,14,0
18592,366,133,4.0,15,15,0
20085,409,157,0.0,25,25,0
57473,536,219,0.0,26,26,0
53304,637,320,0.0,19,19,0
5130,228,14,4.0,9,9,0
11887,130,59,0.0,21,21,0
46891,790,637,0.0,69,69,0
243,29,16,0.0,21,21,0
23016,491,207,3.0,16,16,0
64526,847,815,2.0,16,16,0
65003,863,17,48.0,3,3,0
13981,52,5,30.0,7,7,0
22269,473,117,18.0,3,3,2
10712,210,57,10.0,7,7,0
43273,835,640,0.0,47,47,0
56374,587,297,0.0,27,27,0
20757,428,102,9.0,9,9,1
67742,955,825,6.0,15,15,0
4341,194,21,1.0,9,9,0
56898,571,252,10.0,10,10,0
45016,813,496,0.0,60,60,0
48127,740,479,0.0,15,15,0
17605,319,143,0.0,39,39,0
57334,533,182,16.0,5,5,0
3402,173,15,6.0,10,10,0
5086,226,50,1.0,11,11,0
62402,763,356,31.0,1,1,2
53505,642,347,0.0,26,26,0
64843,857,24,0.0,23,23,0
45251,815,589,0.0,57,57,0
11701,155,23,48.0,4,4,3
67534,945,828,9.0,18,18,0
58378,558,233,12.0,11,11,0
58276,556,235,0.0,33,33,0
11198,182,64,2.0,11,11,0
54426,646,359,2.0,15,15,0
11663,153,41,0.0,19,19,0
54117,626,337,0.0,23,23,0
56688,566,252,4.0,9,9,0
46386,797,528,0.0,56,56,0
64502,846,815,2.0,15,15,0
45046,813,520,0.0,33,33,0
57634,540,158,0.0,36,36,0
46641,787,592,0.0,31,31,0
59147,505,176,0.0,21,21,0
5162,230,44,11.0,5,5,1
20716,427,173,26.0,3,3,1
13072,64,36,0.0,24,24,0
44708,824,710,0.0,83,83,0
53375,639,340,0.0,36,36,0
48915,697,347,0.0,20,20,0
46494,798,664,0.0,53,53,0
50903,715,380,0.0,32,32,0
