constructorresultsid,raceid,constructorid,points,status
2002,206,18,0.0,
2787,272,27,2.0,
14289,854,15,1.0,
5372,442,52,0.0,
5235,433,51,0.0,
4045,359,25,4.0,
5570,456,4,4.0,
2667,263,1,0.0,
4807,402,33,0.0,
1919,199,1,6.0,
317,48,1,18.0,D
141,31,7,0.0,
4633,390,18,0.0,
5628,460,34,6.0,
324,48,7,0.0,
12640,581,66,0.0,
432,58,3,0.0,
15484,973,5,8.0,
4022,357,49,0.0,
5470,449,45,0.0,
14834,902,6,3.0,
12600,578,63,0.0,
12533,603,34,0.0,
10055,753,66,0.0,
4430,379,3,6.0,
2786,272,17,3.0,
5860,474,56,0.0,
12858,587,57,0.0,
14598,880,9,23.0,
3601,324,44,0.0,
11892,637,82,0.0,
4547,385,27,0.0,
13647,542,6,9.0,
2660,263,15,4.0,
3584,323,47,0.0,
6437,511,27,6.0,
1741,182,16,0.0,
13644,541,54,0.0,
11835,655,66,1.0,
187,36,2,5.0,
13771,519,4,13.0,
293,45,12,0.0,
14538,875,208,16.0,
14551,876,208,8.0,
2281,231,29,0.0,
10927,702,172,9.0,
280,44,8,0.0,
11133,696,172,0.0,
2639,261,29,0.0,
5863,475,3,6.0,
13434,529,4,0.0,
4958,413,18,0.0,
989,113,1,12.0,
15478,972,15,0.0,
2883,279,17,0.0,
12274,613,34,1.0,
15016,926,6,15.0,
3040,291,33,0.0,
3494,318,39,0.0,
5292,437,52,0.0,
11838,655,34,0.0,
1077,121,7,0.0,
3805,335,39,0.0,
2197,224,1,2.0,
10630,728,167,0.0,
15469,972,131,37.0,
5064,421,21,0.0,
4978,415,27,0.0,
1008,115,6,14.0,
