targetid,raceid,driverid,win
64456,845,20,1
46603,786,512,0
48277,744,480,0
56940,571,246,0
51963,806,670,0
62564,764,401,0
49510,774,427,0
53919,678,351,0
43398,837,627,0
10284,244,69,0
21935,464,182,0
66175,261,88,0
17097,306,131,0
57121,575,271,0
4397,197,49,0
67169,932,807,0
18514,364,99,0
68290,975,839,0
56834,569,255,0
65654,885,814,0
21616,454,172,0
23134,493,163,0
44730,808,696,0
19384,384,165,0
67183,932,829,0
21591,453,118,0
64761,854,39,0
3511,79,13,0
10455,250,84,0
53162,632,320,0
11958,134,17,0
67761,956,822,0
23212,495,202,0
1548,87,21,0
6981,296,119,0
64263,353,32,0
57348,533,172,0
22980,490,175,0
22887,487,214,0
64413,843,18,0
44364,821,518,0
17506,317,90,0
68368,978,18,0
55838,603,304,0
20687,426,173,0
21313,445,188,0
22541,480,173,0
57520,537,209,0
21953,464,197,0
56913,571,172,0
22097,467,95,0
55134,616,306,0
63396,720,439,0
13154,68,3,0
58791,523,207,0
47143,779,565,0
7235,304,94,0
55988,577,221,0
54573,650,353,0
44147,817,642,0
7105,300,123,0
57195,528,158,0
19827,400,95,1
56356,587,232,0
