raceid,driverid,lap,position,time,milliseconds
74,33,35,15,1:26.807,86807
927,813,42,14,1:46.224,106224
891,821,43,14,1:52.166,112166
18,1,17,1,1:27.484,87484
168,14,23,2,1:44.730,104730
33,22,14,12,1:21.558,81558
40,15,31,15,1:18.174,78174
216,50,1,17,2:05.824,125824
903,18,1,14,1:54.156,114156
856,24,5,24,1:50.725,110725
100,2,36,16,1:22.001,82001
227,57,12,6,1:24.048,84048
883,814,6,3,1:41.911,101911
103,44,28,8,1:48.294,108294
194,55,7,8,1:32.192,92192
226,22,60,4,1:32.447,92447
177,70,23,10,1:31.743,91743
848,813,14,21,1:47.727,107727
907,8,41,8,1:13.884,73884
10,17,57,4,1:22.962,82962
53,18,11,3,1:34.295,94295
119,4,52,5,1:18.045,78045
122,43,45,10,1:14.443,74443
876,5,52,19,1:32.260,92260
203,14,1,15,3:11.474,191474
874,37,25,20,1:41.339,101339
16,67,23,4,1:14.850,74850
130,49,66,6,1:22.713,82713
971,828,3,19,1:39.014,99014
22,4,45,7,1:28.738,88738
60,21,40,4,1:23.444,83444
951,821,6,19,1:46.642,106642
190,68,14,19,1:47.750,107750
218,71,19,18,2:07.835,127835
848,20,42,1,1:42.172,102172
956,822,18,12,1:13.041,73041
109,43,12,12,1:40.227,100227
169,48,53,17,1:23.388,83388
846,816,63,18,1:48.656,108656
931,831,8,11,1:22.027,82027
894,16,26,13,1:46.655,106655
30,15,17,18,1:52.235,112235
843,5,49,17,1:43.200,103200
959,3,22,4,1:21.386,81386
974,13,9,14,1:18.318,78318
339,9,50,4,1:38.353,98353
36,8,10,1,1:26.577,86577
871,17,9,10,1:59.423,119423
954,4,33,14,1:19.411,79411
101,11,31,8,1:21.365,81365
980,13,7,13,1:53.233,113233
896,3,16,7,1:31.997,91997
979,8,69,2,1:20.957,80957
105,41,30,13,1:35.521,95521
222,21,13,10,1:41.974,101974
881,818,51,10,1:42.040,102040
972,822,52,1,1:38.871,98871
130,13,9,13,1:23.686,83686
87,13,44,12,1:16.338,76338
28,4,16,6,1:23.002,83002
219,71,44,9,1:27.431,87431
235,44,58,7,1:23.957,83957
173,22,26,4,1:40.218,100218
4,4,19,10,1:36.192,96192
