constructorresultsid,raceid,constructorid,points,status
5869,475,45,0.0,
713,85,15,0.0,
13543,535,56,0.0,
3512,320,1,7.0,
10590,725,170,4.0,
6428,510,56,0.0,
425,57,8,0.0,
3392,313,22,0.0,
955,109,7,0.0,
9922,760,105,0.0,
13793,520,32,0.0,
1316,144,17,3.0,
3081,294,1,10.0,
10790,716,11,0.0,
4583,387,49,0.0,
10197,738,167,0.0,
14465,869,1,18.0,
597,73,17,0.0,
4093,361,37,0.0,
12994,566,58,0.0,
14394,863,10,8.0,
575,71,7,0.0,
2016,207,17,0.0,
5264,435,32,0.0,
3339,310,18,0.0,
5194,430,4,0.0,
5390,443,52,0.0,
5937,479,34,0.0,
2954,285,6,6.0,
4768,399,27,0.0,
2813,274,32,4.0,
2908,281,6,0.0,
13914,338,6,27.0,
292,45,7,0.0,
13285,553,34,4.0,
12573,577,1,6.0,
3131,297,32,1.0,
10599,725,95,0.0,
5293,437,21,0.0,
3778,334,41,0.0,
10017,748,111,1.0,
675,81,9,0.0,
2771,271,6,4.0,
3437,315,41,0.0,
10209,740,66,0.0,
2329,236,29,0.0,
3149,298,29,0.0,
10740,711,170,6.0,
309,47,4,3.0,
812,95,15,4.0,
198,37,2,5.0,
11220,685,82,0.0,
50,22,3,1.0,
14151,842,3,0.0,
2342,237,25,0.0,
1599,170,1,13.0,
930,107,6,8.0,
2612,259,31,0.0,
10051,753,170,8.0,
14264,852,10,6.0,
686,82,18,0.0,
11879,636,180,4.0,
2026,208,25,0.0,
14,19,1,10.0,
1675,176,15,0.0,
1847,192,17,0.0,
4883,408,6,7.0,
4533,384,33,0.0,
14216,848,5,4.0,
13789,520,25,4.0,
5582,456,55,0.0,
4336,373,48,0.0,
11576,664,183,0.0,
4545,385,18,0.0,
11864,634,63,1.0,
4284,371,22,8.0,
11946,642,63,0.0,
5744,467,37,0.0,
14410,864,10,1.0,
5975,481,34,0.0,
3396,313,25,0.0,
