raceid,driverid,lap,position,time,milliseconds
12,9,11,3,1:48.109,108109
871,20,43,2,1:54.688,114688
846,16,12,13,1:22.017,82017
845,10,30,21,1:34.787,94787
960,815,30,5,1:53.839,113839
223,81,64,14,1:27.280,87280
916,8,38,7,1:45.025,105025
178,35,6,9,1:26.590,86590
943,828,8,14,1:28.231,88231
62,15,11,8,1:14.224,74224
341,3,23,16,1:28.672,88672
161,41,22,12,1:28.984,88984
842,2,17,5,1:44.767,104767
137,23,30,6,1:49.697,109697
65,4,30,1,2:35.197,155197
36,8,55,1,1:28.498,88498
207,15,48,10,1:36.759,96759
892,154,14,11,1:29.555,89555
150,8,41,11,1:38.729,98729
876,20,36,1,1:30.279,90279
896,154,19,15,1:33.059,93059
99,32,64,11,1:18.026,78026
22,18,30,8,1:28.712,88712
160,30,47,1,1:27.521,87521
349,24,24,11,1:53.654,113654
929,813,50,15,1:38.718,98718
949,831,12,16,1:37.965,97965
342,20,58,2,1:16.136,76136
24,9,58,1,1:19.116,79116
130,63,3,8,1:23.210,83210
172,37,42,12,1:17.841,77841
977,839,68,8,1:08.659,68659
220,14,9,7,1:14.525,74525
959,815,16,12,1:21.753,81753
94,46,31,19,1:24.050,84050
861,8,3,8,2:11.713,131713
22,5,9,18,1:28.721,88721
886,821,17,11,1:22.190,82190
47,14,4,9,1:30.798,90798
157,49,24,18,1:39.329,99329
902,8,53,10,1:39.881,99881
43,1,10,3,1:16.807,76807
871,155,9,19,1:57.985,117985
225,63,25,7,1:37.754,97754
344,37,8,20,1:24.754,84754
882,822,28,13,1:44.698,104698
76,40,1,14,1:35.797,95797
931,831,46,9,1:20.792,80792
96,4,25,6,1:31.638,91638
906,155,23,18,1:23.691,83691
201,50,23,16,1:53.424,113424
33,18,1,11,1:29.006,89006
871,13,4,11,3:00.675,180675
4,7,56,13,1:36.292,96292
953,807,63,7,1:19.499,79499
136,18,5,6,1:20.489,80489
337,30,22,6,2:01.397,121397
158,55,3,18,1:37.203,97203
355,17,33,12,1:45.169,105169
846,4,78,2,1:16.547,76547
179,21,24,15,1:28.361,88361
74,23,2,12,1:27.126,87126
114,52,44,12,1:17.737,77737
931,4,19,10,1:20.768,80768
154,49,19,11,1:55.459,115459
185,37,9,19,1:25.217,85217
170,56,35,10,1:56.063,116063
943,154,36,11,1:24.041,84041
849,13,47,5,1:35.792,95792
215,56,14,7,1:28.105,88105
113,30,28,3,1:10.585,70585
179,15,40,6,1:27.275,87275
892,822,17,14,1:30.103,90103
23,12,44,10,1:34.022,94022
162,15,7,8,1:27.325,87325
880,8,33,1,1:32.108,92108
107,46,45,17,1:14.905,74905
846,15,39,14,1:22.893,82893
221,63,50,10,1:22.045,82045
962,822,10,16,1:55.144,115144
869,5,6,16,1:23.932,83932
200,30,58,4,1:13.895,73895
120,17,26,3,1:24.062,84062
60,36,22,17,1:29.587,89587
131,22,39,6,1:17.293,77293
876,808,56,17,1:32.071,92071
897,4,2,8,1:49.096,109096
842,808,12,7,1:46.496,106496
109,31,53,12,1:38.218,98218
952,825,23,13,1:33.408,93408
941,833,21,15,1:47.068,107068
30,2,37,7,1:49.254,109254
950,830,40,12,2:00.346,120346
345,810,15,16,1:48.258,108258
110,21,3,8,2:15.124,135124
350,18,29,1,1:25.691,85691
865,13,39,6,1:19.258,79258
85,4,32,2,1:22.915,82915
904,16,53,16,1:32.349,92349
881,813,16,21,1:44.639,104639
897,807,27,9,1:51.507,111507
213,15,3,13,1:23.677,83677
890,154,47,5,1:28.955,88955
