constructorstandingsid,raceid,constructorid,points,position,positiontext,wins
29,21,1,34.0,3,3,1
59,23,11,6.0,9,9,0
147,31,11,14.0,9,9,0
575,71,18,0.0,9,9,0
1578,170,6,117.0,2,2,6
2073,193,15,3.0,5,5,0
2105,196,15,4.0,6,6,0
2496,231,25,5.0,8,8,0
2570,238,6,64.0,3,3,3
3254,289,33,0.0,8,8,0
4045,1,9,0.0,8,8,0
4644,274,27,6.0,3,3,0
4681,277,15,5.0,6,6,0
4687,277,26,0.0,11,11,0
4706,279,15,6.0,8,8,0
4808,287,27,22.0,5,5,0
4821,288,27,23.0,5,5,0
5231,255,28,0.0,12,12,0
5278,209,24,0.0,11,11,0
5448,175,22,3.0,4,4,0
5837,127,17,0.0,10,10,0
5862,130,3,54.0,2,2,1
5877,131,7,2.0,9,9,0
5906,134,3,66.0,2,2,1
5950,138,3,86.0,2,2,1
6057,115,19,6.0,8,8,0
6380,58,7,7.0,7,7,0
6393,59,8,0.0,11,11,0
6494,68,14,0.0,12,12,0
6500,69,9,16.0,7,7,0
7635,321,45,0.0,12,12,0
7678,323,39,0.0,17,17,0
7851,332,42,0.0,18,18,0
7870,333,42,0.0,18,18,0
7887,334,39,0.0,14,14,0
8386,313,39,0.0,16,16,0
8395,313,35,5.0,7,7,0
8445,316,17,13.0,5,5,0
8510,319,42,0.0,19,19,0
8720,12,9,104.5,2,2,3
8776,356,21,2.0,5,5,0
8799,357,27,0.0,11,11,0
8997,367,25,12.0,5,5,0
9040,369,33,1.0,16,16,0
9278,379,1,102.0,1,1,8
9509,392,18,0.0,15,15,0
9727,407,22,8.0,5,5,0
9788,411,3,61.0,1,1,4
9837,414,26,0.0,10,10,0
9886,418,34,2.0,9,9,0
9901,419,21,1.0,10,10,0
9983,424,49,0.0,13,13,0
10051,426,32,35.0,2,2,2
10088,428,21,9.0,8,8,0
10221,436,27,0.0,8,8,0
10274,439,32,10.0,4,4,0
10305,441,51,6.0,6,6,0
10450,449,25,0.0,15,15,0
10698,465,34,59.0,3,3,3
10764,469,4,22.0,1,1,2
10905,477,54,4.0,10,10,0
11130,488,45,0.0,15,15,0
11169,491,3,67.0,1,1,3
11269,495,37,0.0,15,15,0
11342,500,57,0.0,12,12,0
11440,507,3,77.0,1,1,4
13922,17,3,34.5,7,7,0
17764,766,105,3.0,3,3,0
18877,760,117,0.0,5,5,0
19087,752,117,0.0,6,6,0
19101,753,6,19.0,3,3,0
19108,753,106,0.0,11,11,0
19610,737,6,18.0,6,6,0
19906,727,6,24.0,3,3,1
19924,728,172,54.0,1,1,7
20096,712,181,0.0,8,8,0
20473,707,167,0.0,16,16,0
20622,690,181,0.0,5,5,0
21016,673,187,22.0,3,3,1
21377,665,197,0.0,9,9,0
21970,626,83,0.0,11,11,0
22053,608,1,15.0,3,3,0
22084,611,34,7.0,5,5,0
22294,596,34,10.0,5,5,1
22311,597,25,27.0,3,3,1
22475,577,1,15.0,1,1,1
22711,582,63,0.0,13,13,0
22733,583,74,0.0,18,18,0
22880,562,6,27.0,1,1,3
22962,566,63,2.0,11,11,0
23106,574,204,9.0,9,9,0
23111,574,58,10.0,8,8,0
23268,551,6,50.0,1,1,2
23405,558,4,0.0,17,17,0
23437,527,56,0.0,6,6,0
23483,530,3,3.0,8,8,0
23581,535,58,4.0,11,11,0
24081,518,21,3.0,7,7,0
24373,347,15,15.0,8,8,0
24444,351,205,0.0,10,10,0
24666,841,205,0.0,7,7,0
24937,860,5,2.0,6,6,0
25053,874,6,263.0,3,3,3
25094,876,131,136.0,5,5,1
25155,881,206,0.0,10,10,0
25216,887,10,59.0,5,5,0
25522,257,27,0.0,10,10,0
25603,263,32,0.0,11,11,0
25630,265,15,10.0,7,7,0
25653,267,22,85.0,1,1,7
25666,267,30,0.0,14,14,0
25704,270,27,11.0,7,7,0
25749,37,7,3.0,4,4,0
25772,39,11,0.0,8,8,0
25819,43,5,0.0,9,9,0
25972,903,208,0.0,8,8,0
25974,903,9,57.0,2,2,0
26030,909,131,366.0,1,1,9
26065,912,6,162.0,4,4,0
26225,934,5,19.0,8,8,0
26253,937,15,23.0,8,8,0
26297,940,1,17.0,9,9,0
26552,957,5,41.0,6,6,0
26731,968,15,2.0,10,10,0
26754,971,131,99.0,2,2,1
26835,979,9,184.0,3,3,1
