qualifyid,raceid,driverid,constructorid,number,position,q1,q2,q3
12,18,4,4,5,12,1:26.907,1:26.188,
60,20,6,3,8,16,1:33.386,1:32.943,
118,23,14,9,9,10,1:16.086,1:15.839,
124,23,7,5,14,16,1:16.806,,
263,30,3,3,7,15,1:47.503,1:47.429,
372,36,1,1,2,4,1:26.674,1:25.577,1:26.755
433,38,14,9,14,21,1:35.341,,
479,41,1,1,2,1,1:16.576,1:15.486,1:15.707
661,49,17,9,15,7,1:47.084,1:46.426,1:47.524
693,50,22,11,8,17,1:27.323,,
814,56,23,7,7,6,1:24.370,1:23.565,1:23.772
867,58,32,9,15,15,1:16.627,1:15.928,
872,58,11,8,22,20,1:18.920,,
900,60,13,6,6,4,1:21.647,1:20.846,1:20.764
910,60,32,9,15,14,1:22.773,1:21.990,
959,62,3,3,10,19,1:13.506,,
1040,66,37,1,4,12,1:28.403,1:27.897,
1060,67,4,4,1,10,1:21.747,1:21.526,1:25.688
1294,84,27,18,21,16,1:32.186,,
1324,86,23,7,17,6,1:47.401,,
1536,160,63,15,17,12,1:26.336,,
1669,191,22,24,18,14,1:33.383,,
1670,191,15,20,12,15,1:33.739,,
1756,200,64,21,16,13,1:32.206,,
1764,200,75,18,22,21,1:34.536,,
1801,203,44,20,11,15,1:52.784,,
1838,208,49,3,4,8,1:16.971,,
1866,209,78,15,17,14,1:27.690,,
1957,213,63,25,18,17,1:20.336,,
2005,215,22,24,22,21,1:25.525,,
2155,229,85,28,23,22,1:25.393,,
2190,240,88,27,25,15,1:22.971,,
2215,241,50,31,12,14,1:57.231,,
2217,241,94,18,23,16,1:58.066,,
2284,244,55,6,27,5,1:23.754,,
2291,244,44,27,26,12,1:25.125,,
2320,245,63,25,4,15,1:30.657,,
2441,250,30,22,1,16,1:59.079,,
2518,253,89,29,10,21,1:24.900,,
2559,255,79,25,3,14,1:41.977,,
2635,258,100,33,20,16,1:13.111,,
2703,262,71,3,0,4,1:27.094,,
2708,262,79,25,3,9,1:27.827,,
2770,264,70,32,11,19,1:28.225,,
2799,265,100,33,20,22,1:48.229,,
2825,266,70,32,11,22,1:22.513,,
2863,268,110,15,29,8,1:25.540,,
2889,269,22,17,14,8,1:21.796,,
2896,269,44,27,26,15,1:22.672,,
2915,270,81,29,10,8,1:24.079,,
2975,272,105,18,24,16,1:18.755,,
3004,1,16,10,20,19,1:26.742,,
3059,4,2,2,6,14,1:33.377,1:33.562,
3107,7,18,23,22,2,1:27.355,1:27.230,1:28.421
3131,8,18,23,22,6,1:18.957,1:18.663,1:20.289
3141,8,21,10,21,16,1:19.802,,
3346,337,5,205,19,21,2:00.313,,
3374,339,17,9,6,1,1:51.886,1:48.210,1:49.327
3417,340,15,205,18,20,1:39.399,,
3542,346,20,9,5,1,1:30.841,1:30.480,1:29.615
3557,346,808,4,12,16,1:31.638,1:31.796,
3632,349,155,15,23,19,2:02.284,,
3697,352,13,6,7,12,1:32.721,1:32.321,
3767,355,808,4,12,10,1:41.018,1:40.658,1:40.901
3784,108,31,3,3,3,1:28.101,,
3920,115,8,1,6,20,,,
3961,118,22,6,2,1,1:21.209,,
4011,120,2,15,9,11,1:23.621,,
4135,92,2,17,18,15,1:33.506,,
4145,93,23,3,4,5,1:20.538,,
4196,95,13,15,12,16,1:16.248,,
4224,97,31,3,3,4,1:13.072,,
4302,101,31,3,3,2,1:13.668,,
4386,106,15,7,16,6,1:35.213,,
4465,73,17,3,7,5,1:30.592,1:32.670,
