statusid,status
1,Завершено
2,Дисквалифицированные
3,Несчастный случай
4,Столкновение
5,Двигатель
6,Коробка передач
7,Передача
8,Сцепление
9,Гидравлика
10,Электротехническое оборудование
11,+1 лап
12,+2 лапы
13,+3 лапы
15,+5 Лапы
16,+6 лап
17,+7 лапы
18,+8 лапы
19,+9 лап
20,Отскочила.
21,Радиатор
22,Приостановление действия
23,Тормозные системы
24,Дифференциальные
25,Перегрева
28,Сиденье водителя
30,Водитель
31,Выбыли в отставку
32,Давление топлива
33,Переднее крыло
34,Давление воды
35,Заправка топливом
37,Дроссельная заслонка
38,Рулевое управление
39,Технические вопросы
40,Электроника
41,Разбитое крыло
43,Выхлоп
44,Утечка нефти
45,+11 Лапы
46,Колесный обод
47,Утечка воды
48,Топливный насос
49,Железнодорожный стержень
50,+17 Лапы
53,+13 лапы
54,Снято
55,+12 лапы
58,+26 лап
61,Колесный орех
62,Не классифицированы
63,Пневматические
64,Обработка
65,Заднее крыло
66,Огонь
68,Физическое
69,Топливная система
70,Нефтяная линия
71,Топливная установка
73,Раненые
74,Топливо
75,Потеря мощности
76,Вибрации
79,Водитель
80,3.2 Зажигание
81,Не отвечает требованиям
82,Увечье
83,Шасси
84,Аккумуляторная батарея
85,Стационарная
89,Проблемы безопасности
90,Не возобновляется
92,Пониженный вес
93,Ремень безопасности
94,Нефтяной насос
96,Исключено
98,Инжекторное впрыскивание
99,Распределитель
100,Водитель нездоров
101,Турбо
103,Водонасыщенный насос
104,несчастный случай со смертельным исходом
105,Свечи зажигания
106,Топливная труба
107,Повреждение глаз
109,5.1.1 Мост
111,+14 лап
113,+25 лап
114,+18 Лапы
115,+22 лапы
117,+24 лапы
119,+23 лапы
120,+21 лап
121,Магнито
122,+44 лапы
124,+19 лап
125,+46 лапы
127,+20 лап
128,+42 лапы
129,Пропуск зажигания в двигателе
131,Мощность
134,+38 лапы
135,Тормозной трубопровод
136,Сиденье
