raceid,driverid,lap,position,time,milliseconds
106,8,52,6,1:34.326,94326
345,811,38,21,1:50.657,110657
93,15,51,5,1:23.025,83025
19,2,15,8,1:36.551,96551
223,22,11,10,1:26.339,86339
230,49,38,6,1:51.426,111426
136,19,10,20,1:21.662,81662
344,16,27,12,2:03.847,123847
163,25,14,12,1:44.824,104824
878,808,5,19,1:47.378,107378
930,1,20,3,1:31.508,91508
89,22,2,7,1:37.619,97619
196,56,4,7,1:26.731,86731
202,55,15,8,1:22.660,82660
169,22,54,4,1:22.487,82487
46,13,27,14,1:22.798,82798
978,828,6,17,1:39.005,99005
112,23,63,5,1:25.564,85564
59,36,52,17,1:21.553,81553
129,49,26,15,2:04.002,124002
44,14,38,9,1:23.673,83673
917,8,15,14,1:16.605,76605
223,65,26,10,1:26.872,86872
15,20,31,1,1:33.308,93308
