constructorstandingsid,raceid,constructorid,points,position,positiontext,wins
70,24,11,8.0,8,8,0
114,28,11,14.0,8,8,0
124,29,9,24.0,6,6,0
2563,237,27,15.0,6,6,1
4648,274,29,0.0,9,9,0
4701,278,25,0.0,13,13,0
4707,279,6,9.0,5,5,0
5072,243,25,0.0,8,8,0
5615,141,1,6.0,2,2,0
5663,145,20,0.0,9,9,0
5715,150,17,15.0,5,5,0
5795,157,20,4.0,9,9,0
5820,126,19,3.0,5,5,0
6077,117,19,12.0,6,6,0
7742,327,34,2.0,7,7,0
7877,334,33,7.0,7,7,0
8313,309,34,0.0,13,13,0
8328,310,40,0.0,13,13,0
8347,311,40,0.0,13,13,0
8348,311,39,0.0,16,16,0
8677,6,5,5.0,9,9,0
9030,368,39,1.0,15,15,0
9185,373,49,0.0,17,17,0
9356,383,48,3.0,9,9,0
9493,391,45,0.0,14,14,0
9693,404,45,0.0,10,10,0
9810,412,45,0.0,12,12,0
9921,420,34,0.0,13,13,0
9965,423,34,0.0,9,9,0
10050,426,6,50.0,1,1,1
10164,433,6,77.0,2,2,2
10398,447,50,0.0,14,14,0
10548,456,53,0.0,11,11,0
10630,461,27,0.0,12,12,0
10632,461,45,0.0,15,15,0
10639,462,4,68.0,1,1,4
10710,465,27,0.0,12,12,0
10889,476,51,5.0,9,9,0
10895,476,53,0.0,16,16,0
11326,499,6,0.0,12,12,0
11378,502,58,0.0,14,14,0
11387,503,57,0.0,13,13,0
11436,506,32,6.0,9,9,0
11490,510,1,11.0,8,8,0
11504,511,51,4.0,11,11,0
19540,732,99,0.0,9,9,0
20131,715,66,36.0,1,1,1
20447,705,172,54.0,1,1,6
21093,678,183,0.0,15,15,0
21333,661,182,19.0,4,4,0
21336,661,187,20.0,3,3,0
21354,663,66,2.0,6,6,0
21656,654,63,3.0,8,8,0
21701,634,199,0.0,10,10,0
21894,620,32,0.0,8,8,0
22362,600,66,10.0,6,6,0
22709,582,56,0.0,16,16,0
23373,557,57,8.0,10,10,0
23385,557,4,0.0,17,17,0
23425,559,4,0.0,18,18,0
24005,513,56,1.0,6,6,0
24328,344,6,161.0,3,3,1
24384,348,205,0.0,10,10,0
24403,350,131,158.0,4,4,0
24867,866,131,69.0,5,5,1
25166,882,206,0.0,10,10,0
25267,892,208,191.0,4,4,1
25403,216,1,28.0,4,4,1
25780,40,4,16.0,3,3,0
25821,44,6,103.0,1,1,5
26028,908,207,0.0,11,11,0
26116,916,207,0.0,11,11,0
26176,929,1,0.0,9,9,0
26635,964,6,335.0,3,3,0
