driverid,driverref,number,code,forename,surname,dob,nationality,url
4,alonso,14.0,ALO,Fernando,Alonso,1981-07-29,Spanish,http://en.wikipedia.org/wiki/Fernando_Alonso
6,nakajima,,NAK,Kazuki,Nakajima,1985-01-11,Japanese,http://en.wikipedia.org/wiki/Kazuki_Nakajima
10,glock,,GLO,Timo,Glock,1982-03-18,German,http://en.wikipedia.org/wiki/Timo_Glock
13,massa,19.0,MAS,Felipe,Massa,1981-04-25,Brazilian,http://en.wikipedia.org/wiki/Felipe_Massa
20,vettel,5.0,VET,Sebastian,Vettel,1987-07-03,German,http://en.wikipedia.org/wiki/Sebastian_Vettel
47,baumgartner,,,Zsolt,Baumgartner,1981-01-01,Hungarian,http://en.wikipedia.org/wiki/Zsolt_Baumgartner
50,verstappen,,,Jos,Verstappen,1972-03-04,Dutch,http://en.wikipedia.org/wiki/Jos_Verstappen
56,irvine,,,Eddie,Irvine,1965-11-10,British,http://en.wikipedia.org/wiki/Eddie_Irvine
59,bernoldi,,,Enrique,Bernoldi,1978-10-19,Brazilian,http://en.wikipedia.org/wiki/Enrique_Bernoldi
75,nakano,,,Shinji,Nakano,1971-04-01,Japanese,http://en.wikipedia.org/wiki/Shinji_Nakano
80,sospiri,,,Vincenzo,Sospiri,1966-10-07,Italian,http://en.wikipedia.org/wiki/Vincenzo_Sospiri
85,montermini,,,Andrea,Montermini,1964-05-30,Italian,http://en.wikipedia.org/wiki/Andrea_Montermini
88,suzuki,,,Aguri,Suzuki,1960-09-08,Japanese,http://en.wikipedia.org/wiki/Aguri_Suzuki
108,belmondo,,,Paul,Belmondo,1963-04-23,French,http://en.wikipedia.org/wiki/Paul_Belmondo
115,noda,,,Hideki,Noda,1969-03-07,Japanese,http://en.wikipedia.org/wiki/Hideki_Noda
117,prost,,,Alain,Prost,1955-02-24,French,http://en.wikipedia.org/wiki/Alain_Prost
120,barbazza,,,Fabrizio,Barbazza,1963-04-02,Italian,http://en.wikipedia.org/wiki/Fabrizio_Barbazza
132,amati,,,Giovanna,Amati,1959-07-20,Italian,http://en.wikipedia.org/wiki/Giovanna_Amati
139,pirro,,,Emanuele,Pirro,1962-01-12,Italian,http://en.wikipedia.org/wiki/Emanuele_Pirro
141,bailey,,,Julian,Bailey,1961-10-09,British,http://en.wikipedia.org/wiki/Julian_Bailey
173,angelis,,,Elio,de Angelis,1958-03-26,Italian,http://en.wikipedia.org/wiki/Elio_de_Angelis
191,thackwell,,,Mike,Thackwell,1961-03-30,New Zealander,http://en.wikipedia.org/wiki/Mike_Thackwell
209,lees,,,Geoff,Lees,1951-05-01,British,http://en.wikipedia.org/wiki/Geoff_Lees
219,jabouille,,,Jean-Pierre,Jabouille,1942-10-01,French,http://en.wikipedia.org/wiki/Jean-Pierre_Jabouille
233,stuck,,,Hans-Joachim,Stuck,1951-01-01,German,http://en.wikipedia.org/wiki/Hans_Joachim_Stuck
240,ongais,,,Danny,Ongais,1942-05-21,American,http://en.wikipedia.org/wiki/Danny_Ongais
276,evans,,,Bob,Evans,1947-06-11,British,http://en.wikipedia.org/wiki/Bob_Evans_(race_driver)
278,amon,,,Chris,Amon,1943-07-20,New Zealander,http://en.wikipedia.org/wiki/Chris_Amon
294,brise,,,Tony,Brise,1952-03-28,British,http://en.wikipedia.org/wiki/Tony_Brise
297,palm,,,Torsten,Palm,1947-07-23,Swedish,http://en.wikipedia.org/wiki/Torsten_Palm
308,robarts,,,Richard,Robarts,1944-09-22,British,http://en.wikipedia.org/wiki/Richard_Robarts
318,roos,,,Bertil,Roos,1943-10-12,Swedish,http://en.wikipedia.org/wiki/Bertil_Roos
354,craft,,,Chris,Craft,1939-11-17,British,http://en.wikipedia.org/wiki/Chris_Craft_(racing_driver)
359,gavin,,,Johnny,Servoz-Gavin,1942-01-18,French,http://en.wikipedia.org/wiki/Johnny_Servoz-Gavin
371,pease,,,Al,Pease,1921-10-15,Canadian,http://en.wikipedia.org/wiki/Al_Pease
382,solana,,,Moisés,Solana,1935-12-26,Mexican,http://en.wikipedia.org/wiki/Mois%C3%A9s_Solana
393,tom_jones,,,Tom,Jones,1943-04-26,American,http://en.wikipedia.org/wiki/Tom_Jones_(auto_racer)
409,blokdyk,,,Trevor,Blokdyk,1935-11-30,South African,http://en.wikipedia.org/wiki/Trevor_Blokdyk
430,beaufort,,,Carel Godin,de Beaufort,1934-04-10,Dutch,http://en.wikipedia.org/wiki/Carel_Godin_de_Beaufort
434,sharp,,,Hap,Sharp,1928-01-01,American,http://en.wikipedia.org/wiki/Hap_Sharp
441,parnell,,,Tim,Parnell,1932-06-25,British,http://en.wikipedia.org/wiki/Tim_Parnell
445,seiffert,,,Günther,Seiffert,1937-10-18,German,http://en.wikipedia.org/wiki/G%C3%BCnther_Seiffert
453,lewis,,,Jackie,Lewis,1936-11-01,British,http://en.wikipedia.org/wiki/Jackie_Lewis
473,hocking,,,Gary,Hocking,1937-09-30,Rhodesian,http://en.wikipedia.org/wiki/Gary_Hocking
483,scarlatti,,,Giorgio,Scarlatti,1921-10-02,Italian,http://en.wikipedia.org/wiki/Giorgio_Scarlatti
488,monteverdi,,,Peter,Monteverdi,1934-06-07,Swiss,http://en.wikipedia.org/wiki/Peter_Monteverdi
519,homeier,,,Bill,Homeier,1918-08-31,American,http://en.wikipedia.org/wiki/Bill_Homeier
543,cabianca,,,Giulio,Cabianca,1923-02-19,Italian,http://en.wikipedia.org/wiki/Giulio_Cabianca
559,flaherty,,,Pat,Flaherty,1926-01-06,American,http://en.wikipedia.org/wiki/Pat_Flaherty_(racing_driver)
574,constantine,,,George,Constantine,1918-02-22,American,http://en.wikipedia.org/wiki/George_Constantine
576,cade,,,Phil,Cade,1916-06-12,American,http://en.wikipedia.org/wiki/Phil_Cade
578,hawthorn,,,Mike,Hawthorn,1929-04-10,British,http://en.wikipedia.org/wiki/Mike_Hawthorn
597,connor,,,Pat,O'Connor,1928-10-09,American,http://en.wikipedia.org/wiki/Pat_O%27Connor_(auto_racer)
609,simon,,,André,Simon,1920-01-05,French,http://en.wikipedia.org/wiki/Andr%C3%A9_Simon_(racing_driver)
631,andrews,,,Keith,Andrews,1920-06-15,American,http://en.wikipedia.org/wiki/Keith_Andrews_(driver)
669,bira,,,Prince,Bira,1914-07-15,Thai,http://en.wikipedia.org/wiki/Prince_Bira
671,loyer,,,Roger,Loyer,1907-08-05,French,http://en.wikipedia.org/wiki/Roger_Loyer
677,webb,,,Travis,Webb,1910-10-08,American,http://en.wikipedia.org/wiki/Travis_Webb
678,duncan,,,Len,Duncan,1911-07-25,American,http://en.wikipedia.org/wiki/Len_Duncan
682,beauman,,,Don,Beauman,1928-07-26,British,http://en.wikipedia.org/wiki/Don_Beauman
687,whitehead,,,Peter,Whitehead,1914-11-12,British,http://en.wikipedia.org/wiki/Peter_Whitehead_(racing_driver)
691,lang,,,Hermann,Lang,1909-04-06,German,http://en.wikipedia.org/wiki/Hermann_Lang
711,karch,,,Oswald,Karch,1917-03-06,German,http://en.wikipedia.org/wiki/Oswald_Karch
719,scherrer,,,Albert,Scherrer,1908-02-28,Swiss,http://en.wikipedia.org/wiki/Albert_Scherrer
742,poore,,,Dennis,Poore,1916-08-19,British,http://en.wikipedia.org/wiki/Dennis_Poore
749,aston,,,Bill,Aston,1900-03-29,British,http://en.wikipedia.org/wiki/Bill_Aston
778,shawe_taylor,,,Brian,Shawe Taylor,1915-01-28,British,http://en.wikipedia.org/wiki/Brian_Shawe_Taylor
784,hampshire,,,David,Hampshire,1917-12-29,British,http://en.wikipedia.org/wiki/David_Hampshire
787,harrison,,,Cuth,Harrison,1906-07-06,British,http://en.wikipedia.org/wiki/Cuth_Harrison
801,pozzi,,,Charles,Pozzi,1909-08-27,French,http://en.wikipedia.org/wiki/Charles_Pozzi
836,wehrlein,94.0,WEH,Pascal,Wehrlein,1994-10-18,German,http://en.wikipedia.org/wiki/Pascal_Wehrlein
839,ocon,31.0,OCO,Esteban,Ocon,1996-09-17,French,http://en.wikipedia.org/wiki/Esteban_Ocon
