payment_no,member_no,payment_dt,payment_amt,statement_no,payment_code
106,695,1999-09-02T00:00:00,5215.0,0,
294,1178,1999-09-02T00:00:00,4578.0,0,
455,1497,1999-09-02T00:00:00,6782.0,0,
629,1801,1999-09-02T00:00:00,2954.0,0,
890,2183,1999-09-02T00:00:00,2422.0,0,
1175,2580,1999-09-02T00:00:00,4132.0,0,
1302,2742,1999-09-02T00:00:00,8723.0,0,
1319,2761,1999-09-02T00:00:00,4035.0,0,
1400,2855,1999-09-02T00:00:00,5340.0,0,
1589,3098,1999-09-02T00:00:00,5339.0,0,
1604,3114,1999-09-02T00:00:00,3442.0,0,
1765,3298,1999-09-02T00:00:00,9261.0,0,
1804,3343,1999-09-02T00:00:00,4791.0,0,
1947,3506,1999-09-02T00:00:00,344.0,0,
2048,3619,1999-09-02T00:00:00,3358.0,0,
2098,3672,1999-09-02T00:00:00,7749.0,0,
2116,3691,1999-09-02T00:00:00,3876.0,0,
2512,4120,1999-09-02T00:00:00,11783.0,0,
3068,4709,1999-09-02T00:00:00,6955.0,0,
3099,4741,1999-09-02T00:00:00,4823.0,0,
3202,4845,1999-09-02T00:00:00,15959.0,0,
3204,4847,1999-09-02T00:00:00,11906.0,0,
3209,4852,1999-09-02T00:00:00,8972.0,0,
3225,4870,1999-09-02T00:00:00,9079.0,0,
3350,4997,1999-09-02T00:00:00,6034.0,0,
3511,5168,1999-09-02T00:00:00,6650.0,0,
4055,5723,1999-09-02T00:00:00,909.0,0,
4142,5811,1999-09-02T00:00:00,13733.0,0,
4514,6189,1999-09-02T00:00:00,8600.0,0,
4576,6251,1999-09-02T00:00:00,7641.0,0,
4893,6570,1999-09-02T00:00:00,11839.0,0,
5016,6694,1999-09-02T00:00:00,11180.0,0,
5484,7163,1999-09-02T00:00:00,10343.0,0,
5921,7601,1999-09-02T00:00:00,21181.0,0,
6002,7683,1999-09-02T00:00:00,19961.0,0,
6189,7870,1999-09-02T00:00:00,17436.0,0,
6288,7969,1999-09-02T00:00:00,33080.0,0,
6337,8018,1999-09-02T00:00:00,11664.0,0,
6554,8235,1999-09-02T00:00:00,22572.0,0,
6763,8444,1999-09-02T00:00:00,26524.0,0,
7003,8684,1999-09-02T00:00:00,31609.0,0,
7174,8855,1999-09-02T00:00:00,29015.0,0,
7327,9008,1999-09-02T00:00:00,19059.0,0,
7336,9017,1999-09-02T00:00:00,32086.0,0,
7339,9020,1999-09-02T00:00:00,19087.0,0,
7352,9033,1999-09-02T00:00:00,37725.0,0,
7359,9040,1999-09-02T00:00:00,29621.0,0,
7581,9262,1999-09-02T00:00:00,46076.0,0,
7722,9403,1999-09-02T00:00:00,43886.0,0,
7784,9465,1999-09-02T00:00:00,29842.0,0,
8063,9744,1999-09-02T00:00:00,37899.0,0,
8111,9792,1999-09-02T00:00:00,47951.0,0,
8309,9990,1999-09-02T00:00:00,60896.0,0,
8327,217,1999-10-03T00:00:00,1040.0,0,
8409,851,1999-10-03T00:00:00,2143.0,0,
8957,2374,1999-10-03T00:00:00,3878.0,0,
9012,2484,1999-10-03T00:00:00,1103.0,0,
9162,2758,1999-10-03T00:00:00,4069.0,0,
9359,3078,1999-10-03T00:00:00,7319.0,0,
9819,3752,1999-10-03T00:00:00,2996.0,0,
9889,3856,1999-10-03T00:00:00,2380.0,0,
10247,4334,1999-10-03T00:00:00,8130.0,0,
10268,4368,1999-10-03T00:00:00,3666.0,0,
10440,4592,1999-10-03T00:00:00,2743.0,0,
10601,4792,1999-10-03T00:00:00,8603.0,0,
10715,4919,1999-10-03T00:00:00,5955.0,0,
10737,4944,1999-10-03T00:00:00,4394.0,0,
11190,5476,1999-10-03T00:00:00,9760.0,0,
11449,5780,1999-10-03T00:00:00,3534.0,0,
11450,5781,1999-10-03T00:00:00,2705.0,0,
11489,5827,1999-10-03T00:00:00,3351.0,0,
11647,5997,1999-10-03T00:00:00,7524.0,0,
11672,6025,1999-10-03T00:00:00,4727.0,0,
12022,6401,1999-10-03T00:00:00,588.0,0,
12090,6473,1999-10-03T00:00:00,11033.0,0,
12338,6741,1999-10-03T00:00:00,8859.0,0,
12629,7041,1999-10-03T00:00:00,12374.0,0,
13100,7531,1999-10-03T00:00:00,14776.0,0,
13288,7722,1999-10-03T00:00:00,4396.0,0,
13551,7989,1999-10-03T00:00:00,4997.0,0,
13695,8134,1999-10-03T00:00:00,6961.0,0,
14003,8446,1999-10-03T00:00:00,15828.0,0,
14103,8546,1999-10-03T00:00:00,12669.0,0,
14283,8727,1999-10-03T00:00:00,10027.0,0,
15119,9565,1999-10-03T00:00:00,5784.0,0,
