driverstandingsid,raceid,driverid,points,position,positiontext,wins
10288,244,91,0.0,25,25,0
10834,215,65,7.0,12,12,0
11592,151,30,84.0,1,1,6
12003,136,63,2.0,16,16,0
16278,332,94,0.0,19,19,0
17357,313,105,0.0,33,33,0
19791,398,171,0.0,28,28,0
21375,447,188,0.0,25,25,0
21601,453,187,9.0,3,3,1
22742,483,163,0.0,8,8,0
43870,829,732,0.0,73,73,0
48315,744,429,0.0,52,52,0
48707,737,424,0.0,54,54,0
49678,746,497,0.0,10,10,0
51475,799,672,0.0,13,13,0
53125,666,340,0.0,28,28,0
56947,572,222,40.0,3,3,1
57355,533,232,0.0,29,29,0
62260,761,353,0.0,60,60,0
64435,844,4,41.0,5,5,0
64622,851,22,4.0,17,17,0
65880,895,822,0.0,18,18,0
67283,937,833,0.0,19,19,0
