File,Row,Column,Length_Orig,Length_Trans,Diff_%,Original,Translated
tourney_slots.csv,5,strongseed,4,69,1625.0,R2Z1,"Я не понимаю, о чем вы спрашиваете. Можете ли вы п..."
tourney_slots.csv,8,strongseed,4,69,1625.0,R2Z1,"Я не понимаю, о чем вы спрашиваете. Можете ли вы п..."
tourney_slots.csv,39,slot,4,69,1625.0,R2Z1,"Я не понимаю, о чем вы спрашиваете. Можете ли вы п..."
tourney_slots.csv,51,weakseed,4,63,1475.0,Z16b,"Я не понимаю, о чем идет речь. Пожалуйста, уточнит..."
tourney_slots.csv,131,weakseed,4,128,3100.0,Y16b,Я не вижу запроса на перевод в этом сообщении. Пож...
tourney_slots.csv,133,weakseed,4,160,3900.0,Y11b,Я не вижу в вашем запросе текста для перевода. Пож...
tourney_slots.csv,173,slot,4,69,1625.0,R2Z1,"Я не понимаю, о чем вы спрашиваете. Можете ли вы п..."
tourney_seeds.csv,72,seed,4,150,3650.0,X16a,"Я не знаю, что это за код или символы, но я могу п..."
tourney_seeds.csv,137,seed,4,150,3650.0,X16a,"Я не знаю, что это за код или символы, но я могу п..."
teams.csv,70,team_name,10,41,310.0,NC Central,Центральный университет Северной Каролины
teams.csv,106,team_name,12,39,225.0,UC Riverside,Калифорнийский университет в Риверсайде
