id,year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l
1,1946,"Извините, но я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",О,PHW,NBA,CHS,NBA,4,1
2,1946,КФ,М,NYK,NBA,CLR,NBA,2,1
3,1946,КФ,М,PHW,NBA,STB,NBA,2,1
4,1946,SF,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",PHW,NBA,NYK,NBA,2,0
5,1946,SF,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",CHS,NBA,WSC,NBA,4,2
6,1947,"Извините, но я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",О,BLB,NBA,PHW,NBA,4,2
7,1947,КФ,М,BLB,NBA,NYK,NBA,2,1
8,1947,КФ,М,CHS,NBA,BOS,NBA,2,1
9,1947,SF,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",BLB,NBA,CHS,NBA,2,0
10,1947,SF,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",PHW,NBA,STB,NBA,4,3
11,1947,DD,А,BLB,NBA,CHS,NBA,1,0
12,1947,DD,А,CHS,NBA,WSC,NBA,1,0
13,1948,DF,Да,WSC,NBA,NYK,NBA,2,1
14,1948,DSF,перевод,WSC,NBA,PHW,NBA,2,0
15,1948,DSF,перевод,NYK,NBA,BLB,NBA,2,1
16,1948,"Извините, но я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",О,MNL,NBA,WSC,NBA,4,2
17,1948,DF,Да,MNL,NBA,ROC,NBA,2,0
18,1948,DSF,перевод,MNL,NBA,CHS,NBA,2,0
19,1948,DSF,перевод,ROC,NBA,STB,NBA,2,0
20,1949,DF,Да,MNL,NBA,FTW,NBA,2,0
21,1949,DD,А,MNL,NBA,ROC,NBA,1,0
22,1949,DSF,перевод,FTW,NBA,ROC,NBA,2,0
23,1949,DSF,перевод,MNL,NBA,CHS,NBA,2,0
24,1949,DD,А,FTW,NBA,CHS,NBA,1,0
25,1949,DF,Да,SYR,NBA,NYK,NBA,2,1
26,1949,DSF,перевод,NYK,NBA,WSC,NBA,2,0
27,1949,DSF,перевод,SYR,NBA,PHW,NBA,2,0
28,1949,"Извините, но я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",О,MNL,NBA,SYR,NBA,4,2
29,1949,SF,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",MNL,NBA,AND,NBA,2,0
30,1949,DF,Да,AND,NBA,INO,NBA,2,1
31,1949,DSF,перевод,AND,NBA,TRI,NBA,2,1
32,1949,DSF,перевод,INO,NBA,SHE,NBA,2,1
33,1950,DF,Да,NYK,NBA,SYR,NBA,3,2
34,1950,DSF,перевод,NYK,NBA,BOS,NBA,2,0
35,1950,DSF,перевод,SYR,NBA,PHW,NBA,2,0
36,1950,"Извините, но я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",О,ROC,NBA,NYK,NBA,4,3
37,1950,DF,Да,ROC,NBA,MNL,NBA,3,1
38,1950,DSF,перевод,MNL,NBA,INO,NBA,2,1
39,1950,DSF,перевод,ROC,NBA,FTW,NBA,2,1
40,1951,DF,Да,NYK,NBA,SYR,NBA,3,1
41,1951,DSF,перевод,NYK,NBA,BOS,NBA,2,1
42,1951,DSF,перевод,SYR,NBA,PHW,NBA,2,1
