playerid,last_name,first_name,season_id,conference,league_id,games_played,minutes,points,o_rebounds,d_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,fg_attempted,fg_made,ft_attempted,ft_made,three_attempted,three_made
abdulka01,Абдул-Джаббар,Кареем,1969,Восток,NBA,1,18,10.0,,,11.0,4.0,,,,,8.0,4.0,2.0,2.0,,
abdulka01,Абдул-Джаббар,Кареем,1970,Запад,NBA,1,30,19.0,,,14.0,1.0,,,,,16.0,8.0,4.0,3.0,,
abdulka01,Абдул-Джаббар,Кареем,1971,Запад,NBA,1,19,12.0,,,7.0,2.0,,,,,10.0,5.0,2.0,2.0,,
abdulka01,Абдул-Джаббар,Кареем,1972,Запад,NBA,1,98,,,,,,,,,,,,,,,
abdulka01,Абдул-Джаббар,Кареем,1973,Запад,NBA,1,23,14.0,,,8.0,6.0,,,,,11.0,7.0,0.0,0.0,,
abdulka01,Абдул-Джаббар,Кареем,1974,Запад,NBA,1,19,7.0,,,10.0,3.0,,,,,10.0,3.0,2.0,1.0,,
abdulka01,Абдул-Джаббар,Кареем,1975,Запад,NBA,1,36,22.0,,,5.0,3.0,,,,,16.0,9.0,4.0,4.0,,
abdulka01,Абдул-Джаббар,Кареем,1976,Запад,NBA,1,23,21.0,,,4.0,2.0,,,,,14.0,8.0,6.0,5.0,,
abdulka01,Абдул-Джаббар,Кареем,1978,Запад,NBA,1,28,11.0,,,8.0,3.0,,,,,12.0,5.0,2.0,1.0,,
abdulka01,Абдул-Джаббар,Кареем,1979,Запад,NBA,1,30,17.0,,,16.0,9.0,,,,,17.0,6.0,6.0,5.0,,
abdulka01,Абдул-Джаббар,Кареем,1980,Запад,NBA,1,23,15.0,,,6.0,4.0,,,,,9.0,6.0,3.0,3.0,,
abdulka01,Абдул-Джаббар,Кареем,1981,Запад,NBA,1,22,2.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0
