id,year,coachid,award,lgid,note
1,1962,gallaha01,Тренер года НБА,NBA,
2,1963,hannual01,Тренер года НБА,NBA,
3,1964,auerbre01,Тренер года НБА,NBA,
4,1965,schaydo01,Тренер года НБА,NBA,
5,1966,kerrjo01,Тренер года НБА,NBA,
6,1967,cazzevi01,Тренер года по ABA,ABA,
7,1967,gueriri01,Тренер года НБА,NBA,
8,1968,hannual01,Тренер года по ABA,ABA,
9,1968,shuege01,Тренер года НБА,NBA,
10,1969,sharmbi01,Тренер года по ABA,ABA,вязка
11,1969,belmojo01,Тренер года по ABA,ABA,вязка
12,1969,holzmre01,Тренер года НБА,NBA,
13,1970,biancal01,Тренер года по ABA,ABA,
14,1970,mottadi01,Тренер года НБА,NBA,
15,1971,nissato01,Тренер года по ABA,ABA,
16,1971,sharmbi01,Тренер года НБА,NBA,
17,1972,brownla01,Тренер года по ABA,ABA,
18,1972,heinsto01,Тренер года НБА,NBA,
19,1973,mccarba01,Тренер года по ABA,ABA,вязка
20,1973,mullajo01,Тренер года по ABA,ABA,вязка
21,1973,scottra01,Тренер года НБА,NBA,
22,1974,brownla01,Тренер года по ABA,ABA,
23,1974,johnsph01,Тренер года НБА,NBA,
24,1975,brownla01,Тренер года по ABA,ABA,
25,1975,fitchbi01,Тренер года НБА,NBA,
26,1976,nissato01,Тренер года НБА,NBA,
27,1977,brownhu01,Тренер года НБА,NBA,
28,1978,fitzsco01,Тренер года НБА,NBA,
29,1979,fitchbi01,Тренер года НБА,NBA,
30,1980,mckinja01,Тренер года НБА,NBA,
31,1981,shuege01,Тренер года НБА,NBA,
32,1982,nelsodo01,Тренер года НБА,NBA,
33,1983,laydefr01,Тренер года НБА,NBA,
34,1984,nelsodo01,Тренер года НБА,NBA,
35,1985,fratemi01,Тренер года НБА,NBA,
36,1986,schulmi01,Тренер года НБА,NBA,
37,1987,moedo01,Тренер года НБА,NBA,
38,1988,fitzsco01,Тренер года НБА,NBA,
39,1989,rileypa01,Тренер года НБА,NBA,
40,1990,chanedo01,Тренер года НБА,NBA,
41,1991,nelsodo01,Тренер года НБА,NBA,
42,1992,rileypa01,Тренер года НБА,NBA,
43,1993,wilkele01,Тренер года НБА,NBA,
44,1994,harride01,Тренер года НБА,NBA,
45,1995,jacksph01,Тренер года НБА,NBA,
46,1996,rileypa01,Тренер года НБА,NBA,
47,1997,birdla01,Тренер года НБА,NBA,
48,1998,dunlemi01,Тренер года НБА,NBA,
49,1999,riverdo01,Тренер года НБА,NBA,
50,2000,brownla01,Тренер года НБА,NBA,
51,2001,carliri01,Тренер года НБА,NBA,
52,2002,popovgr01,Тренер года НБА,NBA,
53,2003,brownhu01,Тренер года НБА,NBA,
54,2004,dantomi01,Тренер года НБА,NBA,
55,2005,johnsav01,Тренер года НБА,NBA,
56,2006,mitchsa01,Тренер года НБА,NBA,
57,2007,scottby01,Тренер года НБА,NBA,
58,2008,brownmi02,Тренер года НБА,NBA,
59,2009,brooksc01,Тренер года НБА,NBA,
60,2010,thiboto01,Тренер года НБА,NBA,
61,2011,popovgr01,Тренер года НБА,NBA,
