id,draftyear,draftround,draftselection,draftoverall,tmid,firstname,lastname,suffixname,playerid,draftfrom,lgid
1,1967,0,0,0,ANA,Даррелл,Хард,,hardyda01,Бейлор,ABA
2,1967,0,0,0,ANA,Боб,Крулиш,,,Тихоокеан,ABA
3,1967,0,0,0,ANA,Боб,Лев,,lewisbo01,Северная Каролина,ABA
4,1967,0,0,0,ANA,Майк,Линн,,lynnmi01,УЦЛ,ABA
5,1967,0,0,0,ANA,Том,Рабочий,,workmto01,Сиэтл,ABA
17,1967,0,0,0,DNR,Байрон,Бекк,,beckby01,Денвер,ABA
18,1967,0,0,0,DNR,Ваугн,Харпер,,,Сиракузы,ABA
21,1967,0,0,0,DNR,Дэйв,Латтэн,,lattida01,Техасский вестерн,ABA
29,1967,0,0,0,DLC,Джейми,Томпсон,,,Уичита Стейт,ABA
30,1967,0,0,0,DLC,Павел,Братья,,,Теннесси Уэлслиан,ABA
31,1967,0,0,0,DLC,Джефф,Фитч,,,Восточная Техасская государственная университет,ABA
32,1967,0,0,0,DLC,Тед,Мэннинг,,,Северная Каролина А&Т,ABA
35,1967,0,0,0,DLC,Жيري,Южный Вудс,,,Вандервилль,ABA
36,1967,0,0,0,DLC,Том,Шторм,,,Монтана Стейт,ABA
37,1967,0,0,0,HSM,Боб,Бенфилд,,,Западная Вирджиния,ABA
46,1967,0,0,0,HSM,Майк,Нау,,,Орегонский государственный университет,ABA
47,1967,0,0,0,HSM,Жيري,Петтвей,,pettwje01,Северный институт,ABA
50,1967,0,0,0,INA,Джим,Дазон,,dawsoja01,Иллинойс,ABA
53,1967,0,0,0,INA,Джим,Уокер,,walkeji01,Провиденс,ABA
59,1967,0,0,0,INA,Билл,Росселл,,,Индιάνα,ABA
62,1967,0,0,0,KEN,Клем,Хаскинс,,haskicl01,Западный Кентукки,ABA
63,1967,0,0,0,KEN,Дуайт,Смит,,,Западный Кентукки,ABA
64,1967,0,0,0,KEN,Уилли,Волтерс,,,Бостонский колледж,ABA
68,1967,0,0,0,KEN,Кен,Гиббс,,,Вандервилль,ABA
70,1967,0,0,0,KEN,Гвенделль,МакСвайн,,,Государство Валдоста,ABA
72,1967,0,0,0,KEN,Джон,Смит,,,Кент-Стейт,ABA
73,1967,0,0,0,MNM,Мел,Даниэлы,,danieme01,Новый Мексика,ABA
76,1967,0,0,0,MNM,Тим,Власти,,,Крэйтон,ABA
77,1967,0,0,0,MNM,Сам,Смит,,smithsa01,Западный Кентукки,ABA
78,1967,0,0,0,MNM,Ал,Кларк,,,Восточная Кентукки,ABA
79,1967,0,0,0,MNM,Гэри,Грегор,,gregoga01,Южная Каролина,ABA
80,1967,0,0,0,MNM,Эрв,Иннигер,,,Индιάνα,ABA
81,1967,0,0,0,MNM,Богат,Джонс,,jonesri01,Иллинойс,ABA
82,1967,0,0,0,MNM,Линдберг,Мудрий,,,Южная Каролина,ABA
83,1967,0,0,0,MNM,Эрол,Палмер,,palmeer01,Депу,ABA
86,1967,0,0,0,NJA,Маль,Грейм,,grahama01,Нью-Йоркский университет,ABA
88,1967,0,0,0,NJA,Дик,Пруэтт,,,Джексонвилл,ABA
90,1967,0,0,0,NJA,Тим,Эдвардс,,,Амхерст,ABA
94,1967,0,0,0,NOB,Роберт,Аллен,,,Арканзас АМ&Н,ABA
95,1967,0,0,0,NOB,Джон,Диксон,,dicksjo01,Арканзасский штат,ABA
97,1967,0,0,0,NOB,Павел,Длинный,,longpa01,Уэйк-Форест,ABA
101,1967,0,0,0,NOB,Карл,Заголовок,,,Западная Вирджиния,ABA
103,1967,0,0,0,NOB,Джефф,Рэмси,,,Флорида,ABA
105,1967,0,0,0,NOB,Дексер,Западбрук,,westbde01,Провиденс,ABA
106,1967,0,0,0,OAK,Уэс,Бьялосукня,,bialowe01,Коннектикут,ABA
107,1967,0,0,0,OAK,Горди,Харрис,,,Вашингтон,ABA
111,1967,0,0,0,OAK,Искусство,Аллен,,,Бетун-Кукман,ABA
113,1967,0,0,0,OAK,Майк,Дэвис,,davismi01,Вирджиния Юнион,ABA
115,1967,0,0,0,OAK,Рон,Франц,,franzro01,Канзас,ABA
117,1967,0,0,0,OAK,Марлберт,Прадд,,praddma01,Диллард,ABA
118,1967,0,0,0,PTP,Клифф,Андерсон,,andercl01,Святой Иосиф (ПА),ABA
119,1967,0,0,0,PTP,Барри,Лиебович,,lieboba01,Лонг-Айленд,ABA
120,1967,0,0,0,PTP,Эл,Монро,,monroea01,Винстон-Сальмер,ABA
125,1967,0,0,0,PTP,Крис,Кефалос,,,Темпл,ABA
126,1967,0,0,0,PTP,Майк,Риордан,,riordmi01,Провиденс,ABA
128,1967,0,0,0,PTP,Стив,Сулливан,,,Джорджтаун,ABA
129,1967,0,0,0,PTP,Джим,Южная Франция,,,Клемсон,ABA
133,1968,0,0,0,DNR,Гол,Букер,,bookebu01,Штат Чейни,ABA
134,1968,0,0,0,DNR,Гарри,Холины,,,Денвер,ABA
137,1968,0,0,0,DNR,Уилли,Родгерс,,,Оклахома,ABA
140,1968,0,0,0,DNR,Мелвин,Джонс,,,Габон (Ga) Штат,ABA
142,1968,0,0,0,DNR,Микки,Смит,,,Мемфис Стейт,ABA
144,1968,0,0,0,DLC,Шалер,Халимон,,halimsh01,Утаский штат,ABA
145,1968,0,0,0,DLC,Богат,Джонс,,jonesri01,Мемфис Стейт,ABA
148,1968,0,0,0,DLC,Джо Джо,Белый,,whitejo01,Канзас,ABA
153,1968,0,0,0,DLC,Рой,Мэннинг,,,Колледж Лейн,ABA
158,1968,0,0,0,DLC,Кальвин,Петтит,,,Центральный Миссури,ABA
163,1968,0,0,0,HSM,Элвин,Хейес,,hayesel01,Хьюстон,ABA
164,1968,0,0,0,HSM,Аарон,Продавцы,,,Джексон-Стейт,ABA
165,1968,0,0,0,HSM,Мартин,Байетти,,,Мэнь-Хан,ABA
168,1968,0,0,0,HSM,Майк,Нордхольц,,,Алабама,ABA
169,1968,0,0,0,HSM,Дэн,Смит,,,Ховард - Пейон,ABA
170,1968,0,0,0,HSM,Сам,Бутлер,,,Южный университет,ABA
172,1968,0,0,0,HSM,Билл,Гейнс,,gainebi01,Восточная Техасская государственная университет,ABA
174,1968,0,0,0,HSM,Франк,Стандарт,,,Южная Каролина,ABA
179,1968,0,0,0,INA,Фил,Вагнер,,wagneph01,Технологический институт Джорджии,ABA
180,1968,0,0,0,INA,Дэйв,Бенедикт,,,Центральный Вашингтон,ABA
181,1968,0,0,0,INA,Руди,Богад,,,Сент-Джонс,ABA
182,1968,0,0,0,INA,Жيري,Нешум,,,Индиана-Стейт,ABA
184,1968,0,0,0,INA,Джек,Томпсон,,thompja01,Южная Каролина,ABA
186,1968,0,0,0,INA,Боб,Хопер,,hoopebo01,Деньтон,ABA
187,1968,0,0,0,INA,Гарри,Джойнер,,joyneha01,Индιάνα,ABA
188,1968,0,0,0,INA,Том,Немьер,,,Эвансвилл,ABA
189,1968,0,0,0,KEN,Уэйн,Чапман,,chapmwa01,Западный Кентукки,ABA
194,1968,0,0,0,KEN,Джо,Гэллагер,,,Пемброк,ABA
195,1968,0,0,0,KEN,Джо,Кеннеди,,kennejo01,Дюк,ABA
197,1968,0,0,0,KEN,Гена,Морр,,moorege01,Сент-Луис,ABA
198,1968,0,0,0,KEN,Грег,Смит,,smithgr01,Западный Кентукки,ABA
201,1968,0,0,0,KEN,Тад,Ярац,,,Кентукки,ABA
203,1968,0,0,0,KEN,Боб,Зорэтика,,,Депу,ABA
206,1968,0,0,0,KEN,Бутч,Кауфман,,,Западный Кентукки,ABA
207,1968,0,0,0,KEN,Бо,Венант,,,Вандервилль,ABA
208,1968,0,0,0,LAS,Мервин,Джексон,,jacksme01,Юта,ABA
209,1968,0,0,0,LAS,Эд,Джонсон,,johnsed01,Теннесси Стейт,ABA
214,1968,0,0,0,LAS,Эд,Легетт,,,Роки-Маунтин,ABA
227,1968,0,0,0,MMF,Дон,Сидл,,sidledo01,Оклахома,ABA
231,1968,0,0,0,MMF,Джо,Франклин,,,Висконсин,ABA
234,1968,0,0,0,MMF,Жيري,Уа́х,,,Северный ИОWA,ABA
235,1968,0,0,0,MMF,Линдалл,Конвей,,,Альбукирки,ABA
236,1968,0,0,0,MMF,Джим,Барза,,,Детройт Технолоджи,ABA
238,1968,0,0,0,MMF,Тери,Портер,,,Сент-Клуд (МИНЕСОТА),ABA
246,1968,0,0,0,MNP,Кларенс,Брукинс,,brookcl01,Темпл,ABA
250,1968,0,0,0,MNP,Уилли,Беттс,,,Броди,ABA
252,1968,0,0,0,MNP,Билли,Джонс,,,Фэрфилд,ABA
254,1968,0,0,0,MNP,Билл,Тиндалл,,,Масачусетс,ABA
256,1968,0,0,0,NOB,Ричард,Джонсон,,johnsri01,Грамбинг,ABA
257,1968,0,0,0,NOB,Марк,Ла-Моро,,,Ленор-Рейн,ABA
259,1968,0,0,0,NOB,Рон,Уильямс,,williro01,Западная Вирджиния,ABA
260,1968,0,0,0,NOB,Чарльз,Альфорд,,,Восточная Каролина,ABA
264,1968,0,0,0,NOB,Яспер,Уилсон,,wilsoja01,Южный университет,ABA
265,1968,0,0,0,NYA,Джо,Аллен,,,Броди,ABA
266,1968,0,0,0,NYA,Дик,Куннингем,,cunnidi01,Мюррей-Стейт,ABA
267,1968,0,0,0,NYA,Родни,Ноуэллз,,knowlro01,Дайсон,ABA
272,1968,0,0,0,NYA,Пет,Одея,,,Св. Петра,ABA
274,1968,0,0,0,NYA,Билл,Бутлер,,,Сент-Бонифаци́й,ABA
275,1968,0,0,0,NYA,Джон,Камеран,,,Ч. У. Пост,ABA
277,1968,0,0,0,NYA,Билл,Лангейлд,,,Фордхэм,ABA
278,1968,0,0,0,NYA,Искусство,Степсон,,,Рode-Айленд,ABA
279,1968,0,0,0,NYA,Гарри,Лори,,lauriha01,Св. Петра,ABA
280,1968,0,0,0,OAK,Варрен,Армстронг,,,Уичита,ABA
282,1968,0,0,0,OAK,Прыгни,Гарлица,,harlisk01,Южная Каролина,ABA
285,1968,0,0,0,OAK,Генри,Логан,,loganhe01,Западная Каролина,ABA
287,1968,0,0,0,OAK,Джим,МакКейн,,,Вашингтон,ABA
289,1968,0,0,0,OAK,Ржавый,Паркер,,,Майами (Флорида),ABA
291,1968,0,0,0,OAK,Джон,Трапп,,trappjo01,Невада-Южная,ABA
292,1968,0,0,0,OAK,Rus,Критчфилд,,critcru01,Калифорния,ABA
294,1968,0,0,0,OAK,Искусство,Харрис,,harriar01,Стэнфорд,ABA
296,1968,0,0,0,OAK,Тони,Сапит,,,Кролл (МТ),ABA
298,1969,0,0,0,CAR,Мел,Колман,,,Сту (Виус),ABA
299,1969,0,0,0,CAR,Стив,Куберски,,kuberst01,Броди,ABA
300,1969,0,0,0,CAR,Стив,Микс,,mixst01,Толедо,ABA
301,1969,0,0,0,CAR,Джесси,Цена,,,Миликен,ABA
302,1969,0,0,0,CAR,Нил,Прогуляться,,walkne01,Флорида,ABA
305,1969,0,0,0,CAR,Гена,Маленькие,,littlge01,Высокий Пойнт (штат Северная Каролина),ABA
306,1969,0,0,0,CAR,Джек,Стеннер,,,Миссури в Сент-Луисе,ABA
308,1969,0,0,0,CAR,Фил,Серебряный,,,Кентукки,ABA
312,1969,0,0,0,DNR,Иисайя,Король,,,Хирам Скотт,ABA
313,1969,0,0,0,DNR,Грег,Вицман,,wittmgr01,Западная Каролина,ABA
318,1969,0,0,0,DNR,Лари,Джеффри,,,Тринити (Техас),ABA
320,1969,0,0,0,DNR,Джим,Хейли,,,Рохурст (Мо),ABA
324,1969,0,0,0,DLC,Боби,Кристиан,,chrisbo01,Грамбинг,ABA
328,1969,0,0,0,DLC,Бутч,Борода,,beardbu01,Луизвилл,ABA
332,1969,0,0,0,DLC,Уилли,Скотт,,scottwi01,Трой-Стайт (АЛ),ABA
336,1969,0,0,0,INA,Тони,Масиелло,,,Каньезий,ABA
338,1969,0,0,0,INA,Билл,Дехер,,,Индιάνα,ABA
345,1969,0,0,0,KEN,Боб,Дандридж,,dandrbo01,Норфолк (штат Вирджиния),ABA
350,1969,0,0,0,KEN,Крис,Элис,,,Вирджинский технологический институт,ABA
355,1969,0,0,0,KEN,Дуг,Бриттель,,,Рутгерс,ABA
358,1969,0,0,0,LAS,Симми,Гилл,,hillsi01,Западный Техасский государственный университет,ABA
359,1969,0,0,0,LAS,Боби,Смит,,,Тульса,ABA
360,1969,0,0,0,LAS,Дэниел,Стюарт,,stewade01,Мичиган,ABA
361,1969,0,0,0,LAS,Тед,Верьман,,,Вашингтон,ABA
365,1969,0,0,0,LAS,Дэн,Обровач,,,Деньтон,ABA
368,1969,0,0,0,LAS,Флойд,Кэрр,,,Колорадо-Стайт,ABA
370,1969,0,0,0,MMF,Лари,Пушка,,cannola01,Лассал,ABA
373,1969,0,0,0,MMF,Вилберт,Джонс,,joneswi02,Государство Альбани (ГА),ABA
374,1969,0,0,0,MMF,Джим,Смит,,,Северная Иллинойс,ABA
375,1969,0,0,0,MMF,Джонни,Аллен,,,Бетун-Кукман,ABA
379,1969,0,0,0,MMF,Линн,Шакелфорд,,shackly01,УЦЛ,ABA
380,1969,0,0,0,MMF,Эд,Счастливый,,,Лассал,ABA
394,1969,0,0,0,NOB,Дэйв,Нэш,,,Канзас,ABA
398,1969,0,0,0,NOB,Чарли,Powell,,,Лойола (Лос-Анджелес),ABA
400,1969,0,0,0,NYA,Лев,Альциндор,,abdulka01,УЦЛ,ABA
401,1969,0,0,0,NYA,Тери,Дрисколл,,driscte01,Бостонский колледж,ABA
402,1969,0,0,0,NYA,Рик,Роберсон,,roberri01,Цинциннати,ABA
405,1969,0,0,0,NYA,Норма,Фанни,,,Сент-Франсис (ПА),ABA
407,1969,0,0,0,NYA,Том,Хагертри,,,Брандейс,ABA
