playerid,usefirst,firstname,middlename,lastname,namegiven,fullgivenname,namesuffix,namenick,pos,firstseason,lastseason,height,weight,college,collegeother,birthdate,birthcity,birthstate,birthcountry,highschool,hscity,hsstate,hscountry,deathdate,race
proksjo01,,Иосиф,P.,Про́кса,,,,Джо,"Добро пожаловать в Cohere! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода с английского на русский язык.",0.0,0.0,73.0,185.0,Пенн-Стейт,,1914-06-30,,,,,,,,1999-10-25,"Добро пожаловать в службу перевода Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь предоставить точный и естественный перевод."
scrugch01,,Чарли,,Скругс,,,,,"Извините, но я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",0.0,0.0,72.0,180.0,Технологический институт Джорджии,,0000-00-00,,,,,,,,0000-00-00,"Добро пожаловать в службу перевода Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь предоставить точный и естественный перевод."
schrobi01,,Уильям,Henry,Шрёдер,,,,Билл,G-Ф,0.0,0.0,72.0,190.0,Висконсин,,1923-04-11,Шебегей,ВИ,США,Центральный Шебойган,Шебегей,ВИ,США,2003-12-09,"Добро пожаловать в службу перевода Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь предоставить точный и естественный перевод."
parsoch01,Чандлер,Чандлер,,Парсонс,,,,,"Извините, но я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",0.0,0.0,81.0,200.0,Флорида,,1988-10-25,Кессельберг,ФК,США,Озеро Ховелл,Зимний парк,ФЛ,США,0000-00-00,"Добро пожаловать в службу перевода Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь предоставить точный и естественный перевод."
searced01,Эд,Эдвин,,Сёрси,,,,Эд,"Извините, но я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",0.0,0.0,78.0,210.0,Сент-Джонс (Нью-Йорк),,1952-04-17,Нью-Йорк,Нью-Йорк,США,Мемориал Пауэра,Нью-Йорк,Нью-Йорк,США,0000-00-00,B
maydo01,Дон,Дональд,John,Мая,,,,"Дон, Донни","Извините, но я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",0.0,0.0,76.0,200.0,Деньтон,,1946-01-03,Деньтон,О,США,Бельмонт,Деньтон,О,США,0000-00-00,"Добро пожаловать в службу перевода Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь предоставить точный и естественный перевод."
perigbi01,,Уильям,J.,Опасность,,,,Билл,"Извините, но я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",0.0,0.0,72.0,180.0,Западный Мичиган,,1911-09-17,,,,Делфи,Делфи,В,США,1990-02-07,"Добро пожаловать в службу перевода Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь предоставить точный и естественный перевод."
schenlu01,Лука,Лука,Dean,Шеншер,,,,,"""С""",0.0,0.0,85.0,255.0,Технологический институт Джорджии,Австралийский институт спорта,1982-12-31,Хоп-Форест,,Австралия,Колледж озера Гиндерра,Канберра,,Австралия,0000-00-00,"Добро пожаловать в службу перевода Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь предоставить точный и естественный перевод."
goldfbe01,Бен,Бенджамин,Paul,Голдфаден,,,,Бен,"Извините, но я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",0.0,0.0,73.0,185.0,Джордж Вашингтон,,1913-09-06,,,,Южный район,Ньюарк,НГ,США,0000-00-00,"Добро пожаловать в службу перевода Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь предоставить точный и естественный перевод."
obrieto01,,Томми,,О'Брайен,,,,,G-Ф,0.0,0.0,0.0,0.0,Джордж Вашингтон,,0000-00-00,,,,,,,,0000-00-00,"Добро пожаловать в службу перевода Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь предоставить точный и естественный перевод."
evansma01,Моусон,Моусон,Eugene,Эванс,,,,,"Добро пожаловать в Cohere! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода с английского на русский язык.",0.0,0.0,77.0,220.0,Техас,Уичита Стейт,1978-11-08,Уичита,"Да, я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",США,Вичита Колледж,Уичита,"Да, я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",США,0000-00-00,B
murphal01,Аллен,Аллен,,Мурфey,,,,,G-Ф,0.0,0.0,76.5,190.0,Луизвилл,,1952-07-15,Бирмингем,АЛ,США,Паркер,Бирмингем,АЛ,США,0000-00-00,B
cartyja01,Джей,Джей,J.,Карти,,,Júnior,,"Извините, но я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",0.0,0.0,79.5,220.0,Орегонский государственный университет,,1941-07-04,Западные равнины,МО,США,Бёрроус,Китайское озеро,Калифорния,США,0000-00-00,"Добро пожаловать в службу перевода Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь предоставить точный и естественный перевод."
spanova01,Василий,Василий,,Спанулис,,,,,"Добро пожаловать в Cohere! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода с английского на русский язык.",0.0,0.0,76.0,188.0,"Здесь будет только перевод, без дополнительных текстов.",,1982-07-08,Ларисса,,GMAT,,,,,0000-00-00,"Добро пожаловать в службу перевода Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь предоставить точный и естественный перевод."
farledi01,Дик,Ричард,L.,Фарлей,,,,Дик,G-Ф,0.0,0.0,76.0,190.0,Индιάνα,,1932-04-13,,,,Винсол,Винсол,В,США,1969-10-01,"Добро пожаловать в службу перевода Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь предоставить точный и естественный перевод."
willira01,Рей,Томас,Ray,Уильямс,,,,Рей,"Добро пожаловать в Cohere! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода с английского на русский язык.",0.0,0.0,74.0,188.0,Миннесота,Сан-Джасинто ДжиСи,1954-10-14,Маунт-Вернон,Нью-Йорк,США,Маунт-Вернон,Маунт-Вернон,Нью-Йорк,США,0000-00-00,B
heanebr01,Брайан,Брайан,Patrick,Хейни,,,,,"Добро пожаловать в Cohere! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода с английского на русский язык.",0.0,0.0,74.0,180.0,Акэдиа,,1946-09-03,Рокавэй-Бич,Нью-Йорк,США,епископ Лафайет,Бруклин,Нью-Йорк,США,0000-00-00,"Добро пожаловать в службу перевода Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь предоставить точный и естественный перевод."
mckeeje01,Жيري,Жеральд,,Макки,,,,Жيري,"Добро пожаловать в Cohere! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода с английского на русский язык.",0.0,0.0,75.0,190.0,Университет Огайо,,1946-08-04,,,,Дунбар,Деньтон,О,США,0000-00-00,B
mulleby01,Байрон,Байрон,James,Мулленс,,,,Б.Дж.,"""С""",0.0,0.0,84.0,275.0,Огайо Стейт,,1989-02-14,Канал Винчестер,О,США,Канал Винчестер,Канал Винчестер,О,США,0000-00-00,"Добро пожаловать в службу перевода Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь предоставить точный и естественный перевод."
reynoje01,Жيري,Жيري,,Рейнс,,,,Лёд,G-Ф,0.0,0.0,80.0,198.0,Луизиана,Мадисонская область Тэк,1962-12-23,Бруклин,Нью-Йорк,США,Александр Гамильтон,Бруклин,Нью-Йорк,США,0000-00-00,B
oliveji01,Джимми,Джимми,Allen,Оливер,,,,,G-Ф,0.0,0.0,77.0,205.0,Пурдью,,1969-07-12,Менифее,АР,США,Моррилтон,Моррилтон,АР,США,0000-00-00,B
wrighbr03,Брэндан,Брэндан,Keith,райт,,,,,"Извините, но я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",0.0,0.0,81.0,205.0,Северная Каролина,,1987-10-05,Нашвилл,ТН,США,Академия Бентли,Брентвуд,ТН,США,0000-00-00,B
whiteol01,,Олли,,Белый,,,,,"Извините, но я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",0.0,0.0,72.0,185.0,Мичиган Стейт,,0000-00-00,,,,Шо,Кливленд,О,США,0000-00-00,"Добро пожаловать в службу перевода Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь предоставить точный и естественный перевод."
bracest01,Стив,Стивен,Henry,Бреси,,,,Стив,"Добро пожаловать в Cohere! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода с английского на русский язык.",0.0,0.0,73.0,175.0,Тульса,Джей Си Килгор,1950-08-01,Бруклин,Нью-Йорк,США,Мидвуд,Бруклин,Нью-Йорк,США,0000-00-00,B
thompge01,Джордж,Джордж,,Томпсон,,,,"Тип, Типпер","Добро пожаловать в Cohere! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода с английского на русский язык.",0.0,0.0,74.0,200.0,Маркетт,,1947-11-29,Бруклин,Нью-Йорк,США,Эрасмус Холл,Бруклин,Нью-Йорк,США,0000-00-00,B
bramlaj01,А.Дж.,Аарон,Jordan,Брамлетт,,,,А.Дж.,"""С""",0.0,0.0,82.0,227.0,Аризона,,1977-01-10,Декалб,Я,США,Гаральд,Альбукирки,НМ,США,0000-00-00,"Добро пожаловать в службу перевода Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь предоставить точный и естественный перевод."
piotrto01,Том,Томас,Tracy,Пиотровский,,,,Том,"""С""",0.0,0.0,85.0,240.0,Лассал,,1960-10-17,Западный Честер,ПА,США,Великий Дол,Ньютон-Сquare,ПА,США,0000-00-00,"Добро пожаловать в службу перевода Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь предоставить точный и естественный перевод."
divacvl01,Влада,Влада,,Дивач,,,,,"""С""",0.0,0.0,83.0,243.0,"Здесь будет только перевод, без дополнительных текстов.",,1968-02-03,Прийеполье,,ЮГ,Белград,Белград,,ЮГ,0000-00-00,"Добро пожаловать в службу перевода Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь предоставить точный и естественный перевод."
sundedo01,Дон,Дон,J.,Сундергейге,,,,,"Добро пожаловать в Cohere! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода с английского на русский язык.",0.0,0.0,73.0,180.0,Иллинойс,,1929-12-20,Россель,Я,США,Эльгин,Эльгин,Я,США,1961-07-15,"Добро пожаловать в службу перевода Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь предоставить точный и естественный перевод."
hudsolo01,Лу,Луи,Clyde,Хадсон,,,,"Лу, Милая Лу, Супер Лу",F-Г,0.0,0.0,76.5,205.0,Миннесота,,1944-07-11,Гринсвилл,Н/Д,США,Дудли Сенюар,Гринсвилл,Н/Д,США,0000-00-00,B
leaksma01,Мэнни,Эммануил,,Углерыод,,,Júnior,Мэнни,С-Ф,0.0,0.0,80.0,225.0,Ниагара,,1945-11-27,Кливленд,О,США,Джон Адамс / Восток,Кливленд,О,США,0000-00-00,B
mortori01,Ричард,Ричард,,Мортон,,,,,"Добро пожаловать в Cohere! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода с английского на русский язык.",0.0,0.0,75.0,190.0,"Кальфорния, штат Фулертон",,1966-02-02,Сан-Франциско,Калифорния,США,Балбоа,Сан-Франциско,Калифорния,США,0000-00-00,B
johnsra01,Ральф,Дэвид,Ralph,Джонсон,,,,"Боауг, Ральф","Добро пожаловать в Cohere! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода с английского на русский язык.",0.0,0.0,71.0,170.0,Хантингтон,,1921-12-06,,,,Центр Союза,Хингтонский округ,В,США,2005-07-13,"Добро пожаловать в службу перевода Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь предоставить точный и естественный перевод."
vanardi01,Дик,Ричард,Albert,Ван Арслей,,,,"Дик, Ван, ""Солнце""",G-Ф,0.0,0.0,76.5,202.0,Индιάνα,,1943-02-22,Индианаполис,В,США,Руководство,Индианаполис,В,США,0000-00-00,"Добро пожаловать в службу перевода Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь предоставить точный и естественный перевод."
carrau01,Остин,Остин,George,Кэр,,,,,"Добро пожаловать в Cohere! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода с английского на русский язык.",0.0,0.0,76.0,200.0,Нотр-Дам,,1948-03-10,Вашингтон,ДК,США,Макин,Вашингтон,ДК,США,0000-00-00,B
durenjo01,Джон,Джон,Thomas,Дюрен,,,,,"Добро пожаловать в Cohere! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода с английского на русский язык.",0.0,0.0,75.0,190.0,Джорджтаун,,1958-10-30,Вашингтон,ДК,США,Дунбар,Вашингтон,ДК,США,0000-00-00,B
blounma01,Марк,Марк,D.,Блунт,,,,,"""С""",0.0,0.0,84.0,230.0,Питтсбург,,1975-11-30,Доббс-Ферри,Нью-Йорк,США,Академия Оук Хилл / Священный Сердце / Доббс Ферри,Моус-оф-Уилсон / Йонекерс / Доббс-Ферри,ВА / НЮ / Ню,США,0000-00-00,B
favorde01,Дэррик,Дэррик,Bernard,Предпочтения,,,,,"Извините, но я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",0.0,0.0,82.0,246.0,Технологический институт Джорджии,,1991-07-15,Атланта,ОК,США,Южный Атланта,Атланта,ОК,США,0000-00-00,B
evansre01,Реджи,Регинальд,Jamaal,Эванс,,,,Реджи,Ф-С,0.0,0.0,80.0,245.0,Айова,Коффи-вилл Джси,1980-05-18,Пенсакола,ФЛ,США,Уодхам,Пенсакола,ФЛ,США,0000-00-00,B
hinriki01,Кирк,Кирк,James,Хинрих,,,,,"Добро пожаловать в Cohere! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода с английского на русский язык.",0.0,0.0,75.0,190.0,Канзас,,1981-01-02,Сойо-Сити,Я,США,Сой-Сити-Уэст,Сойо-Сити,Я,США,0000-00-00,"Добро пожаловать в службу перевода Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь предоставить точный и естественный перевод."
dougljo01,Джон,Джон,David,Дуглас,,,,,"Добро пожаловать в Cohere! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода с английского на русский язык.",0.0,0.0,74.0,170.0,Канзас,Джон Кэмпбелл Калхун,1956-06-12,Городной поток,АЛ,США,Колбертский округ,Лейтон,АЛ,США,0000-00-00,B
