playerid,yearid,stint,teamid,lgid,g,g_batting,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp,g_old
ayersdo01,1916,1,WS1,AL,43,43,43.0,2.0,6.0,1.0,0.0,0.0,4.0,0.0,,0.0,8.0,,0.0,2.0,,,43.0
heskejo01,1990,1,MON,NL,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
suklaed01,1966,1,CAL,AL,12,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
childro01,1985,1,PHI,NL,16,16,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,16.0
eischjo01,2006,1,WAS,NL,22,22,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,22.0
lynnby01,1917,1,CHA,AL,35,35,72.0,7.0,16.0,2.0,0.0,0.0,5.0,1.0,,7.0,11.0,,1.0,4.0,,,35.0
smithdi01,1953,1,PIT,NL,13,13,43.0,4.0,7.0,0.0,1.0,0.0,2.0,0.0,1.0,6.0,6.0,,0.0,0.0,,1.0,13.0
herriar01,1932,1,DET,AL,12,12,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,0.0,0.0,,,12.0
herbera01,1953,1,DET,AL,43,43,19.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,,0.0,0.0,,1.0,43.0
wilsoji01,1931,1,SLN,NL,115,115,383.0,45.0,105.0,20.0,2.0,0.0,51.0,5.0,,28.0,15.0,,5.0,3.0,,,115.0
wiggial01,1984,1,SDN,NL,158,158,596.0,106.0,154.0,19.0,7.0,3.0,34.0,70.0,21.0,75.0,57.0,1.0,3.0,14.0,4.0,2.0,158.0
engeljo01,1920,1,WS1,AL,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,2.0
parenfr01,1911,1,CHA,AL,3,3,9.0,2.0,4.0,1.0,0.0,0.0,3.0,0.0,,2.0,,,0.0,1.0,,,3.0
baumhfr01,1949,1,CIN,NL,27,27,81.0,12.0,19.0,5.0,3.0,1.0,8.0,0.0,,6.0,8.0,,1.0,3.0,,2.0,27.0
milleox01,1945,1,SLA,AL,6,6,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,1.0,,0.0,6.0
caldeiv01,1993,2,CHA,AL,9,9,26.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,9.0
valoel01,1951,1,PHA,AL,123,123,444.0,75.0,134.0,27.0,8.0,7.0,55.0,11.0,6.0,75.0,20.0,,8.0,3.0,,12.0,123.0
burbada01,1990,1,SEA,AL,6,0,,,,,,,,,,,,,,,,,6.0
teahema01,2006,1,KCA,AL,109,109,393.0,70.0,114.0,21.0,7.0,18.0,69.0,10.0,0.0,40.0,85.0,2.0,2.0,2.0,2.0,5.0,109.0
rossmcl01,1909,1,DET,AL,82,82,287.0,16.0,75.0,8.0,3.0,0.0,39.0,10.0,,13.0,,,0.0,10.0,,,82.0
rignejo01,1937,1,CHA,AL,22,22,30.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,,0.0,2.0,,,22.0
suklaed01,1964,1,LAA,AL,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
daussho01,1918,1,DET,AL,33,33,77.0,3.0,14.0,2.0,2.0,0.0,11.0,0.0,,11.0,13.0,,2.0,4.0,,,33.0
connoro01,1897,1,SLN,NL,22,22,83.0,13.0,19.0,3.0,1.0,1.0,12.0,3.0,,13.0,,,0.0,1.0,,,22.0
irwinch01,1893,1,CHN,NL,21,21,82.0,14.0,25.0,6.0,2.0,0.0,13.0,4.0,,10.0,1.0,,2.0,,,,21.0
landrti01,1985,1,SLN,NL,85,85,161.0,21.0,45.0,8.0,2.0,4.0,21.0,1.0,4.0,19.0,30.0,1.0,0.0,1.0,0.0,3.0,85.0
mcleala01,1908,1,CIN,NL,99,99,309.0,24.0,67.0,9.0,4.0,1.0,28.0,2.0,,15.0,,,2.0,8.0,,,99.0
brownju01,1941,1,NY1,NL,31,31,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,0.0,0.0,,1.0,31.0
saltzja01,1934,1,NYA,AL,94,94,350.0,64.0,95.0,8.0,1.0,6.0,36.0,8.0,1.0,48.0,28.0,,0.0,8.0,,,94.0
saucike01,1982,1,DET,AL,31,0,,,,,,,,,,,,,,,,,31.0
haguejo01,1973,1,CIN,NL,19,19,33.0,2.0,5.0,2.0,0.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,19.0
rogovsa01,1951,2,CHA,AL,24,24,74.0,7.0,15.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,8.0,,0.0,0.0,,1.0,24.0
gonzaju03,2001,1,CLE,AL,140,140,532.0,97.0,173.0,34.0,1.0,35.0,140.0,1.0,0.0,41.0,94.0,5.0,6.0,0.0,16.0,18.0,140.0
fonvich01,1996,1,LAN,NL,103,103,201.0,34.0,41.0,4.0,1.0,0.0,13.0,7.0,2.0,17.0,31.0,1.0,0.0,3.0,0.0,1.0,103.0
duganjo01,1917,1,PHA,AL,43,43,134.0,9.0,26.0,8.0,0.0,0.0,16.0,0.0,,3.0,16.0,,3.0,7.0,,,43.0
lopezau01,1981,1,DET,AL,29,0,,,,,,,,,,,,,,,,,29.0
millafe01,1976,1,NYN,NL,139,139,531.0,55.0,150.0,25.0,2.0,1.0,35.0,2.0,4.0,41.0,19.0,5.0,7.0,6.0,2.0,15.0,139.0
durbich01,2002,1,KCA,AL,2,0,,,,,,,,,,,,,,,,,2.0
daviscr01,1941,1,PHA,AL,39,39,105.0,8.0,23.0,3.0,0.0,0.0,8.0,0.0,0.0,11.0,16.0,,0.0,3.0,,1.0,39.0
mccrato01,1973,1,CAL,AL,99,99,264.0,25.0,70.0,7.0,0.0,3.0,24.0,3.0,2.0,30.0,42.0,1.0,2.0,0.0,1.0,2.0,99.0
thompro01,1991,1,SFN,NL,144,144,492.0,74.0,129.0,24.0,5.0,19.0,48.0,14.0,7.0,63.0,95.0,2.0,6.0,11.0,1.0,5.0,144.0
lemasjo01,1979,1,SFN,NL,108,108,343.0,42.0,87.0,11.0,2.0,3.0,29.0,9.0,5.0,23.0,55.0,1.0,2.0,3.0,1.0,6.0,108.0
wilforo01,1987,1,SFN,NL,2,2,8.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
ruthvdi01,1984,1,CHN,NL,25,25,44.0,2.0,7.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,18.0,0.0,0.0,5.0,0.0,0.0,25.0
wilsoea01,1969,1,DET,AL,37,37,76.0,6.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,10.0,37.0,0.0,0.0,2.0,1.0,1.0,37.0
boonebr01,1995,1,CIN,NL,138,138,513.0,63.0,137.0,34.0,2.0,15.0,68.0,5.0,1.0,41.0,84.0,0.0,6.0,5.0,5.0,14.0,138.0
molinbe01,2002,1,ANA,AL,122,122,428.0,34.0,105.0,18.0,0.0,5.0,47.0,0.0,0.0,15.0,34.0,3.0,4.0,6.0,6.0,15.0,122.0
reynocr01,1980,1,HOU,NL,137,137,381.0,34.0,86.0,9.0,6.0,3.0,28.0,2.0,1.0,20.0,39.0,1.0,0.0,13.0,4.0,4.0,137.0
tagucso01,2006,1,SLN,NL,134,134,316.0,46.0,84.0,19.0,1.0,2.0,31.0,11.0,3.0,32.0,48.0,1.0,2.0,9.0,2.0,9.0,134.0
mossle01,1946,1,SLA,AL,12,12,35.0,4.0,13.0,3.0,0.0,0.0,5.0,1.0,0.0,3.0,5.0,,1.0,0.0,,0.0,12.0
moralri01,1972,1,CHA,AL,110,110,287.0,24.0,59.0,7.0,1.0,2.0,20.0,2.0,3.0,19.0,49.0,2.0,3.0,0.0,1.0,11.0,110.0
hintoch01,1961,1,WS2,AL,106,106,339.0,51.0,88.0,13.0,5.0,6.0,34.0,22.0,5.0,40.0,81.0,1.0,1.0,0.0,3.0,5.0,106.0
youngmi01,1986,1,BAL,AL,117,117,369.0,43.0,93.0,15.0,1.0,9.0,42.0,3.0,1.0,49.0,90.0,2.0,3.0,2.0,3.0,13.0,117.0
hanseda01,1993,1,LAN,NL,84,84,105.0,13.0,38.0,3.0,0.0,4.0,30.0,0.0,1.0,21.0,13.0,3.0,0.0,0.0,1.0,0.0,84.0
jonesga01,1970,1,NYA,AL,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
