playerid,yearid,stint,teamid,lgid,w,l,g,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,baopp,era,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,gidp
stockwe01,1963,1,BAL,AL,7,0,47,0,0,0,1,226,69,33,11,31,55,0.0,3,7.0,0,0,0,319,16,41,,,
barneju01,1934,1,CIN,NL,0,0,2,0,0,0,0,1,0,0,0,1,0,0.0,0,,0,0,0,2,2,0,,,
owensji01,1964,1,HOU,NL,8,7,48,11,0,0,6,354,115,43,7,32,88,0.0,3,6.0,5,0,0,489,23,48,,,
colboji01,1977,1,KCA,AL,18,14,36,35,6,1,0,717,233,96,22,81,103,0.0,3,2.0,8,13,3,1023,0,106,,,
mimbsmi01,1996,1,PHI,NL,3,9,21,17,0,0,0,298,116,61,13,41,56,0.0,5,1.0,7,2,0,448,0,66,,,
facero01,1968,1,PIT,NL,2,4,43,0,0,0,13,156,46,15,3,7,34,0.0,2,2.0,0,2,0,206,33,17,,,
cormirh01,2002,1,PHI,NL,5,6,54,0,0,0,0,180,61,35,6,32,49,,5,6.0,4,4,0,268,7,38,,,
slocuhe01,1993,2,CLE,AL,3,1,20,0,0,0,0,82,28,13,3,16,18,0.0,4,2.0,0,0,0,122,5,14,,,
bendech01,1906,1,PHA,AL,15,10,36,27,24,0,3,715,208,67,5,48,159,0.0,2,,3,8,0,0,9,98,,,
hoernjo01,1976,1,TEX,AL,0,4,41,0,0,0,8,105,41,20,3,19,15,0.0,5,6.0,2,0,1,161,19,22,,,
hutchjo02,1946,1,BSN,NL,0,1,1,1,0,0,0,9,5,3,1,1,1,0.0,9,,0,0,0,15,0,3,,,
delosva01,2003,1,MIL,NL,3,3,45,0,0,0,1,144,38,22,8,22,35,0.0,4,0.0,1,4,0,205,5,24,,,
roberje01,1969,1,MON,NL,5,16,38,27,3,0,1,539,186,79,17,81,133,0.0,3,11.0,6,4,1,788,4,87,,,
weirro01,1939,1,BSN,NL,0,0,2,0,0,0,0,8,1,0,0,1,2,0.0,0,,0,0,0,10,1,0,,,
mahleri01,1981,1,ATL,NL,8,6,34,14,1,0,2,337,109,35,5,43,54,0.0,2,5.0,3,1,1,478,10,41,,,
wehrmda01,1978,1,SDN,NL,1,0,4,0,0,0,0,22,8,5,1,5,2,0.0,6,1.0,0,0,0,35,2,5,,,
osborbo01,1927,1,CHN,NL,5,5,24,12,2,0,0,323,125,50,2,48,45,0.0,4,,0,1,0,485,10,54,,,
flahepa02,1899,1,LS3,NL,2,3,5,4,4,0,0,117,41,10,0,5,5,0.0,2,,0,1,0,0,1,21,,,
ferrewe01,1936,1,BOS,AL,20,15,39,38,28,3,0,903,330,140,11,119,106,0.0,4,,3,6,0,1341,1,160,,,
chipmbo01,1945,1,CHN,NL,4,5,25,10,3,1,0,216,63,28,4,34,29,0.0,3,,1,1,0,313,3,37,,,
pulsibi01,2000,1,NYN,NL,0,2,2,2,0,0,0,20,12,9,1,6,7,0.0,12,0.0,0,1,0,39,0,9,,,
mahleri01,1988,1,ATL,NL,9,16,39,34,5,0,0,747,279,102,17,42,131,0.0,3,6.0,5,8,8,1063,2,125,,,
wilheho01,1956,1,NY1,NL,4,9,64,0,0,0,8,268,97,38,7,43,71,0.0,3,10.0,6,2,0,403,38,45,,,
courtha01,1919,1,WS1,AL,3,0,4,3,2,1,0,79,25,8,0,19,6,0.0,2,,0,0,0,112,1,9,,,
dailyed01,1890,2,NY1,NL,2,0,2,1,1,0,0,48,6,4,0,6,0,0.0,2,,1,0,0,0,1,6,,,
kopliho01,1966,1,WS2,AL,0,0,1,0,0,0,0,6,0,0,0,1,0,0.0,0,0.0,0,0,0,5,0,0,,,
lerscba01,1974,1,SLN,NL,0,0,1,0,0,0,0,4,3,6,1,5,0,0.0,40,0.0,0,0,0,12,0,6,,,
smithge02,1917,1,NY1,NL,0,3,14,1,1,0,0,114,38,12,1,11,16,0.0,2,,2,1,0,159,6,13,,,
roperjo01,1993,1,CIN,NL,2,5,16,15,0,0,0,240,92,50,10,36,54,0.0,5,3.0,5,4,1,360,0,51,,,
martiti01,1988,1,MIN,AL,0,0,3,0,0,0,0,12,8,8,1,4,3,0.0,18,0.0,0,1,1,24,2,9,,,
heatone01,1986,1,CLE,AL,3,6,12,12,2,0,0,223,73,35,8,34,24,0.0,4,4.0,2,1,0,324,0,42,,,
mccormi03,1970,1,SFN,NL,3,4,23,11,1,0,2,235,80,54,15,36,37,0.0,6,7.0,4,3,0,351,7,58,,,
bradfch01,2004,1,OAK,AL,5,7,68,0,0,0,1,177,51,29,5,24,34,0.0,4,9.0,0,5,0,251,16,32,,,
sanchlu01,1982,1,CAL,AL,7,4,46,0,0,0,5,278,89,33,3,34,58,0.0,3,4.0,1,7,1,388,25,36,,,
dudlecl01,1930,1,BRO,NL,2,4,21,7,2,0,1,200,103,47,3,27,18,0.0,6,,2,2,1,323,4,62,,,
wakefti01,2009,1,BOS,AL,11,5,21,21,2,0,0,389,137,66,12,50,72,,4,0.0,4,10,0,572,0,67,,,
fettemi01,2002,2,ARI,NL,2,3,33,0,0,0,0,74,28,14,1,19,24,,5,5.0,6,2,0,118,9,18,,,
umbriji01,1962,1,HOU,NL,4,0,34,0,0,0,2,201,51,15,3,17,55,0.0,2,1.0,3,2,0,263,21,19,,,
parnhru01,1916,1,PHA,AL,2,1,4,3,2,0,0,74,27,11,0,13,8,0.0,4,,2,0,0,103,1,14,,,
hanyzed01,1946,1,CHN,NL,1,0,3,0,0,0,0,18,8,3,0,5,1,0.0,4,,0,1,0,29,2,3,,,
shawkbo01,1915,2,NYA,AL,4,7,16,9,5,1,0,257,78,31,2,35,31,0.0,3,,1,2,0,331,6,38,,,
danfoda01,1923,1,SLA,AL,16,14,38,26,16,0,1,679,221,99,4,87,96,0.0,3,,2,12,3,967,4,111,,,
bajenje01,2004,1,CHA,AL,0,1,9,0,0,0,0,25,15,10,0,6,8,0.0,10,1.0,0,0,0,44,4,10,,,
kirchmi01,1920,1,SLN,NL,2,1,9,3,1,0,0,110,50,22,0,5,5,0.0,5,,0,2,0,161,6,23,,,
bevilbr01,1996,1,KCA,AL,1,0,3,1,0,0,0,33,9,7,2,5,7,0.0,5,0.0,0,0,0,44,1,7,,,
greerke01,1993,1,NYN,NL,1,0,1,0,0,0,0,3,0,0,0,0,2,0.0,0,0.0,0,0,0,3,1,0,,,
keupphe01,1914,1,SLF,FL,8,20,42,25,12,1,0,639,256,101,3,49,70,9.0,4,,2,4,0,932,12,132,,,
winfoji01,1934,1,SLN,NL,0,2,5,1,0,0,0,38,17,11,0,6,3,0.0,7,,2,2,0,61,1,13,,,
daviscu01,1938,1,SLN,NL,12,8,40,21,8,2,3,520,187,70,9,27,36,0.0,3,,3,1,0,724,16,80,,,
cronija01,1904,1,BRO,NL,12,23,40,34,33,4,0,921,284,92,10,79,110,0.0,2,,3,9,0,1266,6,132,,,
