playerid,schoolid,yearmin,yearmax
abbotky01,longbeach,1989,1989
abbotky01,ucsd,1987,1988
adamsbo04,ucla,1971,1973
adamsmi01,usc,1967,1967
adamswi02,stanford,1991,1993
ahearpa01,pepperdine,1991,1992
albrija01,california,1940,1946
aldremi01,stanford,1980,1983
allendu01,stanford,1992,1995
allenki01,ucriver,1973,1975
alvarab01,longbeach,2001,2003
alvarga01,usc,1993,1995
amalfjo01,loyolamary,1952,1954
amarari01,ucla,1982,1983
amaroru02,stanford,1984,1987
amelued01,sandiegost,1980,1980
anderbr01,ucirvine,1983,1985
andrejo02,sandiegost,1970,1970
apodabo01,calstla,1970,1971
ardelda01,usc,1961,1961
arellfr01,santaclara,1901,1908
asadora01,fresnost,1981,1983
augusdo01,chapmanca,1982,1984
austije01,stanford,1997,1998
badgrre01,usc,1925,1927
bakerch02,loyolamary,1974,1975
bakerda01,ucla,1975,1978
ballaje01,stanford,1982,1985
ballje01,sanjosest,1990,1990
barbebr01,usc,1988,1988
barbest02,arizona,1967,1967
barbest02,laverneca,1968,1969
barnela01,fresnost,1995,1995
barracu01,sacstate,1953,1953
barrji01,usc,1968,1970
barryha01,santaclara,1909,1912
barryje01,sandiegost,1988,1990
bassno01,pacific,1957,1957
bathebi01,pepperdine,1981,1981
beanbi01,loyolamary,1983,1986
bearega01,longbeach,1973,1974
begleji01,sanfran,1920,1924
belarwa01,santaclara,1948,1948
benneer01,sacstate,1987,1989
bentzch01,longbeach,2000,2001
berarjo01,usc,1937,1937
berbelo01,santaclara,1947,1949
bernavi01,calpolypom,1973,1975
berryse01,ucla,1985,1985
