yearid,teamid,lgid,playerid,salary
2002,SEA,AL,abbotpa01,3425000
1993,CLE,AL,kirbywa01,123000
2008,PHI,NL,jenkige01,5000000
2004,SFN,NL,nenro01,9150000
2004,PIT,NL,davisjj01,300000
2003,HOU,NL,bagweje01,13000000
1996,CHA,AL,venturo01,6000000
1995,SLN,NL,colesda01,300000
2003,ANA,AL,seleaa01,8166667
2006,WAS,NL,stantmi02,1000000
2003,ANA,AL,anderga01,5350000
1999,TBA,AL,lopezal02,630000
1999,LAN,NL,perezca01,2333333
1993,SFN,NL,lewisda01,172500
2000,MON,NL,barremi01,265000
2010,BOS,AL,papeljo01,9350000
2005,DET,AL,higgibo02,8850000
1988,ATL,NL,virgioz02,900000
2006,SLN,NL,rincori01,1200000
2004,PHI,NL,perezto03,750000
1985,CHA,AL,seaveto01,1136262
1991,SLN,NL,olivaom01,120000
2003,BAL,AL,coninje01,4250000
1996,SDN,NL,cianfar01,262500
2003,COL,NL,elartsc01,300000
1990,PHI,NL,hollida01,100000
1997,MON,NL,andresh01,225000
2008,LAA,AL,weaveje02,435000
1999,BOS,AL,martipe02,11100000
1985,TEX,AL,obriepe03,165000
2012,CHN,NL,barneda01,500000
1998,MON,NL,thurmmi01,170500
1995,ATL,NL,lemkema01,1250000
1992,CIN,NL,hammoch01,140000
2007,COL,NL,carroja01,1700000
1990,KCA,AL,seitzke01,1001250
1987,PHI,NL,daultda01,98000
1990,DET,AL,holmash01,100000
