awardid,yearid,lgid,playerid,pointswon,pointsmax,votesfirst
MVP,1912,AL,moellda01,1,64,0.0
MVP,1976,AL,jacksre01,17,336,0.0
MVP,1976,NL,montawi01,4,336,0.0
Rookie of the Year,1986,AL,joynewa01,98,140,12.0
Rookie of the Year,1981,NL,brookhu01,8,120,0.0
MVP,1982,AL,wilsowi02,16,392,0.0
MVP,2006,AL,glaustr01,1,392,0.0
Cy Young,2003,NL,priorma01,60,160,2.0
Rookie of the Year,1979,AL,clearma01,5,28,5.0
Rookie of the Year,1989,NL,benesan01,3,120,0.0
MVP,1944,AL,guttedo01,7,336,0.0
MVP,1990,AL,stiebda01,1,392,0.0
MVP,1981,NL,bakerdu01,65,336,0.0
MVP,1967,AL,peterga01,37,280,0.0
MVP,1941,NL,coopemo01,8,336,0.0
Cy Young,2006,AL,wangch01,51,140,0.0
MVP,1994,NL,bagweje01,392,392,28.0
MVP,1997,AL,justida01,90,392,0.0
Cy Young,1999,AL,moyerja01,3,140,0.0
Cy Young,2011,NL,vogelry01,1,224,0.0
MVP,1992,AL,thomafr04,108,392,0.0
Rookie of the Year,1980,AL,burnsbr01,33,140,4.0
MVP,1978,NL,suttebr01,5,336,0.0
MVP,1943,NL,marioma01,20,336,0.0
MVP,1972,AL,allendi01,321,336,21.0
MVP,2001,AL,guzmacr01,4,392,0.0
Rookie of the Year,1991,AL,gomezle02,1,140,0.0
MVP,1980,AL,murraed02,106,392,0.0
MVP,1933,NL,bushgu01,11,80,
MVP,1985,AL,gibsoki01,7,392,0.0
Rookie of the Year,1982,NL,shower01,1,120,0.0
MVP,1983,NL,dawsoan01,213,336,1.0
MVP,1931,AL,marbefi01,11,80,
MVP,1984,AL,boddimi01,2,392,0.0
MVP,1995,NL,sandere02,120,392,0.0
MVP,1970,NL,tolanbo01,17,336,0.0
MVP,1991,AL,clemero02,57,392,0.0
MVP,1993,NL,galaran01,45,392,0.0
Rookie of the Year,1996,NL,ordonre01,7,140,1.0
MVP,1980,AL,singlke01,4,392,0.0
MVP,1967,AL,scottge02,33,280,0.0
Rookie of the Year,1990,AL,coleal01,1,140,0.0
MVP,2006,AL,guerrvl01,46,392,0.0
MVP,1984,NL,cartega01,32,336,0.0
Cy Young,2006,NL,hoffmtr01,77,160,12.0
MVP,1972,AL,murcebo01,89,336,0.0
MVP,1947,AL,doerrbo01,6,336,0.0
MVP,1943,AL,casege01,37,336,0.0
MVP,1958,AL,berrayo01,6,336,0.0
MVP,2009,NL,leede02,66,448,0.0
MVP,1981,AL,grichbo01,19,392,0.0
MVP,1985,AL,henderi01,174,392,0.0
MVP,1929,NL,ottme01,15,80,
MVP,1957,NL,musiast01,230,336,5.0
MVP,1942,NL,nichobi01,14,336,0.0
MVP,2005,NL,edmonji01,4,448,0.0
MVP,1999,NL,mantema01,3,448,0.0
MVP,1940,NL,maypi01,3,336,0.0
Cy Young,1977,NL,candejo01,17,120,1.0
MVP,1959,NL,hoakdo01,6,336,0.0
MVP,1935,AL,greenha01,80,80,8.0
Cy Young,1979,AL,lopezau01,1,140,0.0
MVP,1970,AL,aparilu01,35,336,0.0
Rookie of the Year,1978,NL,hornebo01,12,24,12.0
MVP,1977,AL,scottge02,3,392,0.0
MVP,1940,NL,waltebu01,146,336,0.0
MVP,1935,NL,martipe01,16,80,
MVP,2004,NL,thomeji01,7,448,0.0
Cy Young,1959,ML,wynnea01,13,16,13.0
MVP,1928,AL,metzlal01,1,64,0.0
MVP,1937,NL,hartnga01,68,80,3.0
MVP,1952,AL,joosted01,20,336,0.0
Cy Young,1989,NL,magrajo01,7,120,0.0
MVP,2002,AL,suzukic01,10,392,0.0
MVP,1996,NL,piazzmi01,237,392,0.0
MVP,1966,NL,floodcu01,7,280,0.0
MVP,1983,AL,boggswa01,25,392,0.0
MVP,1975,NL,montawi01,1,336,0.0
MVP,1938,AL,heathje01,24,336,
MVP,1942,NL,medwijo01,20,336,0.0
MVP,1927,NL,grimebu01,4,80,0.0
MVP,1986,AL,baylodo01,32,392,0.0
MVP,1946,AL,henrito01,1,336,0.0
Cy Young,2005,AL,millwke01,1,140,0.0
MVP,1940,AL,yorkru01,61,336,0.0
MVP,1955,AL,mossido01,1,336,0.0
MVP,1951,NL,darkal01,30,336,0.0
