playerid,yearid,stint,teamid,lgid,pos,g,gs,innouts,po,a,e,dp,pb,wp,sb,cs,zr
lowebo01,1905,1,DET,AL,OF,24,,,45.0,5.0,1.0,0.0,,,,,
vaughfa01,1896,1,CIN,NL,1B,57,,,572.0,29.0,10.0,35.0,,,,,
watkida01,1969,1,PHI,NL,3B,1,0.0,18.0,0.0,2.0,0.0,0.0,,,,,
edwarma01,1982,1,ML4,AL,OF,54,46.0,1253.0,119.0,2.0,2.0,1.0,,,,,
sheetla01,1985,1,BAL,AL,1B,1,1.0,24.0,5.0,1.0,0.0,1.0,,,,,
loftoke01,1999,1,CLE,AL,OF,119,115.0,2974.0,256.0,11.0,3.0,3.0,,,,,
strinni01,1948,1,PIT,NL,P,3,,,1.0,1.0,0.0,0.0,,,,,
harribr01,2007,1,TBA,AL,2B,47,45.0,1212.0,75.0,96.0,1.0,26.0,,,,,
jeterjo01,1973,1,CHA,AL,RF,28,23.0,610.0,54.0,0.0,3.0,0.0,,,,,
bonege01,1901,1,MLA,AL,SS,12,,,24.0,29.0,8.0,6.0,,,,,
lowese01,1999,1,CHA,AL,P,64,0.0,287.0,5.0,14.0,0.0,1.0,,,,,
grillja01,2000,1,FLO,NL,P,1,1.0,20.0,0.0,1.0,0.0,0.0,,,,,
katolja01,1901,1,CHA,AL,P,27,,,11.0,71.0,8.0,1.0,,,,,
braunst01,1983,1,SLN,NL,RF,5,4.0,96.0,5.0,0.0,0.0,0.0,,,,,
weisswa01,1998,1,ATL,NL,SS,96,95.0,2368.0,97.0,257.0,12.0,63.0,,,,,
linzph01,1962,1,NYA,AL,2B,5,1.0,69.0,8.0,6.0,2.0,1.0,,,,,
pryorgr01,1984,1,KCA,AL,SS,2,1.0,27.0,0.0,2.0,0.0,0.0,,,,,
johnsro02,1937,1,NYA,AL,OF,12,,,21.0,0.0,4.0,0.0,,,,,
postwa01,1960,1,PHI,NL,LF,18,15.0,358.0,34.0,1.0,0.0,0.0,,,,,
bolgeji01,1955,1,CHN,NL,OF,51,44.0,1156.0,125.0,1.0,6.0,0.0,,,,,
highan01,1925,1,BRO,NL,2B,11,,,27.0,34.0,4.0,6.0,,,,,
lathaar01,1888,1,SL4,AA,3B,133,,,178.0,287.0,62.0,19.0,,,,,
reeseke01,2006,1,NYA,AL,RF,2,1.0,33.0,1.0,0.0,0.0,0.0,,,,,
lagami01,1988,1,SLN,NL,1B,37,24.0,721.0,293.0,17.0,0.0,26.0,,,,,
harriea01,1953,1,CHA,AL,P,7,,,1.0,1.0,1.0,0.0,,,,,
nixonru01,1963,1,BOS,AL,C,76,72.0,1935.0,483.0,22.0,4.0,1.0,5.0,21.0,19.0,9.0,0.0
pennybr01,2008,1,LAN,NL,P,19,17.0,284.0,6.0,17.0,1.0,2.0,,,,,
kilroma01,1887,1,BL2,AA,P,69,,,37.0,157.0,20.0,2.0,,,,,
incavpe01,1994,1,PHI,NL,LF,63,58.0,1407.0,90.0,2.0,2.0,0.0,,,,,
reedje03,2006,1,SEA,AL,CF,64,55.0,1522.0,129.0,3.0,1.0,0.0,,,,,
thronfa01,1956,1,BOS,AL,CF,2,0.0,39.0,5.0,0.0,0.0,0.0,,,,,
pettian01,2002,1,NYA,AL,P,22,22.0,404.0,8.0,27.0,2.0,0.0,,,,,
timmooz01,1999,1,SEA,AL,OF,17,8.0,234.0,12.0,0.0,0.0,0.0,,,,,
heldwo01,1958,2,CLE,AL,CF,37,25.0,701.0,78.0,3.0,3.0,1.0,,,,,
willima04,1992,1,SFN,NL,3B,144,140.0,3744.0,105.0,289.0,23.0,33.0,,,,,
labincl01,1961,1,PIT,NL,P,56,1.0,278.0,12.0,12.0,1.0,0.0,,,,,
nashbi01,1897,1,PHI,NL,SS,19,,,51.0,51.0,13.0,6.0,,,,,
murraed02,1977,1,BAL,AL,LF,3,3.0,69.0,6.0,0.0,0.0,0.0,,,,,
