id,lgid,teamid,franchid,name,park
115,AL,WS2,TEX,Washington Senators,Griffith Stadium II
241,NL,NY1,SFG,New York Giants,Polo Grounds IV
35,AA,TL2,TLM,Toledo Maumees,Speranza Park
126,FL,PTF,PBS,Pittsburgh Rebels,
38,AL,ANA,ANA,Anaheim Angels,Angels Stadium of Anaheim
147,NA,RC1,ROK,Rockford Forest Citys,Agricultural Society Fair Grounds
98,AL,SEA,SEA,Seattle Mariners,Safeco Field
62,AL,CLE,CLE,Cleveland Naps,League Park II
293,NL,WOR,WOR,Worcester Ruby Legs,Worcester Driving Park Grounds
82,AL,NYA,NYY,New York Yankees,Polo Grounds IV
39,AL,ANA,ANA,Anaheim Angels,Edison International Field
193,NL,CIN,CIN,Cincinnati Redlegs,Crosley Field
179,NL,BSN,ATL,Boston Doves,South End Grounds III
79,AL,ML4,MIL,Milwaukee Brewers,County Stadium
23,AA,NY4,NYP,New York Metropolitans,St. George Cricket Grounds
300,PL,NYP,NYI,New York Giants,
220,NL,IN1,IBL,Indianapolis Blues,South Street Park
190,NL,CHN,CHC,Chicago White Stockings,Lake Front Park I/Lake Front Park II
182,NL,CHN,CHC,Chicago Colts,South Side Park I
154,NA,WS6,WNT,Washington Nationals,Olympics Grounds
60,AL,CLE,CLE,Cleveland Indians,Progressive Field
170,NL,BRO,LAD,Brooklyn Superbas,Washington Park III
40,AL,BAL,BAL,Baltimore Orioles,Memorial Stadium
285,NL,SLN,STL,St. Louis Perfectos,Robison Field
206,NL,CN1,CNR,Cincinnati Reds,Bank Street Grounds
43,AL,BOS,BOS,Boston Americans,Huntington Avenue Grounds
183,NL,CHN,CHC,Chicago Colts,West Side Park I
302,PL,PTP,PBB,Pittsburgh Burghers,
186,NL,CHN,CHC,Chicago Cubs,Wrigley Field
167,NL,BRO,LAD,Brooklyn Grooms,Eastern Park
230,NL,MIL,MIL,Milwaukee Brewers,County Stadium
148,NA,SL1,SLR,St. Louis Red Stockings,Red Stocking Baseball Park
268,NL,SDN,SDP,San Diego Padres,Qualcomm Stadium
145,NA,PH2,PWS,Philadelphia Whites,Jefferson Street Grounds
117,FL,BLF,BLT,Baltimore Terrapins,
284,NL,SLN,STL,St. Louis Cardinals,Sportsman's Park IV/Busch Stadium II
240,NL,NY1,SFG,New York Giants,Polo Grounds III/Polo Grounds IV
226,NL,LS1,LGR,Louisville Grays,Louisville Baseball Park
127,FL,SLF,SLI,St. Louis Terriers,
211,NL,FLO,FLA,Florida Marlins,Joe Robbie Stadium
69,AL,KCA,KCR,Kansas City Royals,Kauffman Stadium
75,AL,LAA,ANA,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim
52,AL,CHA,CHW,Chicago White Sox,South Side Park II/Comiskey Park
159,NL,BFN,BUF,Buffalo Bisons,Olympic Park I
47,AL,CAL,ANA,California Angels,Anaheim Stadium
215,NL,HAR,HAR,Hartford Dark Blues,Union Grounds (Brooklyn)
76,AL,MIN,MIN,Minnesota Twins,Hubert H Humphrey Metrodome
119,FL,BUF,BFL,Buffalo Blues,
36,AA,WS7,WST,Washington Nationals,Athletic Park
216,NL,HOU,HOU,Houston Astros,Astrodome
92,AL,PHA,OAK,Philadelphia Athletics,Columbia Park
195,NL,CIN,CIN,Cincinnati Reds,Crosley Field
286,NL,SR1,SYR,Syracuse Stars,Newell Park
283,NL,SLN,STL,St. Louis Cardinals,Sportsman's Park IV
264,NL,PIT,PIT,Pittsburgh Pirates,Three Rivers Stadium
311,UA,SLU,SLM,St. Louis Maroons,
218,NL,HOU,HOU,Houston Astros,Minute Maid Park
135,NA,CH2,CNA,Chicago White Stockings,23rd Street Grounds
160,NL,BFN,BUF,Buffalo Bisons,Riverside Park
303,UA,ALT,ALT,Altoona Mountain City,
72,AL,LAA,ANA,Los Angeles Angels,Dodger Stadium
132,NA,BR2,BRA,Brooklyn Atlantics,Union Grounds
214,NL,HAR,HAR,Hartford Dark Blues,Hartford Ball Club Grounds
136,NA,CL1,CFC,Cleveland Forest Citys,National Association Grounds
222,NL,IN3,IND,Indianapolis Hoosiers,Athletic Park II
229,NL,MIA,FLA,Miami Marlins,Marlins Park
11,AA,CL5,CBK,Columbus Buckeyes,Recreation Park I
65,AL,DET,DET,Detroit Tigers,Comerica Park
78,AL,MIN,MIN,Minnesota Twins,Target Field
245,NL,NYN,NYM,New York Mets,Polo Grounds IV
233,NL,ML2,MLG,Milwaukee Grays,Eclipse Park II
196,NL,CIN,CIN,Cincinnati Reds,Crosley Field/Riverfront Stadium
310,UA,PHU,PHK,Philadelphia Keystones,
270,NL,SFN,SFG,San Francisco Giants,AT&T Park
292,NL,WAS,WSN,Washington Nationals,R.F.K. Stadium
68,AL,KC1,OAK,Kansas City Athletics,Municipal Stadium I
