franchid,franchname,active,naassoc
DTN,Detroit Wolverines,N,
KCN,Kansas City Cowboys,N,
BUF,Buffalo Bisons,N,
BFL,Buffalo Bisons,N,
CPI,Chicago/Pittsburgh (Union League),N,
WST,Washington Statesmen,N,
BLO,Baltimore Orioles,N,
CNA,Chicago White Stockings,,CHC
NYY,New York Yankees,Y,
KCC,Kansas City Cowboys,N,
BWW,Brooklyn Ward's Wonders,N,
SEA,Seattle Mariners,Y,
COR,Cincinnati Outlaw Reds,N,
CNR,Cincinnati Reds,N,
WES,Keokuk Westerns,,
CHC,Chicago Cubs,Y,CNA
TBD,Tampa Bay Rays,Y,
BRD,Boston Reds,N,
ARI,Arizona Diamondbacks,Y,
PHQ,Philadelphia Athletics,N,
OLY,Washington Olympics,,
CFC,Cleveland Forest Citys,,
WIL,Wilmington Quicksteps,N,
BLU,Baltimore Monumentals,N,
PHI,Philadelphia Phillies,Y,
WNT,Washington Nationals,,
ATH,Philadelphia Athletics,N,PNA
TRT,Troy Trojans,N,
ROC,Rochester Broncos,N,
BNA,Boston Red Stockings,,ATL
KCR,Kansas City Royals,Y,
TOR,Toronto Blue Jays,Y,
LOU,Louisville Colonels,N,
CEN,Philadelphia Centennials,,
SLR,St. Louis Red Stockings,,
BTT,Brooklyn Tip-Tops,N,
RIC,Richmond Virginians,N,
CBK,Columbus Buckeyes,N,
CLV,Cleveland Spiders,N,
SLM,St. Louis Maroons,N,
CIN,Cincinnati Reds,Y,
MIN,Minnesota Twins,Y,
HNA,Hartford Dark Blues,,HAR
IND,Indianapolis Hoosiers,N,
MLG,Milwaukee Grays,N,
STL,St. Louis Cardinals,Y,
SBS,St. Louis Brown Stockings,N,SNA
RES,Elizabeth Resolutes,,
CBL,Cleveland Blues,N,
