schoolid,schoolname,schoolcity,schoolstate,schoolnick
azusapac,Azusa Pacific University,Azusa,CA,Cougars
biolaca,Biola University,La Mirada,CA,Eagles
california,University of California,Berkeley,CA,Golden Bears
calpoly,"California State Polytechnic University, San Luis Obispo",San Luis Obispo,CA,Mustangs
calpolypom,California State Polytechnic University-Pomona,Pomona,CA,Broncos
calstfull,"California State University, Fullerton",Fullerton,CA,Titans
calstla,"California State University, Los Angeles",Los Angeles,CA,Golden Eagles
calstnorth,"California State University, Northridge",Northridge,CA,Matadors
calutheran,California Lutheran University,Thousand Oaks,CA,Kingsmen
chapmanca,Chapman University,Orange,CA,Panthers
chicost,"California State University, Chico",Chico,CA,Wildcats
clrmuddscr,Claremont McKenna College,Claremont,CA,Stags
csdomhills,"California State University, Dominguez Hills",Carson,CA,Toros
cshayward,"California State University, Hayward",Hayward,CA,Pioneers
csstanisl,"California State University, Stanislaus",Turlock,CA,Warriors
fresnost,"California State University, Fresno",Fresno,CA,Bulldogs
grossmont,Grossmont College,El Cajon,CA,
humboldtst,Humboldt State University,Arcata,CA,Lumberjacks
laverneca,University of La Verne,La Verne,CA,Leopards
longbeach,"California State University, Long Beach",Long Beach,CA,49ers
loyolamary,Loyola Marymount University,Los Angeles,CA,Lions
mastersca,The Master's College,Santa Clarita,CA,Mustangs
occidental,Occidental College,Los Angeles,CA,Tigers
pacific,University of the Pacific,Stockton,CA,Tigers
pepperdine,Pepperdine University,Malibu,CA,Waves
pompitzer,Pomona College,Claremont,CA,Sagehens
ptlomanaz,Point Loma Nazarene University,San Diego,CA,Sea Lions
sacstate,"California State University, Sacramento",Sacramento,CA,Hornets
sandiego,University of San Diego,San Diego,CA,Toreros
sandiegost,San Diego State University,San Diego,CA,Aztecs
sanfran,University of San Francisco,San Francisco,CA,Dons
sanfranst,San Francisco State University,San Francisco,CA,Gators
sanjosest,San Jose State University,San Jose,CA,Spartans
santaclara,Santa Clara University,Santa Clara,CA,Broncos
sdcity,San Diego City College,San Diego,CA,Knights
sonomast,Sonoma State University,Rohnert Park,CA,Seawolves
stanford,Stanford University,Palo Alto,CA,Cardinal
stmarysca,Saint Mary's College of California,Moraga,CA,Gaels
ucdavis,"University of California, Davis",Davis,CA,Aggies
ucirvine,"University of California, Irvine",Irvine,CA,Anteaters
ucla,"University of California, Los Angeles",Los Angeles,CA,Bruins
ucriver,"University of California, Riverside",Riverside,CA,Highlanders
ucsb,"University of California, Santa Barbara",Santa Barbara,CA,Gauchos
ucsd,"University of California, San Diego",La Jolla,CA,Tritons
usc,University of Southern California,Los Angeles,CA,Trojans
vanguardca,Vanguard University of Southern California,Costa Mesa,CA,Lions
westmontca,Westmont College,Santa Barbara,CA,Warriors
whittierca,Whittier College,Whittier,CA,Poets
abilchrist,Abilene Christian University,Abilene,TX,Wildcats
adelphi,Adelphi University,Garden City,NY,Panthers
adrianmi,Adrian College,Adrian,MI,Bulldogs
airforce,United States Air Force Academy,Colorado Springs,CO,Falcons
akron,University of Akron,Akron,OH,Zips
alabama,University of Alabama,Tuscaloosa,AL,Crimson Tide
alabamaam,Alabama A&M University,Normal,AL,Bulldogs
