playerid,yearid,gamenum,gameid,teamid,lgid,gp,startingpos
kessido01,1972,0,NLS197207250,CHN,NL,1,6.0
stuardi01,1961,1,NLS196107110,PIT,NL,1,
kaatji01,1966,0,NLS196607120,MIN,AL,1,
aloufe01,1962,1,ALS196207100,SFN,NL,1,
rolliji01,2005,0,ALS200507120,PHI,NL,1,
rosepe01,1974,0,NLS197407230,CIN,NL,1,7.0
kneppbo01,1981,0,ALS198108090,HOU,NL,1,
parkeda01,1980,0,NLS198007080,PIT,NL,1,9.0
gwynnto01,1987,0,ALS198707140,SDN,NL,1,
dickebi01,1938,0,NLS193807060,NYA,AL,1,2.0
rodrial01,2006,0,NLS200607110,NYA,AL,1,5.0
fostege01,1978,0,NLS197807110,CIN,NL,1,8.0
javieju01,1968,0,NLS196807090,SLN,NL,1,
stirnsn01,1945,0,,NYA,AL,0,
odellbi01,1958,0,ALS195807080,BAL,AL,1,
kaatji01,1962,2,NLS196207300,MIN,AL,0,
dimagjo01,1946,0,ALS194607090,NYA,AL,0,
dickera01,2012,0,ALS201207100,NYN,NL,1,
gonzaca01,2012,0,ALS201207100,COL,NL,1,0.0
portebo01,1954,0,ALS195407130,WS1,AL,1,
walkela01,1998,0,NLS199807070,COL,NL,1,8.0
messean01,1971,0,ALS197107130,CAL,AL,0,
vaughmo01,1998,0,NLS199807070,BOS,AL,0,
martira02,1990,0,NLS199007100,LAN,NL,1,
callijo01,1965,0,ALS196507130,PHI,NL,0,
hentgpa01,1997,0,ALS199707080,TOR,AL,1,
robinja02,1950,0,ALS195007110,BRO,NL,1,4.0
raineti01,1982,0,NLS198207130,MON,NL,1,7.0
minosmi01,1957,0,NLS195707090,CHA,AL,1,
gehrich01,1938,0,NLS193807060,DET,AL,1,4.0
lowede01,2002,0,NLS200207090,BOS,AL,1,1.0
robined01,1953,0,NLS195307140,PHA,AL,1,
santoro01,1964,0,NLS196407070,CHN,NL,0,
vandejo01,1942,0,NLS194207060,CIN,NL,1,
runnepe01,1959,2,NLS195908030,BOS,AL,1,3.0
paigesa01,1952,0,NLS195207080,SLA,AL,0,
bailean01,2009,0,NLS200907140,OAK,AL,0,
rosarbu01,1948,0,ALS194807130,PHA,AL,1,2.0
conlege01,1954,0,ALS195407130,ML1,NL,1,
braunry02,2010,0,ALS201007130,MIL,NL,1,7.0
heatone01,1990,0,NLS199007100,PIT,NL,0,
bergewa01,1933,0,ALS193307060,BSN,NL,1,8.0
leiteal01,2000,0,NLS200007110,NYN,NL,1,
bagweje01,1996,0,NLS199607090,HOU,NL,1,
leecl02,2010,0,ALS201007130,SEA,AL,1,
