managerid,yearid,teamid,lgid,inseason,half,g,w,l,rank
garcida99m,1981,CLE,AL,1,1,50,26,24,6
mauchge01m,1981,CAL,AL,2,2,50,20,30,7
mcnamjo99m,1981,CIN,NL,1,1,56,35,21,2
freyji99m,1981,KCA,AL,1,2,20,10,10,1
torrejo01m,1981,NYN,NL,1,1,52,17,34,5
hanlone01m,1892,BLN,NL,3,2,77,26,46,10
lachere01m,1981,SEA,AL,2,1,33,15,18,6
crookja01m,1892,SLN,NL,3,1,47,24,22,9
herzowh01m,1981,SLN,NL,1,1,51,30,20,2
greenda02m,1981,PHI,NL,1,1,55,34,21,1
wardjo01m,1892,BRO,NL,1,1,78,51,26,2
fanniji01m,1981,MON,NL,2,2,27,16,11,1
tannech01m,1981,PIT,NL,1,1,49,25,23,4
freyji99m,1981,KCA,AL,1,1,50,20,30,5
striccu01m,1892,SLN,NL,2,1,23,6,17,9
carutbo01m,1892,SLN,NL,5,2,50,16,32,11
weaveea99m,1981,BAL,AL,1,2,51,28,23,4
burnsto01m,1892,PIT,NL,2,2,13,5,7,4
hanlone01m,1892,BLN,NL,3,1,56,17,39,12
michage01m,1981,NYA,AL,1,2,26,14,12,6
herzowh01m,1981,SLN,NL,1,2,52,29,23,2
glassja01m,1892,SLN,NL,1,1,4,1,3,9
howarfr01m,1981,SDN,NL,1,1,56,23,33,6
ansonca01m,1892,CHN,NL,1,1,71,31,39,8
lasorto01m,1981,LAN,NL,1,1,57,36,21,1
andersp01m,1981,DET,AL,1,2,52,29,23,2
waltzjo99m,1892,BLN,NL,2,1,8,2,6,12
mcnamjo99m,1981,CIN,NL,1,2,52,31,21,2
greenda02m,1981,PHI,NL,1,2,52,25,27,3
lemonbo01m,1981,NYA,AL,2,2,25,11,14,6
mattibo01m,1981,TOR,AL,1,1,58,16,42,7
amalfjo01m,1981,CHN,NL,1,2,52,23,28,5
ansonca01m,1892,CHN,NL,1,2,76,39,37,7
zimmedo01m,1981,TEX,AL,1,2,50,24,26,3
gorege01m,1892,SLN,NL,4,2,16,6,9,11
larusto01m,1981,CHA,AL,1,1,53,31,22,3
lachere01m,1981,SEA,AL,2,2,52,23,29,5
garcida99m,1981,CLE,AL,1,2,53,26,27,5
powerpa99m,1892,NY1,NL,1,2,79,40,37,6
virdobi01m,1981,HOU,NL,1,1,57,28,29,3
lasorto01m,1981,LAN,NL,1,2,53,27,26,4
