managerid,yearid,teamid,lgid,inseason,g,w,l,rank,plyrmgr
stahlja01m,1913,BOS,AL,1,81,39,41,4,Y
lucchfr99m,1972,PHI,NL,1,76,26,50,6,N
farrejo03m,2012,TOR,AL,1,162,73,89,4,N
harribu01m,1948,NYA,AL,1,154,94,60,3,N
hanlone01m,1906,CIN,NL,1,155,64,87,6,N
howleda01m,1927,SLA,AL,1,155,59,94,7,N
hutchfr01m,1961,CIN,NL,1,154,93,61,1,N
cantijo99m,1908,WS1,AL,1,155,67,85,7,N
maddojo99m,2012,TBA,AL,1,162,90,72,3,N
stovage01m,1914,KCF,FL,1,154,67,84,6,Y
virdobi01m,1975,NYA,AL,1,104,53,51,3,N
mauchge01m,1972,MON,NL,1,156,70,86,5,N
traynpi01m,1934,PIT,NL,2,100,47,52,5,Y
hartji99m,1886,LS2,AA,1,138,66,70,4,N
gastoci01m,1997,TOR,AL,1,157,72,85,5,N
quilifr01m,1974,MIN,AL,1,163,82,80,3,N
herzowh01m,1976,KCA,AL,1,162,90,72,1,N
mcgrajo01m,1932,NY1,NL,1,40,17,23,6,N
bakerde01m,1939,DET,AL,1,155,81,73,5,N
mauchge01m,1966,PHI,NL,1,162,87,75,4,N
mcphebi01m,1901,CIN,NL,1,142,52,87,8,N
riddogr99m,1991,SDN,NL,1,162,84,78,3,N
guilloz01m,2006,CHA,AL,1,162,90,72,3,N
bellbu01m,2000,COL,NL,1,162,82,80,4,N
owenspa99m,1972,PHI,NL,2,80,33,47,6,N
pinielo01m,1991,CIN,NL,1,162,74,88,5,N
schuljo05m,1973,DET,AL,2,28,14,14,3,N
smithma01m,1955,PHI,NL,1,154,77,77,4,N
cammebi99m,1876,NY3,NL,1,57,21,35,6,N
oneilst01m,1950,BOS,AL,2,95,63,32,3,N
stanked01m,1967,CHA,AL,1,162,89,73,4,N
manuech01m,2006,PHI,NL,1,162,85,77,2,N
dykesji01m,1952,PHA,AL,1,155,79,75,4,N
maddojo99m,2007,TBA,AL,1,162,66,96,5,N
grimmch01m,1935,CHN,NL,1,154,100,54,1,Y
tayloza02m,1948,SLA,AL,1,155,59,94,6,N
leylaji99m,2008,DET,AL,1,162,74,88,5,N
felskjo01m,1986,PHI,NL,1,161,86,75,2,N
mackco01m,1925,PHA,AL,1,153,88,64,2,N
larkihe01m,1890,CLP,PL,1,79,34,45,7,Y
machake01m,2004,OAK,AL,1,162,91,71,2,N
andersp01m,1994,DET,AL,1,115,53,62,5,N
collish01m,1931,BOS,AL,1,153,62,90,6,N
waltebu01m,1948,CIN,NL,2,53,20,33,7,Y
phillbi02m,1914,IND,FL,1,157,88,65,1,N
dierkla01m,2000,HOU,NL,1,162,72,90,4,N
sheehto02m,1960,SFN,NL,2,98,46,50,5,N
dressch01m,1964,DET,AL,1,163,85,77,4,N
bambege01m,1980,ML4,AL,2,92,47,45,3,N
hackst01m,1956,CHN,NL,1,157,60,94,8,N
mackco01m,1949,PHA,AL,1,154,81,73,5,N
williji03m,1989,TOR,AL,1,36,12,24,1,N
lavagco01m,1958,WS1,AL,1,156,61,93,8,N
