yearid,round,teamidwinner,lgidwinner,teamidloser,lgidloser,wins,losses,ties
1999,NLCS,ATL,NL,NYN,NL,4,2,0
1976,NLCS,CIN,NL,PHI,NL,3,0,0
1999,ALDS1,BOS,AL,CLE,AL,3,2,0
1983,ALCS,BAL,AL,CHA,AL,3,1,0
1990,NLCS,CIN,NL,PIT,NL,4,2,0
1926,WS,SLN,NL,NYA,AL,4,3,0
2001,NLCS,ARI,NL,ATL,NL,4,1,0
1943,WS,NYA,AL,SLN,NL,4,1,0
1997,NLCS,FLO,NL,ATL,NL,4,2,0
2009,ALDS1,NYA,AL,MIN,AL,3,0,0
1970,NLCS,CIN,NL,PIT,NL,3,0,0
1998,ALCS,NYA,AL,CLE,AL,4,2,0
1922,WS,NY1,NL,NYA,AL,4,0,0
1984,ALCS,DET,AL,KCA,AL,3,0,0
2009,ALCS,NYA,AL,LAA,AL,4,2,0
2003,ALDS2,BOS,AL,OAK,AL,3,2,0
1986,NLCS,NYN,NL,HOU,NL,4,2,0
1929,WS,PHA,AL,CHN,NL,4,1,0
1982,WS,SLN,NL,ML4,AL,4,3,0
1996,ALCS,NYA,AL,BAL,AL,4,1,0
2003,NLCS,FLO,NL,CHN,NL,4,3,0
1981,NEDIV,MON,NL,PHI,NL,3,2,0
2007,ALDS2,CLE,AL,NYA,AL,3,1,0
1968,WS,DET,AL,SLN,NL,4,3,0
1963,WS,LAN,NL,NYA,AL,4,0,0
2002,ALCS,ANA,AL,MIN,AL,4,1,0
1993,NLCS,PHI,NL,ATL,NL,4,2,0
1973,NLCS,NYN,NL,CIN,NL,3,2,0
1983,WS,BAL,AL,PHI,NL,4,1,0
1976,ALCS,NYA,AL,KCA,AL,3,2,0
2004,ALDS2,NYA,AL,MIN,AL,3,1,0
2009,NLDS2,PHI,NL,COL,NL,3,1,0
1978,ALCS,NYA,AL,KCA,AL,3,1,0
2001,WS,ARI,NL,NYA,AL,4,3,0
2002,ALDS1,ANA,AL,NYA,AL,3,1,0
2012,ALDS1,NYA,AL,BAL,AL,3,2,0
1986,ALCS,BOS,AL,CAL,AL,4,3,0
2003,NLDS2,CHN,NL,ATL,NL,3,2,0
1964,WS,SLN,NL,NYA,AL,4,3,0
1969,ALCS,BAL,AL,MIN,AL,3,0,0
1945,WS,DET,AL,CHN,NL,4,3,0
1942,WS,SLN,NL,NYA,AL,4,1,0
1956,WS,NYA,AL,BRO,NL,4,3,0
2006,ALDS1,DET,AL,NYA,AL,3,1,0
2007,ALCS,BOS,AL,CLE,AL,4,3,0
2000,ALDS1,NYA,AL,OAK,AL,3,2,0
2001,NLDS2,ARI,NL,SLN,NL,3,2,0
1905,WS,NY1,NL,PHA,AL,4,1,0
1975,WS,CIN,NL,BOS,AL,4,3,0
1921,WS,NY1,NL,NYA,AL,5,3,0
1918,WS,BOS,AL,CHN,NL,4,2,0
1971,WS,PIT,NL,BAL,AL,4,3,0
1985,WS,KCA,AL,SLN,NL,4,3,0
2000,NLCS,NYN,NL,SLN,NL,4,1,0
1991,WS,MIN,AL,ATL,NL,4,3,0
1984,WS,DET,AL,SDN,NL,4,1,0
1970,ALCS,BAL,AL,MIN,AL,3,0,0
1987,ALCS,MIN,AL,DET,AL,4,1,0
2000,NLDS1,SLN,NL,ATL,NL,3,0,0
1971,ALCS,BAL,AL,OAK,AL,3,0,0
1992,WS,TOR,AL,ATL,NL,4,2,0
2001,NLDS1,ATL,NL,HOU,NL,3,0,0
1940,WS,CIN,NL,DET,AL,4,3,0
1972,WS,OAK,AL,CIN,NL,4,3,0
1981,ALCS,NYA,AL,OAK,AL,3,0,0
