yearid,lgid,teamid,franchid,divid,rank,g,ghome,w,l,divwin,wcwin,lgwin,wswin,r,ab,h,2b,3b,hr,bb,so,sb,cs,hbp,sf,ra,er,era,cg,sho,sv,ipouts,ha,hra,bba,soa,e,dp,fp,name,park,attendance,bpf,ppf,teamidbr,teamidlahman45,teamidretro
1930,AL,SLA,BAL,,6,154,78.0,64,90,,,N,N,751,5278,1415,289,67,75,497,550,93,71.0,,,886,772,5,68,5,10,4113,1639,124,449,470,189,152.0,0,St. Louis Browns,Sportsman's Park IV,152088.0,103,104,SLB,SLA,SLA
1902,NL,PIT,PIT,,1,142,71.0,103,36,,,Y,,775,4926,1410,189,95,18,372,446,222,,,,440,323,2,131,21,3,3792,1142,4,250,564,247,87.0,0,Pittsburgh Pirates,Exposition Park,243826.0,104,99,PIT,PIT,PIT
1946,NL,CHN,CHC,,3,155,77.0,82,71,,,N,N,626,5298,1344,223,50,56,586,599,43,,,,581,501,3,59,15,11,4179,1370,58,527,619,146,119.0,0,Chicago Cubs,Wrigley Field,1342970.0,98,97,CHC,CHN,CHN
1993,AL,KCA,KCR,W,3,162,81.0,84,78,N,,N,N,675,5522,1455,294,35,125,428,936,100,75.0,,,694,649,4,16,6,48,4335,1379,105,571,985,96,150.0,0,Kansas City Royals,Kauffman Stadium,1934578.0,106,106,KCR,KCA,KCA
1871,NA,PH1,PNA,,1,28,,21,7,,,Y,,376,1281,410,66,27,9,46,23,56,,,,266,137,4,27,0,0,747,329,3,53,16,194,,0,Philadelphia Athletics,Jefferson Street Grounds,,102,98,ATH,PH1,PH1
1990,AL,NYA,NYY,E,7,162,81.0,67,95,N,,N,N,603,5483,1322,208,19,147,427,1027,119,45.0,,,749,675,4,15,6,41,4332,1430,144,618,909,126,164.0,0,New York Yankees,Yankee Stadium II,2006436.0,100,102,NYY,NYA,NYA
1914,AL,SLA,BAL,,5,159,81.0,71,82,,,N,N,523,5101,1241,185,75,17,423,863,233,189.0,,,615,446,2,81,15,11,4230,1309,20,540,553,317,114.0,0,St. Louis Browns,Sportsman's Park IV,244714.0,96,99,SLB,SLA,SLA
1959,AL,DET,DET,,4,154,77.0,76,78,,,N,N,713,5211,1346,196,30,160,580,737,34,17.0,,,732,635,4,53,9,24,4080,1327,177,432,829,124,131.0,0,Detroit Tigers,Briggs Stadium,1221221.0,106,105,DET,DET,DET
1980,AL,MIN,MIN,W,3,161,80.0,77,84,N,,N,N,670,5530,1468,252,46,99,436,703,62,46.0,,,724,634,3,35,9,30,4353,1502,120,468,744,146,192.0,0,Minnesota Twins,Metropolitan Stadium,769206.0,108,108,MIN,MIN,MIN
1997,NL,COL,COL,W,3,162,81.0,83,79,N,N,N,N,923,5603,1611,269,40,239,562,1060,137,65.0,,,908,835,5,9,5,38,4296,1697,196,566,870,111,202.0,0,Colorado Rockies,Coors Field,3888453.0,122,123,COL,COL,COL
1917,AL,CHA,CHW,,1,156,79.0,100,54,,,Y,Y,656,5057,1281,152,81,18,522,479,219,,,,464,342,2,78,22,21,4272,1236,10,413,517,200,117.0,0,Chicago White Sox,Comiskey Park,684521.0,102,100,CHW,CHA,CHA
1982,AL,ML4,MIL,E,1,163,82.0,95,67,Y,,Y,N,891,5733,1599,277,41,216,484,714,84,52.0,,,717,649,3,34,6,47,4401,1514,152,511,717,125,185.0,0,Milwaukee Brewers,County Stadium,1978896.0,94,93,MIL,MIL,MIL
1976,NL,SLN,STL,E,5,162,81.0,72,90,N,,N,N,629,5516,1432,243,57,63,512,860,123,55.0,,,671,581,3,35,15,26,4359,1416,91,581,731,174,163.0,0,St. Louis Cardinals,Busch Stadium II,1207079.0,101,101,STL,SLN,SLN
1969,AL,CLE,CLE,E,6,161,81.0,62,99,N,,N,N,573,5365,1272,173,24,119,535,906,85,37.0,,,717,629,3,35,7,22,4311,1330,134,681,1000,142,153.0,0,Cleveland Indians,Cleveland Stadium,619970.0,103,103,CLE,CLE,CLE
2001,NL,MON,WSN,E,5,162,81.0,68,94,N,N,N,N,670,5379,1361,320,28,131,478,1071,101,51.0,60.0,45.0,812,745,4,5,11,28,4294,1509,190,525,1103,108,139.0,0,Montreal Expos,Stade Olympique,642745.0,101,102,MON,MON,MON
1923,AL,PHA,OAK,,6,153,75.0,69,83,,,N,N,661,5196,1407,229,64,53,445,517,72,62.0,,,761,618,4,65,7,12,4092,1465,68,550,400,225,127.0,0,Philadelphia Athletics,Shibe Park,534122.0,101,103,PHA,PHA,PHA
1919,AL,SLA,BAL,,5,140,70.0,67,72,,,N,N,533,4672,1234,187,73,31,391,443,74,,,,567,437,3,78,14,4,3768,1255,35,421,415,214,98.0,0,St. Louis Browns,Sportsman's Park IV,349350.0,102,103,SLB,SLA,SLA
2003,NL,FLO,FLA,E,2,162,81.0,91,71,N,Y,Y,Y,751,5490,1459,292,44,157,515,978,150,74.0,57.0,41.0,692,648,4,7,11,36,4336,1415,128,530,1132,78,162.0,0,Florida Marlins,Pro Player Stadium,1303215.0,98,98,FLA,FLO,FLO
1978,AL,BAL,BAL,E,4,161,81.0,90,71,N,,N,N,659,5422,1397,248,19,154,552,864,75,61.0,,,633,565,3,65,16,33,4287,1340,107,509,754,110,166.0,0,Baltimore Orioles,Memorial Stadium,1051724.0,94,93,BAL,BAL,BAL
2006,NL,MIL,MIL,C,4,162,81.0,75,87,N,N,N,N,730,5433,1400,301,20,180,502,1233,71,37.0,82.0,53.0,833,763,4,7,8,43,4277,1454,177,514,1145,117,126.0,0,Milwaukee Brewers,Miller Park,2335643.0,101,101,MIL,ML4,MIL
1971,NL,ATL,ATL,W,3,162,82.0,82,80,N,,N,N,643,5575,1434,192,30,153,434,747,57,46.0,,,699,614,3,40,11,31,4422,1529,152,485,823,146,180.0,0,Atlanta Braves,Atlanta-Fulton County Stadium,1006320.0,106,107,ATL,ATL,ATL
2000,AL,CLE,CLE,C,2,162,81.0,90,72,N,N,N,N,950,5683,1639,310,30,221,685,1057,113,34.0,51.0,52.0,816,775,4,6,5,34,4326,1511,173,666,1213,72,149.0,0,Cleveland Indians,Jacobs Field,3456278.0,101,100,CLE,CLE,CLE
1976,AL,BAL,BAL,E,2,162,81.0,88,74,N,,N,N,619,5457,1326,213,28,119,519,883,150,61.0,,,598,542,3,59,16,23,4404,1396,80,489,678,118,157.0,0,Baltimore Orioles,Memorial Stadium,1058609.0,94,93,BAL,BAL,BAL
1922,NL,CHN,CHC,,5,156,76.0,80,74,,,N,N,771,5335,1564,248,71,42,525,447,97,108.0,,,808,674,4,74,8,12,4191,1579,77,475,402,202,154.0,0,Chicago Cubs,Wrigley Field,542283.0,102,102,CHC,CHN,CHN
