statusid,status
1,Translation: Отменно!
2,Отказано в участии
3,Авария
4,Авария
5,Машина
6,Гейрбокс
7,Передача
8,Клапан
9,гидравлика
10,Электрический
11,+1 Лэп
12,+2 кругов
13,+3 кругов
14,4 круга
15,+5 кругов
16,+6 кругов
17,+7 Отступов
18,8 лапов
19,+9 кругов
20,Спун оф
21,Консоль
22,Приостановка
23,Брейки
24,Дифференциальная
25,Перегрев
26,Механический
27,Шина
28,Сиденье водителя
29,Пунктуация
30,Колодка
31,Отказано в выходе на пенсию
32,Ток давления топлива
33,Передний крыло
34,Давление воды
35,Пополнение топлива
36,Колесо
37,Тормоз
38,Управление
39,Технический
40,Электроника
41,Повреждённая крылья
42,Зазнайский пламень
43,Износ
44,Нефтяной протечки
45,+11 кругов
46,Колесная обода
47,Протечка воды
48,Питательный насос
49,Тракоидная опора
50,+17 кругов
51,Öldruck
53,+13 кругов
54,Отозвал
55,Двенадцать кругов
56,Пожар в двигателе
58,26 запаса
59,Прочесывание шины
60,Бесполезный
61,Гайковертикальный болт
62,Не классифицировано
63,Пневматика
64,Обработка
65,Задняя крыло
66,Огонь
67,Подшипник колесного вала
68,Физический
70,Ойл-лайн
71,Пожарный буй
72,Запусковая система
73,Ушибший
74,Топливо
75,Потребение энергии
76,Вибрации
77,Правило 107%
79,Двигало-передаточный механизм
80,Запуск
81,Не квалифицировался
82,Повреждение
83,шасси
84,Батарея
85,Затопленный
86,Полный ротор
87,Клиточный валь
88,Десять кругов
89,Безопасность
90,Не запущено
91,Альтерна́тор
92,Недовес
93,Пояс безопасности
94,Цепочка
95,Потопление топлива
96,Исключён
97,Не прошли предварительную квалификацию
98,Инъекция
99,Дистрибьютор
100,Водитель болеет
101,Турибо
102,Картасья
103,Водяную насосную установку
104,Смертельная авария
105,Спуски свечей зажигания
106,Топливо-набивающая труба
107,Повреждение глаза
108,Труба для нефти
109,Осе́ль
110,Водопроводная труба
111,+14 кругов
112,+15 кругов
113,+25 кругов
114,18 laps
115,+22 круги
116,+16 кругов
117,24 гонки
118,+29 кругов
119,+23 круги
120,+21 кругов
121,Магнето
122,+44 Лапсы
123,30 кругов
124,19 Лапсов
125,+46 Лапы
126,Суперчарджер
127,+20 кругов
128,42 круга
129,Неисправность двигателя
130,Аварийный ущерб
131,Блок питания
132,ЭРС
133,+49 Лапов
134,38 laps
135,Трубка тормозная
136,Сидение
