raceid,driverid,stop,lap,time,duration,milliseconds
944,822,1,11,14:17:18,23.736,23736
982,838,5,27,21:06:56,36.138,36138
967,826,2,17,14:41:54,25.355,25355
857,816,2,55,16:30:49,22.472,22472
942,154,2,9,14:23:43,27.730,27730
971,826,1,13,18:25:35,25.204,25204
870,818,1,12,14:24:37,20.363,20363
895,154,1,12,15:23:30,23.282,23282
939,828,1,10,20:22:52,29.589,29589
895,1,1,1,15:06:11,25.297,25297
884,817,3,39,15:03:42,19.498,19498
917,822,2,26,14:36:50,35.284,35284
965,817,1,8,14:17:32,23.956,23956
895,17,2,25,15:45:06,22.774,22774
950,1,1,1,14:05:46,29.322,29322
863,39,2,21,15:40:50,25.204,25204
847,155,2,53,16:39:22,24.618,24618
891,821,1,19,14:41:20,22.761,22761
857,20,2,47,16:14:36,21.449,21449
964,831,1,25,14:46:10,25.131,25131
940,8,1,14,14:27:09,23.714,23714
912,1,1,25,14:41:07,24.453,24453
867,814,1,23,14:44:48,20.295,20295
909,817,2,35,14:53:27,19.358,19358
942,830,2,28,14:59:09,24.904,24904
873,817,1,11,20:25:50,30.992,30992
860,10,2,36,18:02:46,25.046,25046
843,153,1,9,15:19:36,22.419,22419
945,829,2,33,18:06:05,22.854,22854
872,813,2,35,14:57:05,21.814,21814
958,807,1,14,14:24:03,22.014,22014
959,20,1,13,14:20:57,19.230,19230
884,821,1,13,14:23:38,22.144,22144
952,825,2,30,14:51:49,23.165,23165
914,824,2,13,15:52:24,25.116,25116
909,155,3,48,15:13:19,20.358,20358
948,8,1,16,16:32:03,22.508,22508
959,830,1,11,14:18:08,19.017,19017
914,154,2,11,15:48:26,24.011,24011
894,819,1,9,15:20:36,24.320,24320
901,828,3,38,17:15:01,26.030,26030
966,815,1,20,13:32:56,22.213,22213
879,3,3,20,14:33:42,24.262,24262
933,807,1,25,14:37:53,21.685,21685
955,815,1,16,17:33:39,20.614,20614
845,2,3,50,15:20:32,20.796,20796
888,4,1,12,14:23:32,20.199,20199
974,825,2,42,14:57:54,26.040,26040
950,13,1,19,14:39:36,22.124,22124
973,832,1,13,14:22:36,22.432,22432
939,13,1,12,20:26:28,31.380,31380
851,22,1,10,14:21:19,22.640,22640
941,813,1,30,15:01:56,29.952,29952
863,3,2,22,15:41:09,22.903,22903
950,826,1,4,14:10:42,24.084,24084
874,20,1,17,15:32:58,20.508,20508
940,13,3,34,15:03:24,24.670,24670
965,821,1,13,14:27:00,24.470,24470
861,3,2,13,17:26:30,25.199,25199
952,832,1,10,14:20:24,22.874,22874
909,821,1,14,14:24:08,21.002,21002
864,815,3,37,15:00:35,28.531,28531
911,807,2,30,15:02:51,23.841,23841
910,13,2,23,14:44:30,22.111,22111
978,13,1,25,13:48:18,27.583,27583
906,1,2,45,15:08:31,23.554,23554
901,8,2,18,16:37:53,24.417,24417
844,13,3,34,15:57:22,23.471,23471
882,815,1,24,15:46:14,19.969,19969
936,828,4,44,15:14:55,18.577,18577
915,16,1,12,15:25:38,30.733,30733
885,814,1,9,14:15:54,25.643,25643
842,18,3,38,17:10:13,22.483,22483
854,811,2,11,20:26:39,36.856,36856
886,823,4,40,15:00:06,24.510,24510
909,20,3,45,15:07:09,18.879,18879
852,16,1,13,14:29:31,22.773,22773
953,13,2,32,14:56:25,25.182,25182
859,814,2,40,14:56:27,21.767,21767
918,13,1,13,17:27:05,22.054,22054
939,831,1,13,20:28:53,29.679,29679
927,18,1,4,15:11:38,33.027,33027
856,155,2,24,15:49:22,25.578,25578
857,18,2,46,16:13:11,21.838,21838
884,822,2,25,14:42:37,20.533,20533
913,824,2,30,21:03:38,29.885,29885
967,817,5,52,16:41:54,24.521,24521
884,818,4,37,15:01:38,29.740,29740
927,4,1,4,15:11:32,25.222,25222
851,5,3,43,15:12:56,20.990,20990
976,840,1,13,17:28:26,22.625,22625
934,807,1,19,13:36:56,28.558,28558
980,8,1,15,14:31:33,22.533,22533
881,821,2,22,16:44:52,22.575,22575
852,815,2,22,14:49:35,14.089,14089
865,17,1,29,14:42:54,25.566,25566
856,24,3,38,16:16:35,22.092,22092
918,822,1,10,17:21:52,21.661,21661
869,813,1,13,14:21:05,19.646,19646
977,20,1,34,14:42:15,21.750,21750
936,830,2,37,15:02:04,23.431,23431
918,8,2,26,17:51:27,22.206,22206
896,818,2,26,15:44:28,24.128,24128
951,154,1,17,15:35:49,31.420,31420
862,30,1,12,15:24:39,21.746,21746
939,832,3,37,21:19:08,29.885,29885
968,807,2,26,17:50:33,21.482,21482
909,154,1,24,14:38:27,18.928,18928
881,824,3,29,16:57:51,22.017,22017
873,30,1,11,20:25:39,30.879,30879
910,807,1,8,14:17:33,24.040,24040
944,3,2,33,14:45:33,23.321,23321
940,13,2,16,14:32:49,26.735,26735
883,13,2,17,15:33:34,21.722,21722
954,815,1,30,14:43:33,22.556,22556
974,817,1,38,14:51:46,24.183,24183
843,24,2,21,15:42:05,24.467,24467
875,819,1,17,15:35:01,21.302,21302
958,1,2,41,15:02:31,21.773,21773
881,823,4,42,17:21:22,22.744,22744
873,818,2,24,20:51:30,29.898,29898
959,815,2,27,14:40:47,19.223,19223
982,828,6,31,21:17:01,30.067,30067
869,5,2,31,14:46:32,18.801,18801
979,832,1,35,14:55:33,22.745,22745
885,817,1,22,14:33:49,25.225,25225
957,3,2,17,13:37:29,29.715,29715
854,3,2,22,20:47:06,29.417,29417
960,8,3,9,14:25:53,15:43.158,943158
930,18,3,44,15:13:49,24.066,24066
963,836,1,9,15:20:59,25.820,25820
901,13,1,12,16:26:05,24.637,24637
858,808,1,18,17:36:34,20.738,20738
847,67,2,20,13:37:27,24.649,24649
940,1,2,31,14:55:15,23.165,23165
844,17,4,45,16:13:49,22.087,22087
976,836,2,13,17:29:45,22.356,22356
928,832,1,19,14:37:55,23.795,23795
850,17,3,56,15:34:20,20.324,20324
888,821,1,6,14:13:52,19.816,19816
979,154,1,20,14:35:03,22.638,22638
943,822,1,8,13:14:42,22.957,22957
883,822,3,47,16:24:37,23.837,23837
936,833,3,41,15:11:07,23.207,23207
932,20,2,35,14:50:00,23.945,23945
874,37,1,17,15:34:08,26.287,26287
927,1,2,24,15:48:25,24.595,24595
841,18,1,17,17:30:24,16.867,16867
975,807,1,11,14:19:40,26.764,26764
859,817,1,20,14:30:47,23.473,23473
893,20,1,17,20:36:08,28.787,28787
850,3,1,14,14:26:39,20.348,20348
964,3,2,29,14:51:24,23.150,23150
881,815,4,54,17:40:12,21.366,21366
891,13,1,9,14:21:42,22.872,22872
879,37,1,14,14:24:13,25.787,25787
885,4,1,28,14:41:32,24.489,24489
895,818,3,38,16:07:30,24.876,24876
980,825,3,34,15:10:50,23.737,23737
873,18,1,14,20:31:06,30.019,30019
891,820,1,15,14:34:15,24.013,24013
886,807,2,38,14:55:03,21.014,21014
848,24,1,15,14:31:23,24.459,24459
939,1,1,13,20:28:21,28.917,28917
843,39,1,23,15:45:28,26.049,26049
