year,url
1950,"Сезон 1950 года в Формуле-1 — первый сезон Чемпионата мира по автогонкам в классе «Формула-1», установленного Международной автомобильной федерацией (ФИА). Сезон состоял из 8 гонок и начался 13 мая гран-при Великобритании и завершился 18 сентября гран-при Испании.

В сезоне приняли участие 20 пилотов, 14 команд. В первых гонках сезона пилотам разрешалось использовать автомобили 1948 года, но с Гран-при Бельгии было введено правило, запрещающее использование автомобилей прошлых лет.

Чемпионом мира среди пилотов стал Альберто Аскари, который выиграл три гонки. Он набрал 28 очков. Второй и третий места заняли пилоты команды Maserati, соответственно Пьетро Фей и Онни Сандерс.

В чемпионате конструкторов победу одержала команда Alfa Romeo с 43 очками. Второе место заняла Maserati (21 очко), третье — Ferrari (17 очков)."
1951,"Сезон 1951 года в Формуле-1 был 6-м сезоном Чемпионата мира по автогонкам в классе «Формула-1», который проводился под эгидой ФИА с 13 мая по 22 октября 1951 года. В сезоне 1951 года приняли участие 20 гонщиков, 8 команд и 24 болида. По итогам сезона лучшим пилотом стал Альберто Аскари из команды Alfa Romeo, ставшим чемпионом мира."
1952,Сезон 1952 года в Формуле-1
1953,Сезон 1953 года в Формуле-1
1954,Сезон 1954 года в Формуле-1
1955,Сезон 1955 года в Формуле-1
1956,"Сезон 1956 года в Формуле-1 был первым полноценным сезоном чемпионата мира по автогонкам в классе «Формула-1», который проводился под эгидой Fédération Internationale de l'Automobile (FIA). Сезон начался 13 мая и закончился 28 октября после проведяения девяти гонок."
1957,Сезон 1957 года в Формуле-1
1958,Сезон 1958 года в Формуле-1
1959,"Сезон 1959 года в Формуле-1 — шестой сезон чемпионата мира в Формуле-1, проводимый под эгидой FIA. Сезон включал в себя десять гонок, в которых приняли участие двадцать два пилота. Чемпионат пилотов был выигран британцем Майком Хоторном, а Кубок конструкторов — командой Ferrari."
1960,Сезон 1960 года в Формуле-1
1961,Сезон 1961 года в Формуле-1
1962,Сезон 1962 года в Формуле-1
1963,Сезон 1963 года в Формуле-1
1964,Сезон 1964 года в Формуле-1
1965,Сезон 1965 года в Формуле-1
1966,Сезон 1966 года в Формуле-1
1967,Сезон 1967 года в Формуле-1
