driverid,driverref,number,code,forename,surname,dob,nationality,url
1,Хамильтон,44.0,ХАМ,Луис,Гамильтон,1985-01-07,Британский,"Уильям Льюис Маккинтайр Хэмилтон-Мэддисон (English: William Lewis Mackenzie Hamilton-Madison; 1839–1924) был канадским юристом, политиком и предпринимателем. Он представлял Онтарио в kanadской палате общин с 1872 по 1874 год и снова с 1878 по 1880 год."
2,Хейдельфельд,,Привет!,Ник,Хайдфельд,1977-05-10,Я не говорю по-немецки. Я могу помочь только с переводом с английского на русский язык.,Ник Хайдфельд
3,Росберг,6.0,Robot Operating System,Никко,Россберг,1985-06-27,Я не говорю по-немецки. Я могу помочь только с переводом с английского на русский язык.,Ник Лаудо Росберг
4,Алонсо,14.0,Ало!,Фернандо,Алонсо,1981-07-29,¡Hola! Estoy aquí para ayudarte con la traducción de textos del inglés al español. ¿En qué puedo ayudarte hoy?,Фернандо Алонсо
5,Ковалαινен,,КОВ,Гекки,Ковалейнен,1981-10-19,финн,Хеикки Ковалайнен
6,Нагадзима,,НЭК,Казуки,Накаджима,1985-01-11,日本語,Казуки Накадзима
7,Бурдейс,,Бу,Себастьен,Бордайи,1979-02-28,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",Себастьян Бурж
8,раикконен,7.0,РАИ,Кими,Кейми Райкконен,1979-10-17,финн,Кими Райкконен
9,Кубица,,куб,Роберт,Кубица,1984-12-07,Польша,Роберт Кубица
10,Глок,,ГЛО,Тимо,Глок,1982-03-18,Я не говорю по-немецки. Я могу помочь только с переводом с английского на русский язык.,Тимо Глок
11,Сато,,Шатл,Такума,Сато,1977-01-28,日本語,Такума Сато
12,Пике-младший,,ПИК,Нельсон,Пике-младший,1985-07-25,Бразилиа,Нельсон Пике-младший
13,массса,19.0,МАС,Филипе,Масс,1981-04-25,Бразилиа,"Филипе Масса — бразильский гонщик Формулы-1, который выступал за команды «Формулы-1» «Сотлэнд Форс Индия», «Феррари» и «Виллервуд». Он родился 25 мая 1982 года в Сан-Паулу, Бразилия. В 2006 году он дебютировал в «Формуле-1» в составе команды «Сотлэнд Форс Индия» и быстро стал одним из самых многообещающих молодых пилотов на тот момент. В 2009 году он перешёл в «Феррари», где стал напарником Майкла Шумахера."
14,Култхард,,ЗОУ,Дэвид,Коулахард,1971-03-27,Британский,Дэвид Култхард
15,Трулли,,да,Ярно,Трулли,1974-07-13,Итальянский,Ярно Трулли
16,Сутиль,99.0,СУТ,Адриан,Сутиль,1983-01-11,Я не говорю по-немецки. Я могу помочь только с переводом с английского на русский язык.,Адриан Сутиль
17,Веббер,,Веб,Марк,Веббер,1976-08-27,Австралия,Марк Веббер
18,кнопка,22.0,ОТ,Дженсон,Кнопка,1980-01-19,Британский,Дженсон Баттон
19,Дэвидсон,,Дав,Антоний,Даймон,1979-04-18,Британский,Энтони Дэвидсон
20,Феттель,5.0,ВЕТ,Себастьян,Веттель,1987-07-03,Я не говорю по-немецки. Я могу помочь только с переводом с английского на русский язык.,Себастьян Феттель
21,فيшетелла,,ФИС,Джанкарло,Фишчелла,1973-01-14,Итальянский,Гьянцо Фисцелла
22,Баррикелло,,бар,Рубенс,Баррикелло,1972-05-23,Бразилиа,Рубенс Баррикелло
