constructorid,constructorref,name,nationality,url
1,Макларен,Макларен,Британский,McLaren
2,БМВ-Шаубер,BMW Саубер,Я не говорю по-немецки. Я могу помочь только с переводом с английского на русский язык.,BMW-Заубер
3,Уильямс,Уильямс,Британский,https://ru.wikipedia.org/wiki/Вильямс_Гран-при_Инжиниринг
4,Рено,Рено,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",https://ru.wikipedia.org/wiki/Renault_F1
5,Теро_Россо,"""Торо Россо""",Итальянский,Скудерия Торо Россо
6,Феррари,Феррари,Итальянский,Скудерия Феррари
7,Toyota,Тойота,日本語,Википедия: Toyota Racing
8,Супер Агури,Супер Агури,日本語,Супер Агури F1
9,красный-болт,Ред Булл,Австрийский,https://ru.wikipedia.org/wiki/Ред_Булл_Рэйсинг
10,Форс Индии,Форс Индия,Индийский,"Википедия на английском языке о команде ""Форс Индия"" в Формуле-1:

Force India is a Formula One racing team and constructor currently based in Silverstone, United Kingdom. The team has competed in the FIA Formula One World Championship since 2008 and has entered as a constructor since 2014, making its own cars with support from Lotus F1 Technology Ltd and supplying engines supplied by Mercedes-Benz HPE.

The team was founded by Indian businessman Vijay Mallya and his company, United Sports & Racing Private Limited, and is owned by a consortium of investors led by Mallya's brother, Shainas Mallya, as of 2018. The team's current drivers are Sergio Pérez and Lance Stroll."
11,Хонда,Хонда,日本語,https://ru.wikipedia.org/wiki/Хонда_Рейсинг_Ф1
12,Спайкер,Спайкер,Нидерландский,Спайкер Ф1
13,МФ-1,МФ1,"Хорошо! Я готова приступить к переводу. Пожалуйста, предоставьте текст для перевода.",Формульная гонка в Мидлендсе
14,Спайкер МФ1,Спайкер МФ1,Нидерландский,Формульная гонка в Мидлендсе
15,чистый,Чистый,Швейцария,Сабер
16,бар,бар,Британский,https://ru.wikipedia.org/wiki/Британско-американская_гоночная_команд
17,Иордания,Иордания,ирландский,Гран-при Иордании
18,Минариди,Минарди,Итальянский,Минарди
19,Ягуар,Ягуар,Британский,Джагуэр Рэйсинг
20,просто,Прост,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",Википедия: Прост Гран-при
21,стрелки,Стрелки,Британский,Википедия: Арроу Гран-при Интернэшнл
22,Бенеттон,Бенеттон,Итальянский,Википедия: Benetton Formula
23,бронза,Грумм,Британский,Brawn GP
24,Стюарт,Стюарт,Британский,Стюарт Гран-при
25,Тиррелл,Тиррелль,Британский,https://ru.wikipedia.org/wiki/Тиррелл
