constructorresultsid,raceid,constructorid,points,status
1,18,1,14.0,
2,18,2,8.0,
3,18,3,9.0,
4,18,4,5.0,
5,18,5,2.0,
6,18,6,1.0,
7,18,7,0.0,
8,18,8,0.0,
9,18,9,0.0,
10,18,10,0.0,
11,18,11,0.0,
12,19,6,10.0,
13,19,2,11.0,
14,19,1,10.0,
15,19,7,5.0,
16,19,9,2.0,
17,19,4,1.0,
18,19,11,0.0,
19,19,10,0.0,
20,19,3,0.0,
21,19,8,0.0,
22,19,5,0.0,
23,20,6,18.0,
24,20,2,11.0,
25,20,1,4.0,
26,20,7,3.0,
27,20,9,2.0,
28,20,3,1.0,
29,20,4,0.0,
30,20,11,0.0,
31,20,10,0.0,
32,20,5,0.0,
33,20,8,0.0,
34,21,6,18.0,
35,21,1,6.0,
36,21,2,5.0,
37,21,9,4.0,
38,21,11,3.0,
39,21,3,2.0,
40,21,7,1.0,
50,22,3,1.0,
135,31,5,10.0,
139,31,6,3.0,
166,34,6,14.0,
176,35,4,8.0,
180,35,9,0.0,
208,38,1,12.0,d
318,48,6,6.0,
326,48,5,0.0,
357,51,3,0.0,
405,56,6,15.0,
412,56,5,0.0,
420,57,3,2.0,
526,67,6,10.0,
534,67,5,0.0,
562,70,1,5.0,
601,74,6,8.0,
608,74,18,0.0,
714,85,6,0.0,
717,85,18,0.0,
742,88,9,3.0,
788,93,6,13.0,
796,93,18,0.0,
829,97,16,6.0,
898,104,6,18.0,
907,104,18,0.0,
948,109,1,10.0,
968,111,6,16.0,
977,111,18,0.0,
987,112,1,0.0,
1042,118,7,2.0,
1068,121,6,16.0,
1076,121,18,0.0,
1101,124,19,3.0,
1131,127,6,16.0,
1137,127,18,0.0,
1233,136,17,1.0,
1250,138,6,16.0,
1258,138,18,0.0,
1315,144,6,4.0,
1322,144,22,0.0,
1323,144,18,0.0,
1435,155,6,9.0,
1440,155,22,0.0,
1442,155,18,0.0,
1489,160,6,13.0,
1494,160,22,0.0,
1495,160,18,0.0,
1610,171,6,10.0,
1614,171,22,2.0,
1617,171,18,0.0,
1676,177,6,10.0,
1680,177,22,2.0,
1683,177,18,0.0,
1706,179,18,0.0,
1786,187,17,10.0,
1788,187,6,5.0,
1798,188,20,6.0,
2104,215,25,0.0,
2183,223,1,16.0,
2309,234,27,0.0,
2372,240,29,0.0,
2522,252,29,0.0,
2691,265,22,0.0,
2728,268,6,6.0,
2732,268,33,0.0,
2834,275,27,0.0,
2847,276,25,0.0,
3190,300,38,0.0,
3260,305,42,0.0,
3262,306,1,14.0,
3313,308,40,0.0,
3493,318,40,0.0,
3579,323,35,0.0,
3588,324,3,3.0,
3993,356,48,0.0,
4443,379,48,0.0,
4460,380,39,0.0,
4461,380,3,0.0,
4482,381,45,0.0,
4778,400,18,0.0,
4816,403,25,3.0,
5110,424,53,0.0,
5169,428,49,0.0,
5171,429,32,8.0,
5259,435,25,3.0,
5308,438,50,0.0,
5594,457,51,0.0,
5677,463,53,3.0,
5754,468,4,9.0,
5808,471,54,0.0,
5820,472,1,0.0,
5841,473,57,0.0,
5876,475,27,0.0,
5963,481,6,10.0,
6037,485,6,0.0,
6054,486,37,0.0,
6245,497,54,0.0,
6422,510,3,15.0,
10245,744,174,0.0,
10395,737,66,9.0,
10588,725,172,9.0,
10793,717,181,4.0,
10797,717,183,0.0,
10955,705,170,3.0,
10960,706,183,4.0,
11093,692,183,0.0,
11136,696,189,0.0,
11214,685,180,0.0,
11268,667,89,0.0,
11324,673,66,0.0,
11889,637,200,6.0,
11945,642,199,0.0,
12223,610,80,0.0,
12296,615,34,2.0,
12792,583,75,0.0,
12910,561,6,9.0,
12993,566,204,0.0,
13046,569,27,0.0,
13082,572,58,0.0,
13096,573,6,1.0,
13164,545,1,3.0,
13280,552,68,0.0,
13443,530,25,4.0,
13461,531,59,4.0,
13493,532,56,0.0,
13579,537,65,0.0,
13610,539,25,0.0,
13688,513,3,0.0,
13718,515,54,0.0,
13740,517,27,6.0,
13939,340,4,16.0,
13944,340,205,0.0,
13973,343,9,15.0,
14006,345,164,0.0,
14053,349,205,0.0,
14115,354,164,0.0,
14169,844,5,2.0,
14299,855,131,9.0,
14427,866,1,25.0,
14624,882,10,4.0,
14663,886,6,22.0,
14749,894,10,0.0,
14784,898,208,18.0,
14807,790,128,0.0,
15022,926,1,0.0,
15066,931,9,22.0,
15144,939,1,0.0,
15180,943,5,2.0,
15192,944,5,2.0,
15206,945,206,0.0,
15218,948,209,0.0,
15230,950,131,31.0,
15373,963,9,43.0,
15435,968,209,0.0,
15472,972,10,14.0,
15525,977,3,3.0,
