name,mountains,height,type,longitude,latitude
Невадо-де-Колима,Горайя-де-ла-Кондор,4330.0,вулкан,-104.0,20.0
Монте-Роза,Альпы,4634.0,,7.9,45.9
Сарэкто́нко,,2090.0,,17.4,67.3
Гребён,Абайн,1944.0,,9.0,20.0
Мауна-Лоа,Гавайи,4170.0,вулкан,-155.6,19.5
Олимпиада,,2917.0,,22.35,40.1
Гора Блу-Маунтин,,2256.0,,-76.4,18.1
Клингманов Дом,Апалачи,2025.0,,-83.2,35.3
Керини,,3805.0,вулкан,101.45,-1.7
Пик Бора,Раскалые,3859.0,,-113.8,44.1
Мт-Митчелл,Апалачи,2037.0,,-82.1,35.4
Котопакси,Андыс,5897.0,вулкан,-78.4,-0.7
Аусангатэ,Гора Вилканота,6336.0,,-71.2,-13.8
Пик Джейя,Сидрманский хребет,4884.0,,137.11,-4.1
Гора Худ,Каскадные горы,3424.0,вулкан,-121.5,45.2
Аконкагуа,Андыс,6962.0,,-70.0,-32.65
Льюсер,,3466.0,вулканический,98.0,3.0
Монте-Фальтерона,Аппенины,1654.0,,11.7,43.9
Сули́тельма,,1914.0,,16.2,67.1
Псилоритис,Крэйтэ,2456.0,,24.7,35.2
Эта,,3323.0,вулкан,15.0,37.7
Народная,Ура́ль,1895.0,,60.1,65.0
Хумфри-Пик,Раскалые,3850.0,вулканический,-111.65,35.3
Невадо-дель-Руис,Андыс,5389.0,вулкан,-75.3,4.9
Меру,Восточноафриканское расслоение,4567.0,вулкан,36.8,-3.2
Маунт-Вэлли,Апалачи,1917.0,,-71.3,44.3
Тубхал,Атлас,4165.0,,-8.0,31.0
Манталингажан,,2085.0,вулканический,118.4,9.7
Ампато,Андыс,6288.0,вулкан,-71.9,-15.8
"Вот перевод:

Мт Рейнир",Каскадные горы,4392.0,вулкан,-121.75,46.5
Пик Бордерс,Сьерра-Невада (Калифорния),4006.0,,-118.3,37.9
Саяма,Андыс,6542.0,вулкан,-68.9,-18.1
Гвадалахара-Пик,Раскалые,2667.0,,-105.0,32.0
Попокатепетль,Горайя-де-ла-Кондор,5450.0,вулкан,-98.0,19.0
