name,code,capital,province,area,population
Афганистан,افг,Кабул,Афганистан,647500.0,22664136
Ангола,английский,Луанда,Луанда,1246700.0,10342899
Азербайджан,Аз,Баку,Азербайджан,86600.0,7676953
Бангладеш,БД,Дакка,Бангладеш,144000.0,123062800
Бенин,БЕН,Порт-Ново,Бенин,112620.0,5709529
Буркина-Фасо,БФ,Уагадугу,Буркина-Фасо,274200.0,10623323
Бутан,БХТ,Тхимфу,Бутан,47000.0,1822625
Бурунди,АИ,Буджумбура,Бурунди,27830.0,5943057
Боливия,БОЛ,Ла-Пас,Боливия,1098580.0,7165257
Бразилия,БР,Бразилиа,Федеральный округ,8511960.0,162661214
Камерун,КАМ,Яунде,Центр,475440.0,14261557
Ивуарийская Costa-Рика,ЦИ,Ямусукро,Ивуарийская Costa-Рика,322460.0,14762445
Коморы,COМ,Морони,Коморы,2170.0,569237
Кабо-Верде,Резюме,Прайя,Кабо-Верде,4030.0,449066
Джибути,ДЖИ,Джибути,Джибути,22000.0,427642
Кения,EОК,Найроби,Найроби,582650.0,28176686
Танзания,Ешь,Дар-эс-Салам,Дар-эс-Салам,945090.0,29058470
Уганда,ВЭА,Кампала,Уганда,236040.0,20158176
Эритрея,ER,Асмэра,Эритрея,121320.0,3427883
Египет,ET,Каир,Кахира,1001450.0,63575107
Эфиопия,ЭТХ,Адис-Абеба,Эфиопия,1127130.0,57171662
Габон,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Либревиль,Габон,267670.0,1172798
Гватемала,GКА,Гвадалахара,Гватемала,108890.0,11277614
Гана,ГГ,Аккра,Гана,238540.0,17698271
Гвинея-Бисау,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Бисау,Гвинея-Бисау,36120.0,1151330
Экваториальная Гвинея,ГQ,Малабо,Экваториальная Гвинея,28050.0,431282
Гайана,ЧЕЛОВЕК,Гейджетун,Гайана,214970.0,712091
Индия,Инд,Новый Дели,Дели,3287590.0,952107694
Иран,Ярко,Тегеран,Тегеран,1648000.0,66094264
Ирак,Ирак,Багдад,Багдад,437072.0,21422292
Камбоджа,К,Пномпень,Камбоджа,181040.0,10861218
Казахстан,КАЗ,Алматы,Алматы [mɨ'nɛt],2717300.0,16916463
Киргизстан,КГЗ,Бишкек,Киргизстан,198500.0,4529648
Кирибати,Кир,Тарава,Кирибати,717.0,80919
Лаос,Лаос,Вьентьян,Лаос,236800.0,4975772
