abbreviation,name,city,country,province,established
НАТО,Североатлантический договор,Брюссель,Б,Прованс,1949-09-17
Отвод,Сила наблюдателей за разъединением Организации Объединенных Наций,Дамаск,СИР,Сирия,1974-05-31
АГ,Группу Анд,Пять,ПЭ,Пять,1969-05-26
ЭКО,Организация экономического сотрудничества,Тегеран,Ярко,Тегеран,1985-01-01
УНМОТ,Миссия наблюдателей ООН в Таджикистане,Нью-Йорк,США,Нью-Йорк,1994-12-16
АНК,Совет по сотрудничеству стран Североатлантического альянса,Брюссель,Б,Прованс,1991-11-08
МНБОС,Временные силы Организации Объединенных Наций в Ливане,Нью-Йорк,США,Нью-Йорк,1978-03-19
АМФ,Арабский валютный фонд,Абудаби,ОАЭ,Абудаби,1976-04-27
МАГАТЭ,Международное агентство по атомной энергии,Вена,А,Вена,1956-10-26
МОК,Международный олимпийский комитет,Ла-Шо-де-Фон,Ч,В.Д.,1894-06-23
УДЕАК,Центральноафриканское таможенное и экономическое объединение,Банги,"RCA — это аббревиатура, которая означает ""Анализ коренных причин"" (Root Cause Analysis). Это метод выявления и устранения основных причин проблемы или неполадки.",Центральная Африканская Республика,1964-12-08
ВКЛ,Всемирная конфедерация труда,Брюссель,Б,Прованс,1920-06-19
BSЕХ,Зона экономического сотрудничества Черного моря,,,,1992-06-25
КЕ,Экономическая комиссия для Европы,Женева,Ч,ГЭ,1947-03-28
МФО,Международный фонд сельскохозяйственного развития,Рим,я,Лацио,1974-11-01
КП,Коломбо-план,Коломбо,КЛ,Шри-Ланка,1951-07-01
ОЭСР,Организация экономического сотрудничества и развития,Париж,"Да, конечно! Я могу помочь с переводом. Каким текстом вы хотели бы заняться сначала?",Франция,1960-12-14
Яндекс. Перевод,Межамериканский банк развития,Вашингтон,США,Дистрикт Колумбия,1959-04-08
Г-24,Группа из 24 человек,Брюссель,Б,Прованс,1972-01-01
