sea1,sea2
Атлантический океан,Индийский океан
Малаккский пролив,Южная Китайская залив
Северное море,Норвежское море
Арабское море,Индийский океан
Индийский океан,Тихоокеанский океан
Чёрное море,Средиземное море
Чёрное море,Азовское море
Арабское море,Гольфстрем
Атлантический океан,Норвежское море
Восточное Китайское море,Тихоокеанский океан
Карибское море,Гольфстрем
Северное море,Скегеррак
Восточное Китайское море,Жёлтое море
Атлантический океан,Средиземное море
Северный Ледовитый океан,Берингово море
Андаманское море,Бенгальский залив
Северный Ледовитый океан,Баренцево море
Тихоокеанский океан,Оखотское море
Андаманское море,Малаккский пролив
Бенгальский залив,Тихоокеанский океан
Атлантический океан,Северное море
Берингово море,Тихоокеанский океан
Арабское море,Оманское море
Тихоокеанский океан,Японское море
Восточное Китайское море,Японское море
Балтийское море,Северное море
Японское море,Оखотское море
Тихоокеанский океан,Моря Сулавеши
Гольфстрем,Индийский океан
Атлантический океан,Канал
Тихоокеанский океан,Тихоокеанский океан
Каттегат,Скегеррак
Атлантический океан,Гольфстрем
Северное море,Канал
