island,country,province
Саваи,"WS - это аббревиатура, которая означает ""Workshop"" или ""Трудовая мастерская"". Это может быть название компании или мероприятия, связанного с организацией и проведением семинаров, практикумов или других образовательных мероприятий.",Самоа
Филикуди,я,Калабрия
Западная Фолклендская остров,Фолк,Фолклендские острова
Остров Рене Левассера,КНДР,Онтарио
Великая Британия,Да,Бленхэм Гвен
Гуам,ГВАМ,Гуам
Великая Британия,Да,Корнуолл
Куба,А,Город Гавана
Хоншью,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Аомори
Великая Британия,Да,Кливленд
Остров Сан-Клементе,США,Калифорния
Гозо,М,Мальта
Шетландский материк,Да,Шетландские острова
Куба,А,Циенфуэгос
Панай,RP - ролевая игра,Филиппины
Великая Британия,Да,Торфаен
Доминиканская Республика,—,Гаити
Куба,А,Циго де Авила
Мальорка,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Балеарские острова
Кракатау,Р,Индонезия
Хиос,ГР,Вореион Айаион
