desert,country,province
Сонора,Мексика,Сонора
Гоби,ТЖ,Ганьсу
Кысылкум,УЗБ,Самарканд
Уст-Урт,КАЗ,Актобе
Великий бассейн,США,Уайоминг
Эрг Исауэн,ДЗ,Алжир
Кысылкум,УЗБ,Каракалы погист
Траза,РИМ,Маврикий
Калахари,НАМ,Намибия
Великий Эрг Запад,ДЗ,Алжир
Каракум,УЗБ,Каракалы погист
Ордос,ТЖ,Наймэд
Даште-Маргох,افг,Афганистан
Эрг Мактеир,РИМ,Маврикий
Тар,Инд,Пенджаб
Руб-эль-Хали,ОАЭ,Аш-Шарияха
Мурункум,КАЗ,Жамбыл
Танезруфт,ДЗ,Алжир
Тар,ПК,Пакистан
Большой Западный эрг,ДЗ,Алжир
Великий бассейн,США,Калифорния
Оуэйхи,США,Невада
Такла-ма-кан,ТЖ,Шыңгыш аймага
Сонора,Мексика,Чихуахуа
Либийская пустыня,ET,Ель-Гиза
Эрг Чеч,ДЗ,Алжир
Руб-эль-Хали,ОАЭ,Абудаби
Даште-кавир,Ярко,Хорасан
Ригестан,ПК,Пакистан
Каракум,ТМ,Мэри
Атакама,РХЧ,Чили
Симпсон-десерт,Австралия,Квинсленд
Эрг Игиди,РИМ,Маврикий
Руб-эль-Хали,ОАЭ,Рас-al-Хайма
Эрг Ребяна,ЛАР,Ливия
Фесан,ЛАР,Ливия
Сагия эль-Хамра,ВР,Западная Сахара
Даште-кавир,Ярко,Семнан
Руб-эль-Хали,ОАЭ,Умм-эль-Кувейн
Ордос,ТЖ,Нингся Хуйжу
Каракум,ТМ,Агал
Руб-эль-Хали,СА,Саудовская Аравия
Стуртский пустыня,Австралия,Северная территория
Великий Викторийский пустыня,Австралия,Западная Австралия
Баха-Калифорния-Десерт,Мексика,Баха-Калифорния
Сонора,США,Аризона
Ордос,ТЖ,Шаньси
Сирийская пустыня,СИР,Сирия
Каракум,ТМ,Балкан
Великий бассейн,США,Невада
Нубийский пустыня,СУД,Аш-Шарика
Рын,r,Астраханская область
Тар,Инд,Гуджарат
Ферло,СН,Тамбакунда
Азауад,ДЗ,Алжир
