city,province,country,island
Струд,Глори́стершир,Да,Великая Британия
Новая Джерона,Остров молодежи,А,Куба
Паликир,Микронезия,ФSM,Понапе
Замбоанг,Филиппины,RP - ролевая игра,Минданао
Восточли,Гэмпшир,Да,Великая Британия
Великий Тёрк,Турки и Каймановы острова,Тука,Великий Тёрк
Дуглас,Муж,ГБМ,Остров Мэн
Ротерхит,Южный Йоркшир,Да,Великая Британия
Алофи,Ниуэ,Нуэй,Ниуэ
Тебинг Теги,Индонезия,Р,Суматра
Аберистуит,Кериджион,Да,Великая Британия
Фукуока,Фукуока,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Кюшью
Стормвэй,Внешние Херыда,Да,Льюис и Харрис
Палангкарая,Индонезия,Р,Бали
Дух Святого,Дух Святого,А,Куба
Станли,Фолклендские острова,Фолк,Восточная Фолкленд
Каухсьон,Тайвань,RC,Тайвань
Тондж Балай,Индонезия,Р,Суматра
Самаранда,Индонезия,Р,Бали
Богор,Индонезия,Р,Джава
Хамилтон,Берберы,БЕРМ,Большой Бермудский залив
Порт-о-Пренс,Гаити,—,Доминиканская Республика
Гейтсхед,Тайн и Уэар,Да,Великая Британия
Джакарта,Индонезия,Р,Джава
Хайкоу,Хайнам,ТЖ,Хайнам
Тайвань,Тайвань,RC,Тайвань
Чичестер,Вест-Сассекс,Да,Великая Британия
Дерби,Дербишир,Да,Великая Британия
Портсмут,Гэмпшир,Да,Великая Британия
Оранджестад,Аруба,АРУ,Аруба
Стоктон-он-Тис,Кливленд,Да,Великая Британия
Порт-Вила,Вануат,ВУ,Эфате
Мадиун,Индонезия,Р,Джава
Малабо,Экваториальная Гвинея,ГQ,Биоко
Вокингем,Беркшир,Да,Великая Британия
Экзетер,Дэвон,Да,Великая Британия
Порт-Луи,Маврикий,Мएस,Маврикий
Сандуэлл,Западный Мидлендс,Да,Великая Британия
Копенгаген,Дания,ДК,Сейленд
Чаи,Тайвань,RC,Тайвань
Пасиг,Филиппины,RP - ролевая игра,Лузон
Пангкал Пинанг,Индонезия,Р,Бангка
Тоттори,Тоттори,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Хоншью
Кантерберри,Кент,Да,Великая Британия
Ньюкасл-апон-Тайн,Тайн и Уэар,Да,Великая Британия
Южный Санд,Эссекс,Да,Великая Британия
Винчестер,Гэмпшир,Да,Великая Британия
Порт-Морсби,Папуа-Новая Гвинея,ПНГ,Новая Гвинея
Рейкьявик,Исландия,Да,Исландия
Моль,Флинтшир,Да,Великая Британия
Санчуун,Тайвань,RC,Тайвань
Уорик,Уорикшир,Да,Великая Британия
Голуин,Голуин,А,Куба
Фуншал,Мадейра,П,Мадейра
Инвернесс,Высокогорье,Да,Великая Британия
Маланг,Индонезия,Р,Джава
Прайя,Кабо-Верде,Резюме,Сантьяго
