mountain,country,province
Torre де Церредо,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Кастилья и Леон
Кангченджуга,НЕП,Непал
Киндау,МАЛ,Сабах
Пик Победы,ТЖ,Шыңгыш аймага
Гора Апо,RP - ролевая игра,Филиппины
Суфриер,Западная Вирджиния,Сانت-Винсент и Гренадины
Джабал Марра,СУД,Дарфур
Канлаон,RP - ролевая игра,Филиппины
Гран-Парадизо,я,Пьемонте
Саяма,БОЛ,Боливия
Андрингитра,RМ,Фианарантсау
Руапеху,Новая Зеландия,Новая Зеландия
Муонта Эверест,ТЖ,Тибет
Муонта Эверест,НЕП,Непал
Озёрце,АЛ,Албания
Чо-Ою,НЕП,Непал
Джабал Катрина,ET,Южный Сина
Псилоритис,ГР,Критий
Пуло́г,RP - ролевая игра,Филиппины
Мт Колумбия,КНДР,Альберта
Невадо-дель-Руис,ЦО,Чоко
Звезда башня,П,Гвардия
Рас Дашчан Терара,ЭТХ,Эфиопия
Цитлатлепетль (Пико-де-Оризаба),Мексика,Веракрус
Маунт-Адамс,США,Вашингтон
Пик коммунизма,ТАД,Бадахшони Куни
Тарекаисе,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Норвеботтен
Пик Победы,КГЗ,Киргизстан
Пик Кингс,США,Уайоминг
Монте-Роза,я,Valle d'Aosta
Чо-Ою,ТЖ,Тибет
Меру,Ешь,Аруша
Винемале,"Да, конечно! Я могу помочь с переводом. Каким текстом вы хотели бы заняться сначала?",Миди-Пирине
Молдавану,"Да, я могу помочь с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я сделаю это для вас.",Брусов
Мт Редаут,США,Аляска
Семеру,Р,Индонезия
Гора Бабилон,КНДР,Квебек
Финстерерхорн,Ч,Будьте
Зард-Кух,Ярко,Чахармахал и Бахтиари
Лхоцзе,НЕП,Непал
Карисимби,ЗРЕ,Киву
Гран-Парадизо,я,Valle d'Aosta
Мт Бона,США,Аляска
Гашербрум I,ПК,Пакистан
Ойос-дель-Саладо,РХЧ,Чили
Мт Марси,США,Нью-Йорк
Арарат,транзистор,Агра
К2,ПК,Пакистан
Олимпиада,ГР,Тессалия
Кораб,МК,Македония
Кебнекайсе,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Норвеботтен
Портфолио,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Норвеботтен
Котопакси,ЭК,Эквадор
Иллампу,БОЛ,Боливия
Мटरхорн,я,Valle d'Aosta
Ла Суфрир,ГУАД,Гваделупа
Шнеекоппе,ПЛ,Вальбжытский
Народная,r,Республика Коми
Церо Чирипо,КР,Карфаген
Добавление,Инд,Тамилнад
Невадо-де-Толька́л,Мексика,"Мексика, штат"
